ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	chemieJuist	chemieFout	chemieBlanco	chemieScore
33207	1	0	20	12	3	9	11	11	3	6	9	1	0	9	7	6	2	5	4	5	1	2
32718	1	0	17	11	7	8	9	10	6	5	8	1	1	8	5	4	6	4	4	6	0	2
32796	1	0	0	1	34	0	0	0	25	0	0	1	9	0	0	0	15	0	0	0	10	0
32505	1	0	19	16	0	8	10	15	0	4	9	1	0	9	5	10	0	2	5	5	0	3
33098	1	1	24	7	4	12	16	5	4	11	8	2	0	7	9	2	4	8	7	3	0	6
32514	1	0	16	7	12	8	9	6	10	6	7	1	2	7	5	4	6	4	4	2	4	3
33436	1	1	30	5	0	16	20	5	0	15	10	0	0	10	14	1	0	14	6	4	0	5
32208	1	0	22	11	2	10	14	9	2	9	8	2	0	7	8	5	2	6	6	4	0	5
33102	1	1	28	7	0	15	18	7	0	13	10	0	0	10	10	5	0	8	8	2	0	7
33543	1	1	23	3	9	13	14	3	8	10	9	0	1	9	7	2	6	6	7	1	2	7
33694	1	1	32	3	0	18	22	3	0	17	10	0	0	10	14	1	0	14	8	2	0	7
32694	1	1	28	5	2	15	18	5	2	13	10	0	0	10	10	3	2	9	8	2	0	7
33355	1	1	31	4	0	17	21	4	0	16	10	0	0	10	11	4	0	10	10	0	0	10
33221	1	1	25	7	3	13	15	7	3	10	10	0	0	10	10	4	1	9	5	3	2	4
33105	1	0	15	19	1	5	8	16	1	2	7	3	0	6	5	9	1	2	3	7	0	1
32296	1	0	11	13	11	4	6	10	9	2	5	3	2	4	5	6	4	3	1	4	5	0
33553	1	0	23	9	3	11	13	9	3	8	10	0	0	10	7	5	3	5	6	4	0	5
33493	1	0	13	10	12	6	8	7	10	5	5	3	2	4	6	4	5	5	2	3	5	1
33572	1	1	22	3	10	12	14	2	9	11	8	1	1	8	7	1	7	7	7	1	2	7
33309	1	1	28	5	2	15	18	5	2	13	10	0	0	10	10	3	2	9	8	2	0	7
33646	1	1	29	0	6	17	20	0	5	16	9	0	1	9	13	0	2	13	7	0	3	7
32360	1	1	34	1	0	19	24	1	0	19	10	0	0	10	14	1	0	14	10	0	0	10
32239	1	1	30	4	1	16	20	4	1	15	10	0	0	10	11	3	1	10	9	1	0	9
32754	1	1	28	4	3	15	18	4	3	13	10	0	0	10	12	2	1	11	6	2	2	5
33839	1	1	27	8	0	14	18	7	0	13	9	1	0	9	12	3	0	11	6	4	0	5
32251	1	0	10	25	0	1	5	20	0	0	5	5	0	3	3	12	0	0	2	8	0	0
33586	1	1	34	1	0	19	24	1	0	19	10	0	0	10	15	0	0	15	9	1	0	9
33593	1	1	31	4	0	17	22	3	0	17	9	1	0	9	13	2	0	12	9	1	0	9
32655	1	1	30	5	0	16	20	5	0	15	10	0	0	10	12	3	0	11	8	2	0	7
33316	1	1	34	1	0	19	24	1	0	19	10	0	0	10	14	1	0	14	10	0	0	10
33307	1	1	32	3	0	18	22	3	0	17	10	0	0	10	14	1	0	14	8	2	0	7
33018	1	0	18	13	4	8	11	11	3	6	7	2	1	6	5	7	3	3	6	4	0	5
32202	1	1	26	5	4	14	16	5	4	11	10	0	0	10	8	4	3	7	8	1	1	8
32235	1	1	23	8	4	12	15	6	4	10	8	2	0	7	9	3	3	8	6	3	1	5
33056	1	1	21	5	9	11	13	3	9	10	8	2	0	7	5	3	7	4	8	0	2	8
32438	1	1	31	4	0	17	21	4	0	16	10	0	0	10	12	3	0	11	9	1	0	9
33783	1	1	27	1	7	15	17	1	7	13	10	0	0	10	9	1	5	9	8	0	2	8
32486	1	1	32	3	0	18	22	3	0	17	10	0	0	10	15	0	0	15	7	3	0	6
33709	1	1	33	2	0	18	23	2	0	18	10	0	0	10	14	1	0	14	9	1	0	9
32874	1	0	13	14	8	5	11	9	5	6	2	5	3	0	5	5	5	3	6	4	0	5
33094	1	1	29	2	4	16	19	2	4	15	10	0	0	10	11	1	3	11	8	1	1	8
33267	1	1	26	9	0	13	16	9	0	10	10	0	0	10	11	4	0	10	5	5	0	3
33066	1	0	7	12	16	2	3	10	12	0	4	2	4	3	1	3	11	0	2	7	1	0
32562	1	1	34	1	0	19	25	0	0	20	9	1	0	9	15	0	0	15	10	0	0	10
33892	1	0	11	11	13	4	6	6	13	3	5	5	0	3	2	3	10	1	4	3	3	3
32313	1	1	24	3	8	13	15	2	8	11	9	1	0	9	10	1	4	10	5	1	4	5
32973	1	1	35	0	0	20	25	0	0	20	10	0	0	10	15	0	0	15	10	0	0	10
32276	1	0	19	12	4	9	10	11	4	5	9	1	0	9	6	5	4	4	4	6	0	2
33464	1	1	32	3	0	18	23	2	0	18	9	1	0	9	14	1	0	14	9	1	0	9
32275	1	1	30	3	2	17	20	3	2	15	10	0	0	10	11	2	2	10	9	1	0	9
32821	1	0	20	12	3	9	12	10	3	7	8	2	0	7	8	4	3	7	4	6	0	2
33229	1	1	34	1	0	19	24	1	0	19	10	0	0	10	14	1	0	14	10	0	0	10
32401	1	1	29	4	2	16	19	4	2	14	10	0	0	10	12	1	2	12	7	3	0	6
33326	1	1	32	1	2	18	22	1	2	17	10	0	0	10	13	0	2	13	9	1	0	9
32199	1	1	29	3	3	16	19	3	3	14	10	0	0	10	11	2	2	10	8	1	1	8
33635	1	1	25	3	7	14	17	3	5	13	8	0	2	8	12	0	3	12	5	3	2	4
32383	1	0	21	13	1	10	12	12	1	6	9	1	0	9	7	7	1	5	5	5	0	3
33139	1	1	26	5	4	14	17	5	3	12	9	0	1	9	10	3	2	9	7	2	1	6
32550	1	1	35	0	0	20	25	0	0	20	10	0	0	10	15	0	0	15	10	0	0	10
