"Alle studenten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naam","Voornaam","nummer","onlineID","ijkingstoetssessie","FeedbackGroep","TOTAAL","juist","fout","blanco","scoreA","juistA","foutA","blancoA","scoreB","juistB","foutB","blancoB","scoreC","juistC","foutC","blancoC","scoreD","juistD","foutD","blancoD","scoreE","juistE","foutE","blancoE","scoreF","juistF","foutF","blancoF","scoreG","juistG","foutG","blancoG","scoreH","juistH","foutH","blancoH"
,,32183,"wb1590999077pvKaN7nez9JY1lfdY6ylKHwKwnx3nM",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32184,"wb15909993707XMiWXdmgRCw4LJEMuoaiNmvLZtUVb",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32186,"wb1590999801jD3OcwfV1ONSh8XI8jx03is7E52TEl",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32199,"wb1591009062rXqR9eM0e41aPArsq5g5W9ghxuQvbK",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32202,"wb15910095894wX5Ghvhh90nOFoOizABMSdPGYkLRc",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32208,"wb1591011165sEjsOAAhYzyl80gLOr83R5vLsd0AiE",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32216,"wb1591013710ny3dJI0ORZhtKMfUmyK9VK82RAFemh",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32220,"wb1591015161GCRhXweThZJrfvX0d2aNsNgrYPFXNt",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32235,"wb1591018283L0s7m8t48bdhZpHI4zyPIB3NqDvN8g",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32239,"wb159102121331gid3f3OwVUPbTrwgDyOAhmBp6AUY",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32251,"wb15910265764v0AFVM4H7EJdIQCQMWMRGmJ0SwJr8",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32256,"wb1591032622cVGjg4bBeQDE8FoXYZhClychBSViP2",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32260,"wb1591037452u825JgnWNNHHNMnrYLtQxcPzjsuLU8",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32264,"wb1591039534GLKHD8g6U6RECs14RWY39Mc7UKkGVm",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32275,"wb1591085024V1SPXE6qANufF77SQL1JtvIAov0NRN",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32276,"wb1591089387WSZK9ise8p3T0fiQmU5KXpxOdpJ29W",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32279,"wb1591090421md0vKbrvFKZ5g5hvnOXqIcE6McurGZ",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32285,"wb1591093145dbHEiMmv4IbM7Vsgkv9iAQfZU7k2sA",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32291,"wb1591095585vwPmgDX0cikS1d3wrYknLZvrVijfpQ",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32296,"wb1591100034nrQkzBvWxeV19B4bkXyjrr31EpPGaa",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32313,"wb1591117328hNKQG55bI5bCDy2U3JQLWAr36RyT3N",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32317,"wb1591125125MLkQL7l85f1BY9ZqKMWGCTe4QroOMf",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32336,"wb1591174313GEj8TTypRK2KD5jTcWjCMrbubrj4fw",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33677,"wb1591177298BZdDfIFYw891zououiJmQ4gcpHWDEC",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32354,"wb15912003298fVxjWayjcVsaeEGzYnyn8y9lcPHoH",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32360,"wb15912089111Ew3JtyGSw9PprpIxr0RgxR8DhaVLY",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32361,"wb1591209382o2oyeFH5YSeWTWECXAuEayT1RGu1C7",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32367,"wb1591262261hv73liPMptRYvc6xIufNXZEkocECd1",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32380,"wb1591280366LzFj9AiXVwCkZEhtYkTNRw5GIW7GoN",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32382,"wb1591283094B43zHWLf047dyBA1ImOIogWgGTgezN",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32383,"wb1591285172JK9oyShy5vriaX2DCEBmFCSNhD4DhS",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32389,"wb1591341663FIwrVFugjH45jKJ1bqcuQgpg1wFYWm",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32391,"wb1591343201WXxAHN9mznd2qY5QnT8RVlq10CskjJ",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32392,"wb1591344562oxIx7MZGeW9zX4zUeFFgvCOavtsoOQ",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32400,"wb1591349854z8oYLHbRBwAe8YUSv2KLWZ9Y3rgWJw",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32401,"wb1591357697HJtxotEvGvSvwuBQ8HDHxjeVtKL8IF",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
