scoreNaam	groepLabel	kleur	aantal
totaal	<10	rgb(255,140,0)	66
totaal	10-13	rgb(255,215,0)	68
totaal	>=14	rgb(144,238,144)	82
zonder_basis	<10	rgb(255,140,0)	99
zonder_basis	10-13	rgb(255,215,0)	56
zonder_basis	>=14	rgb(144,238,144)	61
wiskunde_basis	<7	rgb(255,140,0)	44
wiskunde_basis	7-8	rgb(255,215,0)	49
wiskunde_basis	>=9	rgb(144,238,144)	123
wiskunde_standaard	<8	rgb(255,140,0)	124
wiskunde_standaard	8-11	rgb(255,215,0)	68
wiskunde_standaard	>=12	rgb(144,238,144)	24
chemie	<5	rgb(255,140,0)	71
chemie	5-7	rgb(255,215,0)	63
chemie	>=7	rgb(144,238,144)	82
