feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	zonder_basisGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemieGroep
19xd81047	1	1	23	9	3	11	10-13	13	9	3	8	<10	10	0	0	10	>=9	7	7	1	5	<8	6	2	2	5	5-7
19xd62543	1	1	22	10	3	11	10-13	13	9	3	8	<10	9	1	0	9	>=9	7	5	3	5	<8	6	4	0	5	5-7
19xd53749	1	1	28	4	3	15	>=14	18	4	3	13	10-13	10	0	0	10	>=9	9	3	3	8	8-11	9	1	0	9	>=7
19xd37820	1	0	11	15	9	3	<10	5	11	9	1	<10	6	4	0	5	<7	1	6	8	0	<8	4	5	1	2	<5
19xd11388	1	1	21	7	7	11	10-13	12	7	6	8	<10	9	0	1	9	>=9	9	2	4	8	8-11	3	5	2	1	<5
19xd59605	1	0	14	9	12	6	<10	7	8	10	3	<10	7	1	2	7	7-8	3	4	8	2	<8	4	4	2	3	<5
19xd96021	1	1	21	12	2	10	10-13	12	11	2	7	<10	9	1	0	9	>=9	9	4	2	8	8-11	3	7	0	1	<5
19xd38453	1	1	23	12	0	11	10-13	14	11	0	8	<10	9	1	0	9	>=9	10	5	0	8	8-11	4	6	0	2	<5
19xd27163	1	0	17	5	13	9	<10	10	4	11	7	<10	7	1	2	7	7-8	3	3	9	2	<8	7	1	2	7	>=7
19xd19686	1	0	15	20	0	5	<10	8	17	0	2	<10	7	3	0	6	<7	6	9	0	3	<8	2	8	0	0	<5
19xd74438	1	1	29	6	0	15	>=14	19	6	0	14	>=14	10	0	0	10	>=9	14	1	0	14	>=12	5	5	0	3	<5
19xd74850	1	1	28	6	1	15	>=14	18	6	1	13	10-13	10	0	0	10	>=9	9	5	1	7	<8	9	1	0	9	>=7
19xd65877	1	1	28	4	3	15	>=14	19	4	2	14	>=14	9	0	1	9	>=9	11	3	1	10	8-11	8	1	1	8	>=7
19xd72302	1	1	25	4	6	14	>=14	16	4	5	12	10-13	9	0	1	9	>=9	9	1	5	9	8-11	7	3	0	6	5-7
19xd10581	1	1	28	7	0	15	>=14	18	7	0	13	10-13	10	0	0	10	>=9	10	5	0	8	8-11	8	2	0	7	>=7
19xd62193	1	1	26	6	3	14	>=14	19	3	3	14	>=14	7	3	0	6	<7	9	3	3	8	8-11	10	0	0	10	>=7
19xd60560	1	0	20	15	0	9	<10	12	13	0	6	<10	8	2	0	7	7-8	7	8	0	4	<8	5	5	0	3	<5
19xd15420	1	1	28	7	0	15	>=14	19	6	0	14	>=14	9	1	0	9	>=9	11	4	0	10	8-11	8	2	0	7	>=7
19xd97146	1	1	28	7	0	15	>=14	19	6	0	14	>=14	9	1	0	9	>=9	11	4	0	10	8-11	8	2	0	7	>=7
19xd14643	1	0	11	3	21	6	<10	2	3	20	1	<10	9	0	1	9	>=9	2	3	10	1	<8	0	0	10	0	<5
19xd25380	1	0	16	18	1	6	<10	11	13	1	5	<10	5	5	0	3	<7	7	7	1	5	<8	4	6	0	2	<5
19xd68882	1	1	26	7	2	14	>=14	17	6	2	12	10-13	9	1	0	9	>=9	9	4	2	8	8-11	8	2	0	7	>=7
19xd84755	1	1	19	6	10	10	10-13	12	3	10	9	<10	7	3	0	6	<7	7	3	5	6	<8	5	0	5	5	5-7
19xd83798	1	1	22	7	6	11	10-13	13	7	5	9	<10	9	0	1	9	>=9	8	3	4	7	<8	5	4	1	4	<5
19xd54916	1	1	29	6	0	15	>=14	19	6	0	14	>=14	10	0	0	10	>=9	12	3	0	11	8-11	7	3	0	6	5-7
19xd48600	1	1	24	3	8	13	10-13	14	3	8	10	10-13	10	0	0	10	>=9	7	1	7	7	<8	7	2	1	6	5-7
19xd90287	1	1	21	7	7	11	10-13	13	7	5	9	<10	8	0	2	8	7-8	7	4	4	6	<8	6	3	1	5	5-7
19xd76593	1	1	32	3	0	18	>=14	22	3	0	17	>=14	10	0	0	10	>=9	13	2	0	12	>=12	9	1	0	9	>=7
19xd20352	1	1	32	3	0	18	>=14	22	3	0	17	>=14	10	0	0	10	>=9	13	2	0	12	>=12	9	1	0	9	>=7
19xd39413	1	1	24	11	0	12	10-13	16	9	0	10	10-13	8	2	0	7	7-8	11	4	0	10	8-11	5	5	0	3	<5
19xd33636	1	1	20	7	8	10	10-13	11	6	8	7	<10	9	1	0	9	>=9	3	5	7	1	<8	8	1	1	8	>=7
19xd87481	1	1	27	7	1	14	>=14	17	7	1	12	10-13	10	0	0	10	>=9	9	5	1	7	<8	8	2	0	7	>=7
19xd24586	1	0	20	15	0	9	<10	11	14	0	5	<10	9	1	0	9	>=9	7	8	0	4	<8	4	6	0	2	<5
19xd13651	1	1	33	2	0	18	>=14	23	2	0	18	>=14	10	0	0	10	>=9	14	1	0	14	>=12	9	1	0	9	>=7
19xd35637	1	1	34	1	0	19	>=14	24	1	0	19	>=14	10	0	0	10	>=9	15	0	0	15	>=12	9	1	0	9	>=7
19xd63444	1	1	30	5	0	16	>=14	20	5	0	15	>=14	10	0	0	10	>=9	13	2	0	12	>=12	7	3	0	6	5-7
19xd41355	1	1	24	11	0	12	10-13	15	10	0	9	<10	9	1	0	9	>=9	8	7	0	6	<8	7	3	0	6	5-7
19xd16278	1	1	29	5	1	16	>=14	21	3	1	16	>=14	8	2	0	7	7-8	13	1	1	13	>=12	8	2	0	7	>=7
19xd71425	1	1	32	3	0	18	>=14	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11	10	0	0	10	>=7
19xd75109	1	0	20	14	1	9	<10	14	10	1	9	<10	6	4	0	5	<7	7	8	0	4	<8	7	2	1	6	5-7
19xd49361	1	0	14	15	6	5	<10	8	11	6	3	<10	6	4	0	5	<7	5	5	5	3	<8	3	6	1	1	<5
19xd81065	1	1	28	5	2	15	>=14	18	5	2	13	10-13	10	0	0	10	>=9	9	4	2	8	8-11	9	1	0	9	>=7
19xd91242	1	1	28	7	0	15	>=14	18	7	0	13	10-13	10	0	0	10	>=9	11	4	0	10	8-11	7	3	0	6	5-7
19xd48704	1	0	21	14	0	9	<10	11	14	0	5	<10	10	0	0	10	>=9	7	8	0	4	<8	4	6	0	2	<5
19xd81966	1	1	28	6	1	15	>=14	18	6	1	13	10-13	10	0	0	10	>=9	12	2	1	11	8-11	6	4	0	5	5-7
19xd16440	1	0	12	22	1	3	<10	8	16	1	2	<10	4	6	0	2	<7	5	9	1	2	<8	3	7	0	1	<5
19xd97468	1	1	29	6	0	15	>=14	19	6	0	14	>=14	10	0	0	10	>=9	11	4	0	10	8-11	8	2	0	7	>=7
19xd36199	1	1	26	9	0	13	10-13	19	6	0	14	>=14	7	3	0	6	<7	9	6	0	7	<8	10	0	0	10	>=7
19xd79119	1	1	23	12	0	11	10-13	14	11	0	8	<10	9	1	0	9	>=9	8	7	0	6	<8	6	4	0	5	5-7
19xd16415	1	0	20	15	0	9	<10	14	11	0	8	<10	6	4	0	5	<7	9	6	0	7	<8	5	5	0	3	<5
19xd27033	1	0	11	7	17	5	<10	4	5	16	2	<10	7	2	1	6	<7	4	5	6	2	<8	0	0	10	0	<5
19xd35511	1	1	28	4	3	15	>=14	19	4	2	14	>=14	9	0	1	9	>=9	11	2	2	10	8-11	8	2	0	7	>=7
19xd46463	1	1	26	6	3	14	>=14	18	5	2	13	10-13	8	1	1	8	7-8	8	5	2	6	<8	10	0	0	10	>=7
19xd96436	1	1	27	4	4	15	>=14	17	4	4	13	10-13	10	0	0	10	>=9	8	3	4	7	<8	9	1	0	9	>=7
19xd63030	1	1	30	5	0	16	>=14	21	4	0	16	>=14	9	1	0	9	>=9	12	3	0	11	8-11	9	1	0	9	>=7
19xd76643	1	1	30	1	4	17	>=14	20	1	4	16	>=14	10	0	0	10	>=9	11	1	3	11	8-11	9	0	1	9	>=7
19xd21777	1	0	18	12	5	8	<10	11	10	4	6	<10	7	2	1	6	<7	8	4	3	7	<8	3	6	1	1	<5
19xd46073	1	1	30	0	5	17	>=14	20	0	5	16	>=14	10	0	0	10	>=9	13	0	2	13	>=12	7	0	3	7	>=7
19xd99358	1	0	21	14	0	9	<10	12	13	0	6	<10	9	1	0	9	>=9	8	7	0	6	<8	4	6	0	2	<5
19xd60164	1	1	25	10	0	12	10-13	18	7	0	13	10-13	7	3	0	6	<7	11	4	0	10	8-11	7	3	0	6	5-7
19xd68077	1	1	22	9	4	11	10-13	15	7	3	10	10-13	7	2	1	6	<7	9	3	3	8	8-11	6	4	0	5	5-7
19xd56031	1	0	14	11	10	6	<10	9	9	7	5	<10	5	2	3	4	<7	3	5	7	1	<8	6	4	0	5	5-7
19xd35054	1	1	29	0	6	17	>=14	19	0	6	15	>=14	10	0	0	10	>=9	12	0	3	12	>=12	7	0	3	7	>=7
19xd96127	1	1	28	3	4	15	>=14	18	3	4	14	>=14	10	0	0	10	>=9	11	1	3	11	8-11	7	2	1	6	5-7
19xd95710	1	1	19	6	10	10	10-13	11	5	9	7	<10	8	1	1	8	7-8	5	3	7	4	<8	6	2	2	5	5-7
19xd95226	1	1	23	6	6	12	10-13	15	5	5	11	10-13	8	1	1	8	7-8	6	4	5	5	<8	9	1	0	9	>=7
19xd87136	1	0	19	11	5	9	<10	11	10	4	6	<10	8	1	1	8	7-8	6	5	4	4	<8	5	5	0	3	<5
19xd21891	1	1	24	8	3	12	10-13	17	7	1	12	10-13	7	1	2	7	7-8	9	5	1	7	<8	8	2	0	7	>=7
19xd93175	1	1	29	6	0	15	>=14	20	5	0	15	>=14	9	1	0	9	>=9	12	3	0	11	8-11	8	2	0	7	>=7
19xd37524	1	0	7	1	27	4	<10	0	0	25	0	<10	7	1	2	7	7-8	0	0	15	0	<8	0	0	10	0	<5
19xd65043	1	0	18	8	9	9	<10	12	6	7	8	<10	6	2	2	5	<7	6	4	5	5	<8	6	2	2	5	5-7
19xd60153	1	1	22	13	0	10	10-13	13	12	0	7	<10	9	1	0	9	>=9	8	7	0	6	<8	5	5	0	3	<5
19xd73371	1	1	23	12	0	11	10-13	14	11	0	8	<10	9	1	0	9	>=9	9	6	0	7	<8	5	5	0	3	<5
19xd35140	1	1	24	11	0	12	10-13	16	9	0	10	10-13	8	2	0	7	7-8	9	6	0	7	<8	7	3	0	6	5-7
19xd11268	1	0	19	11	5	9	<10	11	10	4	6	<10	8	1	1	8	7-8	7	4	4	6	<8	4	6	0	2	<5
19xd70198	1	1	29	5	1	16	>=14	19	5	1	14	>=14	10	0	0	10	>=9	10	4	1	9	8-11	9	1	0	9	>=7
19xd64289	1	1	20	4	11	11	10-13	12	4	9	9	<10	8	0	2	8	7-8	6	0	9	6	<8	6	4	0	5	5-7
19xd47053	1	1	24	7	4	12	10-13	15	7	3	10	10-13	9	0	1	9	>=9	8	5	2	6	<8	7	2	1	6	5-7
19xd75672	1	1	29	6	0	15	>=14	20	5	0	15	>=14	9	1	0	9	>=9	13	2	0	12	>=12	7	3	0	6	5-7
19xd49955	1	1	28	6	1	15	>=14	19	5	1	14	>=14	9	1	0	9	>=9	11	4	0	10	8-11	8	1	1	8	>=7
19xd28590	1	1	23	7	5	12	10-13	15	5	5	11	10-13	8	2	0	7	7-8	8	3	4	7	<8	7	2	1	6	5-7
19xd72307	1	0	7	4	24	3	<10	4	2	19	3	<10	3	2	5	2	<7	0	0	15	0	<8	4	2	4	3	<5
19xd10747	1	1	22	13	0	10	10-13	14	11	0	8	<10	8	2	0	7	7-8	8	7	0	6	<8	6	4	0	5	5-7
19xd55783	1	1	22	13	0	10	10-13	12	13	0	6	<10	10	0	0	10	>=9	8	7	0	6	<8	4	6	0	2	<5
19xd44528	1	1	23	5	7	12	10-13	15	5	5	11	10-13	8	0	2	8	7-8	8	3	4	7	<8	7	2	1	6	5-7
19xd16619	1	1	29	6	0	15	>=14	20	5	0	15	>=14	9	1	0	9	>=9	12	3	0	11	8-11	8	2	0	7	>=7
19xd68098	1	1	29	6	0	15	>=14	20	5	0	15	>=14	9	1	0	9	>=9	12	3	0	11	8-11	8	2	0	7	>=7
19xd74854	1	1	23	7	5	12	10-13	15	6	4	10	10-13	8	1	1	8	7-8	9	3	3	8	8-11	6	3	1	5	5-7
19xd81911	1	1	20	6	9	10	10-13	13	5	7	9	<10	7	1	2	7	7-8	6	3	6	5	<8	7	2	1	6	5-7
