vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	C	216	185	86	14	6	8	5	185	4
2	B	216	205	95	2	0	3	205	4	2
3	A	216	183	85	4	1	183	1	12	16
4	B	216	173	80	3	1	5	173	16	19
5	D	216	195	90	5	2	5	7	4	195
6	B	216	167	77	17	7	14	167	8	10
7	D	216	143	66	24	11	11	11	27	143
8	B	216	167	77	29	13	9	167	6	5
9	D	216	194	90	1	0	0	14	7	194
10	C	216	199	92	6	2	4	2	199	5
11	A	216	140	65	16	7	140	8	26	26
12	B	216	116	54	56	25	14	116	20	10
13	A	216	83	38	69	31	83	17	32	15
14	B	216	156	72	22	10	16	156	3	19
15	A	216	117	54	42	19	117	17	28	12
16	C	216	174	81	12	5	7	9	174	14
17	D	216	118	55	33	15	21	15	29	118
18	C	216	149	69	12	5	14	18	149	23
19	A	216	172	80	22	10	172	6	12	4
20	D	216	108	50	47	21	22	9	30	108
21	D	216	67	31	14	6	17	93	25	67
22	C	216	75	35	49	22	6	12	75	74
23	C	216	101	47	72	33	13	23	101	7
24	B	216	130	60	34	15	14	130	28	10
25	B	216	92	43	62	28	28	92	6	28
26	C	216	152	70	16	7	11	19	152	18
27	B	216	139	64	10	4	37	139	14	16
28	C	216	110	51	15	6	26	56	110	9
29	A	216	155	72	7	3	155	5	5	44
30	D	216	130	60	32	14	30	5	19	130
31	A	216	130	60	11	5	130	55	16	4
32	C	216	146	68	20	9	24	15	146	11
33	B	216	107	50	31	14	18	107	57	3
34	B	216	153	71	8	3	7	153	38	10
35	B	216	157	73	9	4	1	157	23	26
