ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
q1388952	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	C	B	A	D	A	D	B	X	C	C	B	A	A	X	A	C	X	D	B
q1459616	1	C	B	A	B	B	B	D	B	D	C	A	A	A	X	C	A	A	C	A	D	B	X	C	B	X	A	A	B	A	D	A	C	C	B	B
q1438351	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	X	C	A	X	D	D	C	C	X	C	B	C	A	D	A	C	C	B	B
q1437748	1	C	A	A	A	D	A	C	B	D	C	X	X	B	D	C	C	A	X	X	B	A	X	X	X	X	C	B	D	D	X	A	B	C	B	D
q1417891	1	C	B	A	B	D	X	D	B	D	C	A	A	X	B	X	C	D	C	A	X	B	C	X	B	B	X	A	C	D	D	B	B	A	X	B
q1444021	1	C	B	A	B	D	B	A	X	D	X	X	B	X	B	X	C	C	B	X	C	B	X	X	X	X	X	A	C	C	X	B	C	C	B	B
q1417845	1	C	B	A	B	D	B	D	B	B	C	A	B	A	B	B	C	X	C	A	D	B	D	D	B	X	A	B	A	B	D	C	C	C	D	D
q1435021	1	C	B	A	B	D	B	B	B	D	C	D	B	C	D	A	C	D	C	A	D	B	C	C	B	A	B	D	C	D	A	A	A	B	A	B
q1339490	1	X	B	A	B	D	B	A	X	D	C	X	X	X	X	X	C	D	A	A	X	B	A	X	X	X	C	B	C	A	X	A	C	X	A	B
q1427398	1	C	B	A	D	D	B	B	D	D	C	A	B	C	A	C	B	D	D	A	C	C	C	C	C	D	C	C	B	D	B	C	C	C	D	C
q1429773	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B	B	B	D	B	D	A	D	B	C	B
q1383047	1	C	B	A	B	D	B	D	B	D	C	A	X	A	D	B	C	D	C	A	D	D	D	A	B	A	C	B	D	A	D	A	C	B	B	B
q1381882	1	C	B	A	X	D	B	D	B	D	C	X	B	D	B	A	C	D	C	A	B	D	C	C	A	B	C	B	C	A	D	A	D	B	B	X
q1388371	1	C	B	A	X	D	B	D	B	D	C	A	B	X	B	X	C	D	C	X	X	D	B	X	B	B	C	B	D	D	D	A	C	C	B	B
q1346785	1	C	B	A	B	D	B	D	B	D	C	A	B	A	A	B	C	D	C	A	C	B	D	C	B	B	C	B	B	A	D	A	C	B	B	C
q1428548	1	C	B	A	B	D	D	C	B	B	C	A	X	D	X	A	C	D	C	A	D	B	D	C	B	X	C	B	C	A	D	A	C	B	B	B
q1309410	1	C	B	A	C	D	B	D	B	D	A	A	C	C	B	D	C	A	C	A	C	C	C	A	C	B	C	A	B	D	A	A	C	C	B	B
q1417595	1	C	B	A	B	D	B	D	C	D	C	A	D	A	B	C	C	C	C	A	D	D	C	C	B	A	C	A	C	D	D	A	C	B	B	B
q1379240	1	C	B	A	B	D	B	D	C	D	C	A	D	A	B	C	C	C	C	A	D	D	C	C	B	A	C	A	C	D	D	A	C	B	B	B
q1419725	1	C	B	A	B	D	B	D	X	D	C	D	B	X	A	X	X	A	X	A	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
q1459625	1	C	D	D	D	D	A	D	B	D	D	C	X	C	B	C	C	B	C	A	D	A	C	D	C	B	C	A	C	D	B	B	C	C	C	B
q1380680	1	C	B	A	A	D	B	D	B	D	C	A	B	C	B	A	C	A	C	A	C	D	X	X	B	D	C	B	D	A	D	B	C	B	B	B
q1382739	1	C	B	C	B	D	A	B	B	D	C	X	X	X	D	A	C	D	C	A	D	B	D	X	B	X	C	B	C	A	X	X	X	X	B	X
q1418394	1	C	B	A	B	D	B	X	B	D	C	X	B	A	B	A	C	X	C	A	A	C	D	X	B	X	D	C	C	C	X	B	C	B	B	B
q1421613	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	C	A	D	B	C	C	B	C	C	D	C	A	D	B	C	B	B	C
q1342361	1	C	B	A	B	D	B	D	B	D	C	A	X	X	X	A	X	C	C	X	D	D	X	C	B	X	C	B	C	A	D	A	X	C	D	B
q1395662	1	C	B	A	B	D	X	X	B	D	C	D	X	A	D	A	D	X	C	A	X	B	C	X	B	B	C	A	B	A	D	A	B	B	B	X
q1427556	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	C	D	C	B	B	C	B	B	A	D	A	C	B	B	B
q1412525	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	C	D	C	B	B	C	B	B	A	D	A	C	B	B	B
q1371148	1	C	B	C	B	D	B	D	B	D	B	A	B	A	B	C	C	D	D	A	D	C	B	C	B	B	C	D	B	A	D	B	C	C	D	B
q1383172	1	C	B	A	B	D	B	C	B	D	C	X	D	X	B	A	D	X	D	A	X	A	D	X	X	X	C	X	C	A	D	B	C	B	B	B
q1390534	1	C	B	A	B	D	B	D	B	D	C	C	X	A	B	A	C	C	A	A	D	C	C	B	B	B	C	B	C	A	A	A	C	B	C	B
q1388280	1	C	B	A	B	D	B	D	D	D	C	A	B	C	B	A	C	D	A	D	B	A	D	A	C	B	A	D	C	D	D	A	D	C	A	B
q1381466	1	C	B	A	B	D	B	D	B	D	C	A	B	D	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	A	B	B	B
q1381455	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	A	B	B	B
q1381911	1	C	B	A	B	D	B	D	B	D	C	A	B	A	D	A	C	D	C	A	D	D	D	C	B	B	C	B	B	A	D	A	C	C	B	C
q1429440	1	C	B	A	B	D	B	D	B	D	B	A	C	A	B	C	C	D	B	A	B	A	C	B	B	A	C	B	B	A	D	C	C	A	B	B
q1388274	1	C	B	A	D	D	B	D	C	D	C	A	B	X	B	A	C	D	C	A	D	D	D	C	B	B	C	B	B	A	D	B	C	B	B	B
q1381692	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	B	A	D	D	D	C	B	D	C	B	C	A	D	A	C	B	B	B
q1378892	1	D	B	C	C	D	B	B	B	D	C	D	B	D	B	C	B	D	B	C	D	D	C	C	C	A	C	B	A	A	X	B	C	B	B	B
