ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	chemieJuist	chemieFout	chemieBlanco	chemieScore
q1388952	1	1	23	9	3	11	13	9	3	8	10	0	0	10	7	7	1	5	6	2	2	5
q1459616	1	1	22	10	3	11	13	9	3	8	9	1	0	9	7	5	3	5	6	4	0	5
q1438351	1	1	28	4	3	15	18	4	3	13	10	0	0	10	9	3	3	8	9	1	0	9
q1437748	1	0	11	15	9	3	5	11	9	1	6	4	0	5	1	6	8	0	4	5	1	2
q1417891	1	1	21	7	7	11	12	7	6	8	9	0	1	9	9	2	4	8	3	5	2	1
q1444021	1	0	14	9	12	6	7	8	10	3	7	1	2	7	3	4	8	2	4	4	2	3
q1417845	1	1	21	12	2	10	12	11	2	7	9	1	0	9	9	4	2	8	3	7	0	1
q1435021	1	1	23	12	0	11	14	11	0	8	9	1	0	9	10	5	0	8	4	6	0	2
q1339490	1	0	17	5	13	9	10	4	11	7	7	1	2	7	3	3	9	2	7	1	2	7
q1427398	1	0	15	20	0	5	8	17	0	2	7	3	0	6	6	9	0	3	2	8	0	0
q1429773	1	1	29	6	0	15	19	6	0	14	10	0	0	10	14	1	0	14	5	5	0	3
q1383047	1	1	28	6	1	15	18	6	1	13	10	0	0	10	9	5	1	7	9	1	0	9
q1381882	1	1	28	4	3	15	19	4	2	14	9	0	1	9	11	3	1	10	8	1	1	8
q1388371	1	1	25	4	6	14	16	4	5	12	9	0	1	9	9	1	5	9	7	3	0	6
q1346785	1	1	28	7	0	15	18	7	0	13	10	0	0	10	10	5	0	8	8	2	0	7
q1428548	1	1	26	6	3	14	19	3	3	14	7	3	0	6	9	3	3	8	10	0	0	10
q1309410	1	0	20	15	0	9	12	13	0	6	8	2	0	7	7	8	0	4	5	5	0	3
q1417595	1	1	28	7	0	15	19	6	0	14	9	1	0	9	11	4	0	10	8	2	0	7
q1379240	1	1	28	7	0	15	19	6	0	14	9	1	0	9	11	4	0	10	8	2	0	7
q1419725	1	0	11	3	21	6	2	3	20	1	9	0	1	9	2	3	10	1	0	0	10	0
q1459625	1	0	16	18	1	6	11	13	1	5	5	5	0	3	7	7	1	5	4	6	0	2
q1380680	1	1	26	7	2	14	17	6	2	12	9	1	0	9	9	4	2	8	8	2	0	7
q1382739	1	1	19	6	10	10	12	3	10	9	7	3	0	6	7	3	5	6	5	0	5	5
q1418394	1	1	22	7	6	11	13	7	5	9	9	0	1	9	8	3	4	7	5	4	1	4
q1421613	1	1	29	6	0	15	19	6	0	14	10	0	0	10	12	3	0	11	7	3	0	6
q1342361	1	1	24	3	8	13	14	3	8	10	10	0	0	10	7	1	7	7	7	2	1	6
q1395662	1	1	21	7	7	11	13	7	5	9	8	0	2	8	7	4	4	6	6	3	1	5
q1427556	1	1	32	3	0	18	22	3	0	17	10	0	0	10	13	2	0	12	9	1	0	9
q1412525	1	1	32	3	0	18	22	3	0	17	10	0	0	10	13	2	0	12	9	1	0	9
q1371148	1	1	24	11	0	12	16	9	0	10	8	2	0	7	11	4	0	10	5	5	0	3
q1383172	1	1	20	7	8	10	11	6	8	7	9	1	0	9	3	5	7	1	8	1	1	8
q1390534	1	1	27	7	1	14	17	7	1	12	10	0	0	10	9	5	1	7	8	2	0	7
q1388280	1	0	20	15	0	9	11	14	0	5	9	1	0	9	7	8	0	4	4	6	0	2
q1381466	1	1	33	2	0	18	23	2	0	18	10	0	0	10	14	1	0	14	9	1	0	9
q1381455	1	1	34	1	0	19	24	1	0	19	10	0	0	10	15	0	0	15	9	1	0	9
q1381911	1	1	30	5	0	16	20	5	0	15	10	0	0	10	13	2	0	12	7	3	0	6
q1429440	1	1	24	11	0	12	15	10	0	9	9	1	0	9	8	7	0	6	7	3	0	6
q1388274	1	1	29	5	1	16	21	3	1	16	8	2	0	7	13	1	1	13	8	2	0	7
q1381692	1	1	32	3	0	18	22	3	0	17	10	0	0	10	12	3	0	11	10	0	0	10
q1378892	1	0	20	14	1	9	14	10	1	9	6	4	0	5	7	8	0	4	7	2	1	6
q1426501	1	0	14	15	6	5	8	11	6	3	6	4	0	5	5	5	5	3	3	6	1	1
q1389033	1	1	28	5	2	15	18	5	2	13	10	0	0	10	9	4	2	8	9	1	0	9
q1378103	1	1	28	7	0	15	18	7	0	13	10	0	0	10	11	4	0	10	7	3	0	6
q1381795	1	0	21	14	0	9	11	14	0	5	10	0	0	10	7	8	0	4	4	6	0	2
q1459271	1	1	28	6	1	15	18	6	1	13	10	0	0	10	12	2	1	11	6	4	0	5
q1404992	1	0	12	22	1	3	8	16	1	2	4	6	0	2	5	9	1	2	3	7	0	1
q1461384	1	1	29	6	0	15	19	6	0	14	10	0	0	10	11	4	0	10	8	2	0	7
q1296430	1	1	26	9	0	13	19	6	0	14	7	3	0	6	9	6	0	7	10	0	0	10
q1389853	1	1	23	12	0	11	14	11	0	8	9	1	0	9	8	7	0	6	6	4	0	5
q1400957	1	0	20	15	0	9	14	11	0	8	6	4	0	5	9	6	0	7	5	5	0	3
q1341804	1	0	11	7	17	5	4	5	16	2	7	2	1	6	4	5	6	2	0	0	10	0
q1346556	1	1	28	4	3	15	19	4	2	14	9	0	1	9	11	2	2	10	8	2	0	7
q1384479	1	1	26	6	3	14	18	5	2	13	8	1	1	8	8	5	2	6	10	0	0	10
q1346124	1	1	27	4	4	15	17	4	4	13	10	0	0	10	8	3	4	7	9	1	0	9
q1446686	1	1	30	5	0	16	21	4	0	16	9	1	0	9	12	3	0	11	9	1	0	9
q1247692	1	1	30	1	4	17	20	1	4	16	10	0	0	10	11	1	3	11	9	0	1	9
q1381766	1	0	18	12	5	8	11	10	4	6	7	2	1	6	8	4	3	7	3	6	1	1
q1378915	1	1	30	0	5	17	20	0	5	16	10	0	0	10	13	0	2	13	7	0	3	7
q1425287	1	0	21	14	0	9	12	13	0	6	9	1	0	9	8	7	0	6	4	6	0	2
q1384066	1	1	25	10	0	12	18	7	0	13	7	3	0	6	11	4	0	10	7	3	0	6
q1459985	1	1	22	9	4	11	15	7	3	10	7	2	1	6	9	3	3	8	6	4	0	5
q1414559	1	0	14	11	10	6	9	9	7	5	5	2	3	4	3	5	7	1	6	4	0	5
q1397199	1	1	29	0	6	17	19	0	6	15	10	0	0	10	12	0	3	12	7	0	3	7
q1378376	1	1	28	3	4	15	18	3	4	14	10	0	0	10	11	1	3	11	7	2	1	6
q1381478	1	1	19	6	10	10	11	5	9	7	8	1	1	8	5	3	7	4	6	2	2	5
q1381286	1	1	23	6	6	12	15	5	5	11	8	1	1	8	6	4	5	5	9	1	0	9
q1446542	1	0	19	11	5	9	11	10	4	6	8	1	1	8	6	5	4	4	5	5	0	3
q1396245	1	1	24	8	3	12	17	7	1	12	7	1	2	7	9	5	1	7	8	2	0	7
q1425826	1	1	29	6	0	15	20	5	0	15	9	1	0	9	12	3	0	11	8	2	0	7
q1315344	1	0	7	1	27	4	0	0	25	0	7	1	2	7	0	0	15	0	0	0	10	0
q1442616	1	0	18	8	9	9	12	6	7	8	6	2	2	5	6	4	5	5	6	2	2	5
q1317416	1	1	22	13	0	10	13	12	0	7	9	1	0	9	8	7	0	6	5	5	0	3
q1346660	1	1	23	12	0	11	14	11	0	8	9	1	0	9	9	6	0	7	5	5	0	3
q1423589	1	1	24	11	0	12	16	9	0	10	8	2	0	7	9	6	0	7	7	3	0	6
q1436801	1	0	19	11	5	9	11	10	4	6	8	1	1	8	7	4	4	6	4	6	0	2
q1417617	1	1	29	5	1	16	19	5	1	14	10	0	0	10	10	4	1	9	9	1	0	9
q1460256	1	1	20	4	11	11	12	4	9	9	8	0	2	8	6	0	9	6	6	4	0	5
q1399763	1	1	24	7	4	12	15	7	3	10	9	0	1	9	8	5	2	6	7	2	1	6
q1378148	1	1	29	6	0	15	20	5	0	15	9	1	0	9	13	2	0	12	7	3	0	6
q1411496	1	1	28	6	1	15	19	5	1	14	9	1	0	9	11	4	0	10	8	1	1	8
q1380532	1	1	23	7	5	12	15	5	5	11	8	2	0	7	8	3	4	7	7	2	1	6
q1459915	1	0	7	4	24	3	4	2	19	3	3	2	5	2	0	0	15	0	4	2	4	3
q1318225	1	1	22	13	0	10	14	11	0	8	8	2	0	7	8	7	0	6	6	4	0	5
q1347439	1	1	22	13	0	10	12	13	0	6	10	0	0	10	8	7	0	6	4	6	0	2
q1420855	1	1	23	5	7	12	15	5	5	11	8	0	2	8	8	3	4	7	7	2	1	6
q1382312	1	1	29	6	0	15	20	5	0	15	9	1	0	9	12	3	0	11	8	2	0	7
q1372220	1	1	29	6	0	15	20	5	0	15	9	1	0	9	12	3	0	11	8	2	0	7
q1374572	1	1	23	7	5	12	15	6	4	10	8	1	1	8	9	3	3	8	6	3	1	5
q1423237	1	1	20	6	9	10	13	5	7	9	7	1	2	7	6	3	6	5	7	2	1	6
q1381748	1	1	20	6	9	10	13	5	7	9	7	1	2	7	6	3	6	5	7	2	1	6
q1382388	1	1	23	5	7	12	14	5	6	10	9	0	1	9	5	4	6	4	9	1	0	9
q1444273	1	0	17	18	0	6	10	15	0	4	7	3	0	6	8	7	0	6	2	8	0	0
q1320022	1	1	27	8	0	14	18	7	0	13	9	1	0	9	12	3	0	11	6	4	0	5
q1418002	1	0	14	15	6	5	8	12	5	3	6	3	1	5	5	5	5	3	3	7	0	1
q1417486	1	1	29	3	3	16	19	3	3	14	10	0	0	10	10	2	3	9	9	1	0	9
q1440341	1	0	19	13	3	8	11	11	3	6	8	2	0	7	8	4	3	7	3	7	0	1
q1417237	1	1	27	4	4	15	17	4	4	13	10	0	0	10	9	3	3	8	8	1	1	8
q1379868	1	1	29	1	5	16	19	1	5	15	10	0	0	10	9	1	5	9	10	0	0	10
q1344958	1	0	18	17	0	7	9	16	0	3	9	1	0	9	3	12	0	0	6	4	0	5
q1406174	1	1	20	6	9	10	12	4	9	9	8	2	0	7	5	2	8	4	7	2	1	6
q1345669	1	1	32	2	1	18	23	2	0	18	9	0	1	9	13	2	0	12	10	0	0	10
q1417875	1	1	33	2	0	18	23	2	0	18	10	0	0	10	13	2	0	12	10	0	0	10
q1378352	1	0	18	10	7	8	11	7	7	7	7	3	0	6	8	2	5	7	3	5	2	1
q1414415	1	0	18	10	7	8	11	7	7	7	7	3	0	6	8	2	5	7	3	5	2	1
q1461898	1	0	15	10	10	7	8	10	7	4	7	0	3	7	5	5	5	3	3	5	2	1
q1283121	1	1	31	4	0	17	21	4	0	16	10	0	0	10	13	2	0	12	8	2	0	7
q1362938	1	1	28	5	2	15	19	4	2	14	9	1	0	9	9	4	2	8	10	0	0	10
q1385582	1	1	29	2	4	16	19	2	4	15	10	0	0	10	9	2	4	8	10	0	0	10
q1418973	1	1	29	2	4	16	20	1	4	16	9	1	0	9	11	1	3	11	9	0	1	9
q1381117	1	1	30	5	0	16	20	5	0	15	10	0	0	10	10	5	0	8	10	0	0	10
q1332297	1	1	24	1	10	14	15	1	9	12	9	0	1	9	9	0	6	9	6	1	3	6
q1386017	1	1	22	13	0	10	13	12	0	7	9	1	0	9	9	6	0	7	4	6	0	2
q1378085	1	1	26	9	0	13	16	9	0	10	10	0	0	10	7	8	0	4	9	1	0	9
q1276901	1	0	20	15	0	9	13	12	0	7	7	3	0	6	7	8	0	4	6	4	0	5
q1390053	1	1	19	6	10	10	13	3	9	10	6	3	1	5	6	3	6	5	7	0	3	7
q1460371	1	1	29	6	0	15	19	6	0	14	10	0	0	10	10	5	0	8	9	1	0	9
q1417823	1	0	19	16	0	8	10	15	0	4	9	1	0	9	7	8	0	4	3	7	0	1
q1379616	1	0	18	7	10	9	10	7	8	6	8	0	2	8	4	3	8	3	6	4	0	5
q1417247	1	0	20	15	0	9	11	14	0	5	9	1	0	9	5	10	0	2	6	4	0	5
q1371063	1	0	16	12	7	7	8	10	7	4	8	2	0	7	5	5	5	3	3	5	2	1
q1429434	1	1	30	5	0	16	21	4	0	16	9	1	0	9	12	3	0	11	9	1	0	9
q1463756	1	1	25	10	0	12	15	10	0	9	10	0	0	10	8	7	0	6	7	3	0	6
q1386796	1	1	28	7	0	15	18	7	0	13	10	0	0	10	12	3	0	11	6	4	0	5
q1382040	1	1	23	7	5	12	14	6	5	10	9	1	0	9	9	2	4	8	5	4	1	4
q1381986	1	1	28	6	1	15	19	5	1	14	9	1	0	9	11	3	1	10	8	2	0	7
q1397206	1	1	29	5	1	16	20	4	1	15	9	1	0	9	10	4	1	9	10	0	0	10
q1372197	1	1	27	8	0	14	17	8	0	11	10	0	0	10	9	6	0	7	8	2	0	7
q1381087	1	0	19	16	0	8	11	14	0	5	8	2	0	7	8	7	0	6	3	7	0	1
q1318216	1	1	26	9	0	13	16	9	0	10	10	0	0	10	11	4	0	10	5	5	0	3
q1381500	1	1	26	8	1	13	18	7	0	13	8	1	1	8	12	3	0	11	6	4	0	5
q1381776	1	1	22	13	0	10	12	13	0	6	10	0	0	10	7	8	0	4	5	5	0	3
q1381658	1	1	25	5	5	13	16	5	4	11	9	0	1	9	8	3	4	7	8	2	0	7
q1381878	1	0	16	6	13	8	9	5	11	6	7	1	2	7	7	1	7	7	2	4	4	1
q1382376	1	1	25	10	0	12	16	9	0	10	9	1	0	9	11	4	0	10	5	5	0	3
q1461563	1	1	30	0	5	17	20	0	5	16	10	0	0	10	10	0	5	10	10	0	0	10
q1339726	1	1	30	5	0	16	20	5	0	15	10	0	0	10	13	2	0	12	7	3	0	6
q1347460	1	0	12	12	11	5	8	6	11	5	4	6	0	2	4	3	8	3	4	3	3	3
q1381632	1	1	24	6	5	13	16	5	4	11	8	1	1	8	11	1	3	11	5	4	1	4
q1381112	1	1	28	7	0	15	18	7	0	13	10	0	0	10	11	4	0	10	7	3	0	6
q1379929	1	1	29	6	0	15	19	6	0	14	10	0	0	10	12	3	0	11	7	3	0	6
q1445566	1	1	25	10	0	12	16	9	0	10	9	1	0	9	10	5	0	8	6	4	0	5
q1431909	1	0	18	10	7	8	12	8	5	7	6	2	2	5	5	5	5	3	7	3	0	6
q1332254	1	1	22	8	5	11	14	6	5	10	8	2	0	7	7	3	5	6	7	3	0	6
q1383847	1	1	26	7	2	14	17	6	2	12	9	1	0	9	8	5	2	6	9	1	0	9
q1362713	1	1	28	6	1	15	20	4	1	15	8	2	0	7	12	2	1	11	8	2	0	7
q1408544	1	1	24	8	3	12	14	8	3	9	10	0	0	10	7	5	3	5	7	3	0	6
q1386710	1	1	33	2	0	18	23	2	0	18	10	0	0	10	13	2	0	12	10	0	0	10
q1389840	1	1	24	11	0	12	14	11	0	8	10	0	0	10	10	5	0	8	4	6	0	2
q1390643	1	1	23	4	8	12	13	4	8	9	10	0	0	10	5	2	8	4	8	2	0	7
q1405354	1	0	18	16	1	7	10	14	1	4	8	2	0	7	6	8	1	3	4	6	0	2
q1340827	1	1	24	9	2	12	15	8	2	10	9	1	0	9	8	5	2	6	7	3	0	6
q1399470	1	1	30	4	1	16	21	3	1	16	9	1	0	9	12	2	1	11	9	1	0	9
q1385562	1	1	26	5	4	14	18	3	4	14	8	2	0	7	11	1	3	11	7	2	1	6
q1395052	1	1	29	4	2	16	19	4	2	14	10	0	0	10	12	1	2	12	7	3	0	6
q1441015	1	0	18	17	0	7	11	14	0	5	7	3	0	6	6	9	0	3	5	5	0	3
q1368716	1	1	31	2	2	17	23	1	1	18	8	1	1	8	15	0	0	15	8	1	1	8
q1404996	1	1	22	9	4	11	13	9	3	8	9	0	1	9	9	5	1	7	4	4	2	3
q1383803	1	1	22	13	0	10	13	12	0	7	9	1	0	9	7	8	0	4	6	4	0	5
q1341397	1	0	21	14	0	9	13	12	0	7	8	2	0	7	7	8	0	4	6	4	0	5
q1394867	1	1	28	3	4	15	19	2	4	15	9	1	0	9	10	1	4	10	9	1	0	9
q1443310	1	1	23	12	0	11	14	11	0	8	9	1	0	9	9	6	0	7	5	5	0	3
q1399772	1	0	17	10	8	8	9	8	8	5	8	2	0	7	2	5	8	0	7	3	0	6
q1443191	1	0	16	15	4	6	8	14	3	3	8	1	1	8	4	8	3	1	4	6	0	2
q1381679	1	1	34	0	1	19	24	0	1	19	10	0	0	10	15	0	0	15	9	0	1	9
q1378308	1	1	34	0	1	19	24	0	1	19	10	0	0	10	15	0	0	15	9	0	1	9
q1441904	1	1	27	8	0	14	19	6	0	14	8	2	0	7	11	4	0	10	8	2	0	7
q1378088	1	1	23	12	0	11	13	12	0	7	10	0	0	10	8	7	0	6	5	5	0	3
q1384267	1	1	21	13	1	10	14	10	1	9	7	3	0	6	9	5	1	7	5	5	0	3
q1396769	1	1	24	4	7	13	16	3	6	12	8	1	1	8	9	2	4	8	7	1	2	7
q1399964	1	0	11	13	11	4	6	10	9	2	5	3	2	4	1	5	9	0	5	5	0	3
q1379635	1	1	33	0	2	19	23	0	2	18	10	0	0	10	14	0	1	14	9	0	1	9
q1440012	1	1	23	4	8	12	15	4	6	11	8	0	2	8	6	3	6	5	9	1	0	9
q1418696	1	0	8	15	12	2	5	12	8	1	3	3	4	2	3	4	8	2	2	8	0	0
q1369501	1	1	21	11	3	10	12	10	3	7	9	1	0	9	7	6	2	5	5	4	1	4
q1375932	1	1	27	8	0	14	17	8	0	11	10	0	0	10	10	5	0	8	7	3	0	6
q1373399	1	0	16	13	6	7	8	11	6	3	8	2	0	7	4	6	5	2	4	5	1	2
q1427267	1	1	25	10	0	12	16	9	0	10	9	1	0	9	9	6	0	7	7	3	0	6
q1345512	1	1	25	5	5	13	17	4	4	13	8	1	1	8	8	3	4	7	9	1	0	9
q1429432	1	0	20	12	3	9	15	7	3	10	5	5	0	3	8	5	2	6	7	2	1	6
q1388947	1	1	28	2	5	16	20	1	4	16	8	1	1	8	12	0	3	12	8	1	1	8
q1426928	1	0	14	18	3	5	8	14	3	3	6	4	0	5	6	7	2	4	2	7	1	0
q1399336	1	0	15	13	7	6	8	11	6	3	7	2	1	6	5	5	5	3	3	6	1	1
q1316285	1	1	24	11	0	12	16	9	0	10	8	2	0	7	7	8	0	4	9	1	0	9
q1461998	1	1	28	7	0	15	18	7	0	13	10	0	0	10	11	4	0	10	7	3	0	6
q1276738	1	0	19	16	0	8	12	13	0	6	7	3	0	6	5	10	0	2	7	3	0	6
q1418415	1	1	29	3	3	16	20	2	3	15	9	1	0	9	10	2	3	9	10	0	0	10
q1403093	1	0	17	6	12	9	9	5	11	6	8	1	1	8	4	3	8	3	5	2	3	4
q1371561	1	0	15	20	0	5	8	17	0	2	7	3	0	6	5	10	0	2	3	7	0	1
q1381156	1	0	20	11	4	9	11	11	3	6	9	0	1	9	7	5	3	5	4	6	0	2
q1385774	1	1	26	9	0	13	17	8	0	11	9	1	0	9	8	7	0	6	9	1	0	9
q1385499	1	0	19	15	1	8	9	15	1	3	10	0	0	10	6	8	1	3	3	7	0	1
q1381799	1	0	18	7	10	9	11	5	9	7	7	2	1	6	3	3	9	2	8	2	0	7
q1419210	1	1	27	4	4	15	18	4	3	13	9	0	1	9	10	2	3	9	8	2	0	7
q1318081	1	0	19	16	0	8	12	13	0	6	7	3	0	6	7	8	0	4	5	5	0	3
q1381682	1	1	30	5	0	16	21	4	0	16	9	1	0	9	13	2	0	12	8	2	0	7
q1268476	1	0	14	21	0	4	6	19	0	0	8	2	0	7	4	11	0	0	2	8	0	0
q1385817	1	1	26	6	3	14	16	6	3	11	10	0	0	10	9	3	3	8	7	3	0	6
q1341750	1	0	14	5	16	7	8	4	13	5	6	1	3	6	4	1	10	4	4	3	3	3
q1362197	1	1	23	12	0	11	14	11	0	8	9	1	0	9	10	5	0	8	4	6	0	2
q1423232	1	1	30	5	0	16	21	4	0	16	9	1	0	9	11	4	0	10	10	0	0	10
q1382419	1	0	14	21	0	4	11	14	0	5	3	7	0	1	5	10	0	2	6	4	0	5
q1380699	1	0	14	4	17	7	8	4	13	5	6	0	4	6	2	2	11	1	6	2	2	5
q1386737	1	1	24	5	6	13	15	5	5	11	9	0	1	9	8	3	4	7	7	2	1	6
q1457662	1	1	25	10	0	12	16	9	0	10	9	1	0	9	9	6	0	7	7	3	0	6
q1379843	1	0	16	3	16	9	10	3	12	7	6	0	4	6	2	1	12	2	8	2	0	7
q1458811	1	1	25	9	1	13	16	8	1	11	9	1	0	9	8	6	1	6	8	2	0	7
q1379946	1	1	23	12	0	11	15	10	0	9	8	2	0	7	9	6	0	7	6	4	0	5
q1382038	1	0	9	3	23	5	4	2	19	3	5	1	4	5	4	2	9	3	0	0	10	0
q1385503	1	0	12	14	9	4	6	10	9	2	6	4	0	5	2	8	5	0	4	2	4	3
q1339940	1	1	32	3	0	18	23	2	0	18	9	1	0	9	15	0	0	15	8	2	0	7
q1387015	1	1	29	2	4	16	19	2	4	15	10	0	0	10	9	2	4	8	10	0	0	10
q1388651	1	0	17	18	0	6	11	14	0	5	6	4	0	5	7	8	0	4	4	6	0	2
q1460202	1	1	25	7	3	13	15	7	3	10	10	0	0	10	7	5	3	5	8	2	0	7
q1463563	1	1	34	1	0	19	24	1	0	19	10	0	0	10	14	1	0	14	10	0	0	10
q1384748	1	0	9	2	24	5	1	0	24	1	8	2	0	7	1	0	14	1	0	0	10	0
q1425401	1	0	1	0	34	1	0	0	25	0	1	0	9	1	0	0	15	0	0	0	10	0
