key	value
aantalDeelnemers	216
totaalHoogsteScore	19
totaalLaagsteScore	1
totaalGemiddeldeScore	11.671296296296296
totaalMediaanScore	12
totaalAantalScore0	0
totaalAantalScore1	1
totaalAantalScore2	1
totaalAantalScore3	3
totaalAantalScore4	5
totaalAantalScore5	9
totaalAantalScore6	8
totaalAantalScore7	8
totaalAantalScore8	12
totaalAantalScore9	19
totaalAantalScore10	16
totaalAantalScore11	16
totaalAantalScore12	23
totaalAantalScore13	13
totaalAantalScore14	13
totaalAantalScore15	31
totaalAantalScore16	19
totaalAantalScore17	6
totaalAantalScore18	8
totaalAantalScore19	5
totaalAantalScore20	0
zonder_basisHoogsteScore	19
zonder_basisLaagsteScore	0
zonder_basisGemiddeldeScore	9.939814814814815
zonder_basisMediaanScore	10
zonder_basisAantalScore0	3
zonder_basisAantalScore1	4
zonder_basisAantalScore2	6
zonder_basisAantalScore3	11
zonder_basisAantalScore4	5
zonder_basisAantalScore5	13
zonder_basisAantalScore6	14
zonder_basisAantalScore7	16
zonder_basisAantalScore8	13
zonder_basisAantalScore9	14
zonder_basisAantalScore10	20
zonder_basisAantalScore11	12
zonder_basisAantalScore12	7
zonder_basisAantalScore13	17
zonder_basisAantalScore14	20
zonder_basisAantalScore15	15
zonder_basisAantalScore16	12
zonder_basisAantalScore17	3
zonder_basisAantalScore18	7
zonder_basisAantalScore19	4
zonder_basisAantalScore20	0
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	1
wiskunde_basisGemiddeldeScore	8.078703703703704
wiskunde_basisMediaanScore	9
wiskunde_basisAantalScore0	0
wiskunde_basisAantalScore1	2
wiskunde_basisAantalScore2	4
wiskunde_basisAantalScore3	2
wiskunde_basisAantalScore4	2
wiskunde_basisAantalScore5	12
wiskunde_basisAantalScore6	22
wiskunde_basisAantalScore7	30
wiskunde_basisAantalScore8	19
wiskunde_basisAantalScore9	63
wiskunde_basisAantalScore10	60
wiskunde_standaardHoogsteScore	15
wiskunde_standaardLaagsteScore	0
wiskunde_standaardGemiddeldeScore	6.958333333333333
wiskunde_standaardMediaanScore	7
wiskunde_standaardAantalScore0	9
wiskunde_standaardAantalScore1	6
wiskunde_standaardAantalScore2	12
wiskunde_standaardAantalScore3	14
wiskunde_standaardAantalScore4	20
wiskunde_standaardAantalScore5	13
wiskunde_standaardAantalScore6	22
wiskunde_standaardAantalScore7	28
wiskunde_standaardAantalScore8	23
wiskunde_standaardAantalScore9	8
wiskunde_standaardAantalScore10	18
wiskunde_standaardAantalScore11	19
wiskunde_standaardAantalScore12	13
wiskunde_standaardAantalScore13	2
wiskunde_standaardAantalScore14	4
wiskunde_standaardAantalScore15	5
chemieHoogsteScore	10
chemieLaagsteScore	0
chemieGemiddeldeScore	5.435185185185185
chemieMediaanScore	6
chemieAantalScore0	11
chemieAantalScore1	17
chemieAantalScore2	16
chemieAantalScore3	22
chemieAantalScore4	5
chemieAantalScore5	26
chemieAantalScore6	37
chemieAantalScore7	31
chemieAantalScore8	6
chemieAantalScore9	28
chemieAantalScore10	17
vragenreeks1totaalHoogsteScore	19
vragenreeks1totaalLaagsteScore	1
vragenreeks1totaalGemiddeldeScore	11.671296296296296
vragenreeks1totaalMediaanScore	12
vragenreeks1totaalAantalScore0	0
vragenreeks1totaalAantalScore1	1
vragenreeks1totaalAantalScore2	1
vragenreeks1totaalAantalScore3	3
vragenreeks1totaalAantalScore4	5
vragenreeks1totaalAantalScore5	9
vragenreeks1totaalAantalScore6	8
vragenreeks1totaalAantalScore7	8
vragenreeks1totaalAantalScore8	12
vragenreeks1totaalAantalScore9	19
vragenreeks1totaalAantalScore10	16
vragenreeks1totaalAantalScore11	16
vragenreeks1totaalAantalScore12	23
vragenreeks1totaalAantalScore13	13
vragenreeks1totaalAantalScore14	13
vragenreeks1totaalAantalScore15	31
vragenreeks1totaalAantalScore16	19
vragenreeks1totaalAantalScore17	6
vragenreeks1totaalAantalScore18	8
vragenreeks1totaalAantalScore19	5
vragenreeks1totaalAantalScore20	0
vragenreeks1zonder_basisHoogsteScore	19
vragenreeks1zonder_basisLaagsteScore	0
vragenreeks1zonder_basisGemiddeldeScore	9.939814814814815
vragenreeks1zonder_basisMediaanScore	10
vragenreeks1zonder_basisAantalScore0	3
vragenreeks1zonder_basisAantalScore1	4
vragenreeks1zonder_basisAantalScore2	6
vragenreeks1zonder_basisAantalScore3	11
