feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
19xc22153	1	C	B	A	B	D	A	D	B	D	C	A	B	X	B	X	C	X	C	A	X	B	C	X	B	B	C	X	C	D	X	B	C	B	C	X
19xc89669	1	C	B	A	B	D	B	C	B	D	C	A	X	B	B	X	C	X	C	A	X	B	X	X	C	B	C	D	C	D	D	C	C	B	D	B
19xc38479	1	C	B	A	B	D	B	D	B	D	C	A	A	C	C	A	D	D	C	A	D	D	C	C	B	B	C	B	B	A	D	A	C	B	B	B
19xc59229	1	C	B	A	D	D	B	B	B	D	C	A	B	C	A	C	C	B	C	A	B	D	D	D	B	C	C	A	B	C	A	A	B	A	B	C
19xc30402	1	C	B	A	B	D	B	D	B	D	C	A	B	X	X	X	C	X	C	A	X	D	D	D	B	X	C	A	B	A	A	A	B	A	B	B
19xc70601	1	C	B	A	B	D	X	C	B	D	C	A	B	X	A	A	X	D	C	A	X	B	D	X	B	A	C	B	B	A	D	B	C	X	B	B
19xc91612	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	A	A	D	D	C	C	B	B	C	A	C	A	D	A	C	B	B	B
19xc55150	1	C	B	A	B	D	B	D	B	D	C	A	B	A	A	A	C	D	C	A	D	B	C	C	B	B	C	D	A	A	A	A	C	B	B	C
19xc86698	1	C	B	C	B	D	B	X	X	D	C	A	B	X	B	A	X	X	C	A	X	B	X	X	B	A	X	B	B	D	D	A	A	X	B	B
19xc85476	1	C	B	A	A	D	B	D	B	D	C	A	B	A	B	A	C	B	C	A	D	D	C	B	B	B	C	B	X	A	D	A	X	B	B	X
19xc69882	1	C	B	A	B	D	B	X	B	D	C	A	X	X	B	A	C	X	C	A	A	D	D	X	B	X	C	B	A	A	X	A	C	C	B	B
19xc39648	1	C	B	A	B	D	B	D	B	D	C	A	B	C	C	A	C	D	B	B	C	D	C	D	C	B	C	A	A	A	C	B	C	A	C	C
19xc98177	1	C	B	A	B	D	B	C	B	D	C	A	B	X	B	X	C	D	C	A	X	B	D	X	B	D	C	B	C	A	X	A	C	C	D	B
19xc18919	1	C	B	A	B	D	B	D	B	C	C	X	A	X	B	A	C	X	C	A	D	X	X	X	B	A	C	B	X	A	D	A	C	B	C	B
19xc51952	1	C	B	A	B	D	B	D	B	D	C	A	X	X	X	A	C	D	C	A	X	X	C	C	B	B	C	X	C	A	D	A	C	X	B	X
19xc68890	1	C	B	A	C	D	B	B	B	D	C	A	B	C	D	A	C	D	C	A	X	B	D	B	X	X	C	A	B	A	D	A	C	C	C	D
19xc59876	1	C	B	A	B	D	C	D	B	X	C	A	B	X	B	A	C	D	B	A	A	B	X	X	C	X	C	B	C	A	D	A	C	B	B	B
19xc66301	1	C	B	A	B	D	B	A	B	D	C	C	D	A	B	D	C	C	C	A	D	B	D	C	B	B	B	A	C	A	C	B	A	D	C	D
19xc67454	1	C	B	A	B	D	B	D	B	D	C	B	D	D	B	A	C	D	C	A	D	D	C	C	D	B	B	B	C	A	D	A	C	C	B	B
19xc52880	1	C	B	A	B	D	B	D	B	B	C	A	D	A	X	A	C	X	C	A	D	B	C	X	B	A	C	B	C	A	D	A	C	B	A	B
19xc22326	1	C	B	A	B	D	C	A	A	D	C	C	X	C	B	A	D	D	A	A	X	C	D	X	X	X	C	B	B	A	D	A	C	B	A	B
19xc23289	1	C	B	A	B	D	B	A	B	D	C	D	X	X	B	X	C	D	C	A	X	X	X	C	X	B	C	B	C	A	X	C	D	B	B	B
19xc74491	1	C	B	A	B	D	B	D	X	D	C	A	X	X	X	A	C	D	C	A	D	D	X	C	B	B	C	B	C	A	D	A	C	B	B	B
19xc10995	1	C	B	A	B	D	B	X	B	B	C	A	X	X	B	X	C	D	C	A	X	B	C	C	X	B	C	B	C	A	A	C	C	B	B	B
19xc48912	1	C	B	A	B	D	B	D	X	D	C	A	X	X	X	A	C	X	C	A	D	D	X	C	B	X	C	D	C	A	D	A	C	B	C	B
19xc84935	1	C	B	A	B	D	B	D	B	D	C	C	X	X	B	C	C	D	B	A	B	X	B	X	B	A	C	D	B	A	D	A	C	B	B	B
19xc58654	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	X	D	D	X	B	B	C	B	C	A	D	A	C	B	B	B
19xc18444	1	C	B	A	B	D	B	D	B	D	C	A	X	X	B	A	C	D	D	A	A	C	D	C	B	B	C	B	C	D	D	A	X	A	B	A
