scoreNaam	groepLabel	kleur	aantal
totaal	<10	rgb(255,140,0)	40
totaal	10-13	rgb(255,215,0)	50
totaal	>=14	rgb(144,238,144)	60
zonder_basis	<10	rgb(255,140,0)	58
zonder_basis	10-13	rgb(255,215,0)	50
zonder_basis	>=14	rgb(144,238,144)	42
wiskunde_basis	<7	rgb(255,140,0)	35
wiskunde_basis	7-8	rgb(255,215,0)	23
wiskunde_basis	>=9	rgb(144,238,144)	92
wiskunde_standaard	<8	rgb(255,140,0)	77
wiskunde_standaard	8-11	rgb(255,215,0)	51
wiskunde_standaard	>=12	rgb(144,238,144)	22
chemie	<5	rgb(255,140,0)	44
chemie	5-7	rgb(255,215,0)	39
chemie	>=7	rgb(144,238,144)	67
