feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	zonder_basisGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemieGroep
19xc22153	1	1	22	5	8	12	10-13	13	4	8	9	<10	9	1	0	9	>=9	9	1	5	9	8-11	4	3	3	3	<5
19xc89669	1	1	21	8	6	10	10-13	12	7	6	8	<10	9	1	0	9	>=9	6	3	6	5	<8	6	4	0	5	5-7
19xc38479	1	1	30	5	0	16	>=14	20	5	0	15	>=14	10	0	0	10	>=9	11	4	0	10	8-11	9	1	0	9	>=7
19xc59229	1	0	18	17	0	7	<10	10	15	0	4	<10	8	2	0	7	7-8	7	8	0	4	<8	3	7	0	1	<5
19xc30402	1	1	22	7	6	11	10-13	12	7	6	8	<10	10	0	0	10	>=9	7	2	6	6	<8	5	5	0	3	<5
19xc70601	1	1	22	7	6	11	10-13	14	6	5	10	10-13	8	1	1	8	7-8	7	4	4	6	<8	7	2	1	6	5-7
19xc91612	1	1	33	2	0	18	>=14	23	2	0	18	>=14	10	0	0	10	>=9	14	1	0	14	>=12	9	1	0	9	>=7
19xc55150	1	1	29	6	0	15	>=14	19	6	0	14	>=14	10	0	0	10	>=9	13	2	0	12	>=12	6	4	0	5	5-7
19xc86698	1	1	19	6	10	10	10-13	12	5	8	8	<10	7	1	2	7	7-8	7	2	6	6	<8	5	3	2	4	<5
19xc85476	1	1	29	3	3	16	>=14	20	2	3	15	>=14	9	1	0	9	>=9	13	2	0	12	>=12	7	0	3	7	>=7
19xc69882	1	1	24	4	7	13	10-13	15	4	6	11	10-13	9	0	1	9	>=9	8	2	5	7	<8	7	2	1	6	5-7
19xc39648	1	0	21	14	0	9	<10	11	14	0	5	<10	10	0	0	10	>=9	8	7	0	6	<8	3	7	0	1	<5
19xc98177	1	1	24	6	5	13	10-13	15	5	5	11	10-13	9	1	0	9	>=9	8	3	4	7	<8	7	2	1	6	5-7
19xc18919	1	1	24	4	7	13	10-13	15	3	7	11	10-13	9	1	0	9	>=9	7	2	6	6	<8	8	1	1	8	>=7
19xc51952	1	1	27	0	8	15	>=14	17	0	8	14	>=14	10	0	0	10	>=9	10	0	5	10	8-11	7	0	3	7	>=7
19xc68890	1	0	20	12	3	9	<10	12	10	3	7	<10	8	2	0	7	7-8	7	5	3	5	<8	5	5	0	3	<5
19xc59876	1	1	25	5	5	13	10-13	17	4	4	13	10-13	8	1	1	8	7-8	7	4	4	6	<8	10	0	0	10	>=7
19xc66301	1	0	20	15	0	9	<10	11	14	0	5	<10	9	1	0	9	>=9	9	6	0	7	<8	2	8	0	0	<5
19xc67454	1	1	29	6	0	15	>=14	19	6	0	14	>=14	10	0	0	10	>=9	11	4	0	10	8-11	8	2	0	7	>=7
19xc52880	1	1	27	5	3	14	>=14	18	4	3	13	10-13	9	1	0	9	>=9	9	3	3	8	8-11	9	1	0	9	>=7
19xc22326	1	0	19	11	5	9	<10	12	8	5	7	<10	7	3	0	6	<7	4	6	5	2	<8	8	2	0	7	>=7
19xc23289	1	1	23	4	8	12	10-13	14	3	8	10	10-13	9	1	0	9	>=9	7	1	7	7	<8	7	2	1	6	5-7
19xc74491	1	1	30	0	5	17	>=14	21	0	4	17	>=14	9	0	1	9	>=9	11	0	4	11	8-11	10	0	0	10	>=7
19xc10995	1	1	25	4	6	14	>=14	17	3	5	13	10-13	8	1	1	8	7-8	9	1	5	9	8-11	8	2	0	7	>=7
19xc48912	1	1	26	2	7	14	>=14	17	2	6	13	10-13	9	0	1	9	>=9	9	0	6	9	8-11	8	2	0	7	>=7
19xc84935	1	1	23	8	4	12	10-13	13	8	4	8	<10	10	0	0	10	>=9	5	6	4	3	<8	8	2	0	7	>=7
19xc58654	1	1	31	1	3	18	>=14	21	1	3	17	>=14	10	0	0	10	>=9	11	1	3	11	8-11	10	0	0	10	>=7
19xc18444	1	1	25	7	3	13	10-13	15	7	3	10	10-13	10	0	0	10	>=9	9	4	2	8	8-11	6	3	1	5	5-7
19xc36356	1	1	25	7	3	13	10-13	15	7	3	10	10-13	10	0	0	10	>=9	9	4	2	8	8-11	6	3	1	5	5-7
