key	value
aantalDeelnemers	150
totaalHoogsteScore	19
totaalLaagsteScore	1
totaalGemiddeldeScore	11.83
totaalMediaanScore	13
totaalAantalScore0	0
totaalAantalScore1	4
totaalAantalScore2	2
totaalAantalScore3	0
totaalAantalScore4	4
totaalAantalScore5	5
totaalAantalScore6	2
totaalAantalScore7	6
totaalAantalScore8	8
totaalAantalScore9	9
totaalAantalScore10	13
totaalAantalScore11	11
totaalAantalScore12	9
totaalAantalScore13	17
totaalAantalScore14	16
totaalAantalScore15	16
totaalAantalScore16	10
totaalAantalScore17	7
totaalAantalScore18	6
totaalAantalScore19	5
totaalAantalScore20	0
zonder_basisHoogsteScore	20
zonder_basisLaagsteScore	0
zonder_basisGemiddeldeScore	10.27
zonder_basisMediaanScore	11
zonder_basisAantalScore0	3
zonder_basisAantalScore1	5
zonder_basisAantalScore2	5
zonder_basisAantalScore3	2
zonder_basisAantalScore4	4
zonder_basisAantalScore5	8
zonder_basisAantalScore6	4
zonder_basisAantalScore7	12
zonder_basisAantalScore8	10
zonder_basisAantalScore9	5
zonder_basisAantalScore10	15
zonder_basisAantalScore11	15
zonder_basisAantalScore12	4
zonder_basisAantalScore13	16
zonder_basisAantalScore14	18
zonder_basisAantalScore15	7
zonder_basisAantalScore16	3
zonder_basisAantalScore17	4
zonder_basisAantalScore18	5
zonder_basisAantalScore19	4
zonder_basisAantalScore20	1
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	1
wiskunde_basisGemiddeldeScore	8.03
wiskunde_basisMediaanScore	9
wiskunde_basisAantalScore0	0
wiskunde_basisAantalScore1	3
wiskunde_basisAantalScore2	3
wiskunde_basisAantalScore3	2
wiskunde_basisAantalScore4	4
wiskunde_basisAantalScore5	7
wiskunde_basisAantalScore6	16
wiskunde_basisAantalScore7	11
wiskunde_basisAantalScore8	12
wiskunde_basisAantalScore9	50
wiskunde_basisAantalScore10	42
wiskunde_standaardHoogsteScore	15
wiskunde_standaardLaagsteScore	0
wiskunde_standaardGemiddeldeScore	7.12
wiskunde_standaardMediaanScore	7
wiskunde_standaardAantalScore0	9
wiskunde_standaardAantalScore1	3
wiskunde_standaardAantalScore2	10
wiskunde_standaardAantalScore3	6
wiskunde_standaardAantalScore4	10
wiskunde_standaardAantalScore5	7
wiskunde_standaardAantalScore6	18
wiskunde_standaardAantalScore7	14
wiskunde_standaardAantalScore8	20
wiskunde_standaardAantalScore9	15
wiskunde_standaardAantalScore10	8
wiskunde_standaardAantalScore11	8
wiskunde_standaardAantalScore12	12
wiskunde_standaardAantalScore13	2
wiskunde_standaardAantalScore14	7
wiskunde_standaardAantalScore15	1
chemieHoogsteScore	10
chemieLaagsteScore	0
chemieGemiddeldeScore	5.81
chemieMediaanScore	6
chemieAantalScore0	10
chemieAantalScore1	8
chemieAantalScore2	8
chemieAantalScore3	11
chemieAantalScore4	7
chemieAantalScore5	17
chemieAantalScore6	22
chemieAantalScore7	19
chemieAantalScore8	9
chemieAantalScore9	25
chemieAantalScore10	14
