vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	C	150	129	86	8	5	4	4	129	5
2	B	150	145	97	2	1	0	145	2	1
3	A	150	140	93	3	2	140	0	5	2
4	B	150	122	81	3	2	6	122	10	9
5	D	150	130	87	9	6	3	7	1	130
6	B	150	103	69	16	10	12	103	14	5
7	D	150	96	64	20	13	14	8	12	96
8	B	150	117	78	21	14	5	117	4	3
9	D	150	134	89	3	2	1	7	5	134
10	C	150	134	89	7	4	3	2	134	4
11	A	150	103	69	17	11	103	8	10	12
12	B	150	72	48	54	36	11	72	6	7
13	A	150	48	32	74	49	48	9	15	4
14	B	150	90	60	27	18	16	90	5	12
15	A	150	91	61	43	28	91	6	4	6
16	C	150	115	77	15	10	3	5	115	12
17	D	150	86	57	32	21	9	8	15	86
18	C	150	108	72	9	6	6	18	108	9
19	A	150	130	87	14	9	130	4	0	2
20	D	150	59	39	60	40	13	5	13	59
21	D	150	48	32	20	13	12	57	13	48
22	C	150	49	33	50	33	4	6	49	41
23	C	150	56	37	78	52	5	8	56	3
24	B	150	86	57	38	25	4	86	15	7
25	B	150	68	45	52	34	21	68	1	8
26	C	150	128	85	6	4	3	9	128	4
27	B	150	93	62	7	4	32	93	5	13
28	C	150	79	53	12	8	22	32	79	5
29	A	150	118	79	1	0	118	4	3	24
30	D	150	83	55	30	20	15	4	18	83
31	A	150	113	75	2	1	113	23	10	2
32	C	150	92	61	21	14	15	15	92	7
33	B	150	79	53	33	22	15	79	22	1
34	B	150	108	72	3	2	6	108	26	7
35	B	150	98	65	11	7	4	98	18	19
