ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	chemieJuist	chemieFout	chemieBlanco	chemieScore
q1446389	1	1	22	5	8	12	13	4	8	9	9	1	0	9	9	1	5	9	4	3	3	3
q1330218	1	1	21	8	6	10	12	7	6	8	9	1	0	9	6	3	6	5	6	4	0	5
q1442891	1	1	30	5	0	16	20	5	0	15	10	0	0	10	11	4	0	10	9	1	0	9
q1185563	1	0	18	17	0	7	10	15	0	4	8	2	0	7	7	8	0	4	3	7	0	1
q1336798	1	1	22	7	6	11	12	7	6	8	10	0	0	10	7	2	6	6	5	5	0	3
q1461733	1	1	22	7	6	11	14	6	5	10	8	1	1	8	7	4	4	6	7	2	1	6
q1369789	1	1	33	2	0	18	23	2	0	18	10	0	0	10	14	1	0	14	9	1	0	9
q1342496	1	1	29	6	0	15	19	6	0	14	10	0	0	10	13	2	0	12	6	4	0	5
q1382032	1	1	19	6	10	10	12	5	8	8	7	1	2	7	7	2	6	6	5	3	2	4
q1347063	1	1	29	3	3	16	20	2	3	15	9	1	0	9	13	2	0	12	7	0	3	7
q1394911	1	1	24	4	7	13	15	4	6	11	9	0	1	9	8	2	5	7	7	2	1	6
q1446129	1	0	21	14	0	9	11	14	0	5	10	0	0	10	8	7	0	6	3	7	0	1
q1417644	1	1	24	6	5	13	15	5	5	11	9	1	0	9	8	3	4	7	7	2	1	6
q1395816	1	1	24	4	7	13	15	3	7	11	9	1	0	9	7	2	6	6	8	1	1	8
q1420227	1	1	27	0	8	15	17	0	8	14	10	0	0	10	10	0	5	10	7	0	3	7
q1422787	1	0	20	12	3	9	12	10	3	7	8	2	0	7	7	5	3	5	5	5	0	3
q1403089	1	1	25	5	5	13	17	4	4	13	8	1	1	8	7	4	4	6	10	0	0	10
q1426473	1	0	20	15	0	9	11	14	0	5	9	1	0	9	9	6	0	7	2	8	0	0
q1363307	1	1	29	6	0	15	19	6	0	14	10	0	0	10	11	4	0	10	8	2	0	7
q1410700	1	1	27	5	3	14	18	4	3	13	9	1	0	9	9	3	3	8	9	1	0	9
q1332797	1	0	19	11	5	9	12	8	5	7	7	3	0	6	4	6	5	2	8	2	0	7
q1423647	1	1	23	4	8	12	14	3	8	10	9	1	0	9	7	1	7	7	7	2	1	6
q1334851	1	1	30	0	5	17	21	0	4	17	9	0	1	9	11	0	4	11	10	0	0	10
q1346435	1	1	25	4	6	14	17	3	5	13	8	1	1	8	9	1	5	9	8	2	0	7
q1380460	1	1	26	2	7	14	17	2	6	13	9	0	1	9	9	0	6	9	8	2	0	7
q1382003	1	1	23	8	4	12	13	8	4	8	10	0	0	10	5	6	4	3	8	2	0	7
q1425310	1	1	31	1	3	18	21	1	3	17	10	0	0	10	11	1	3	11	10	0	0	10
q1376735	1	1	25	7	3	13	15	7	3	10	10	0	0	10	9	4	2	8	6	3	1	5
q1376957	1	1	25	7	3	13	15	7	3	10	10	0	0	10	9	4	2	8	6	3	1	5
q1405272	1	1	26	5	4	14	17	4	4	13	9	1	0	9	9	2	4	8	8	2	0	7
q1417495	1	1	20	9	6	10	12	7	6	8	8	2	0	7	5	4	6	4	7	3	0	6
q1446398	1	0	19	14	2	8	13	10	2	8	6	4	0	5	9	4	2	8	4	6	0	2
q1387503	1	1	23	4	8	12	14	3	8	10	9	1	0	9	7	0	8	7	7	3	0	6
q1381950	1	1	34	1	0	19	24	1	0	19	10	0	0	10	14	1	0	14	10	0	0	10
q1446126	1	1	32	3	0	18	22	3	0	17	10	0	0	10	13	2	0	12	9	1	0	9
q1443723	1	1	22	7	6	11	14	5	6	10	8	2	0	7	8	3	4	7	6	2	2	5
q1441334	1	1	22	7	6	11	14	5	6	10	8	2	0	7	8	3	4	7	6	2	2	5
q1376813	1	1	21	7	7	11	13	7	5	9	8	0	2	8	7	4	4	6	6	3	1	5
q1394921	1	1	26	4	5	14	16	4	5	12	10	0	0	10	8	3	4	7	8	1	1	8
q1371142	1	1	21	8	6	10	14	6	5	10	7	2	1	6	9	2	4	8	5	4	1	4
q1376758	1	1	22	7	6	11	14	7	4	9	8	0	2	8	7	4	4	6	7	3	0	6
q1420204	1	0	15	8	12	7	10	5	10	7	5	3	2	4	6	1	8	6	4	4	2	3
q1462907	1	1	33	1	1	19	23	1	1	18	10	0	0	10	13	1	1	13	10	0	0	10
q1458249	1	1	27	1	7	15	17	1	7	13	10	0	0	10	8	0	7	8	9	1	0	9
q1374076	1	1	26	4	5	14	16	4	5	12	10	0	0	10	9	1	5	9	7	3	0	6
q1445143	1	1	23	7	5	12	13	7	5	9	10	0	0	10	6	6	3	4	7	1	2	7
q1413908	1	1	28	4	3	15	19	4	2	14	9	0	1	9	10	4	1	9	9	0	1	9
q1414391	1	1	28	4	3	15	19	4	2	14	9	0	1	9	10	3	2	9	9	1	0	9
q1418420	1	0	20	13	2	9	13	10	2	8	7	3	0	6	7	7	1	5	6	3	1	5
q1419332	1	1	31	4	0	17	22	3	0	17	9	1	0	9	13	2	0	12	9	1	0	9
q1340450	1	0	10	25	0	1	7	18	0	1	3	7	0	1	1	14	0	0	6	4	0	5
q1404300	1	0	19	8	8	9	11	8	6	7	8	0	2	8	7	4	4	6	4	4	2	3
q1381619	1	1	27	3	5	15	17	3	5	13	10	0	0	10	11	1	3	11	6	2	2	5
q1378070	1	1	27	1	7	15	18	1	6	14	9	0	1	9	9	1	5	9	9	0	1	9
q1462739	1	1	23	11	1	11	16	8	1	11	7	3	0	6	11	3	1	10	5	5	0	3
q1439614	1	1	29	6	0	15	19	6	0	14	10	0	0	10	12	3	0	11	7	3	0	6
q1461560	1	1	30	4	1	16	23	1	1	18	7	3	0	6	14	0	1	14	9	1	0	9
q1371602	1	1	30	3	2	17	20	3	2	15	10	0	0	10	10	3	2	9	10	0	0	10
q1383506	1	1	23	4	8	12	14	4	7	10	9	0	1	9	8	1	6	8	6	3	1	5
q1381956	1	1	20	5	10	10	11	5	9	7	9	0	1	9	6	3	6	5	5	2	3	4
q1399388	1	1	24	6	5	13	17	4	4	13	7	2	1	6	9	4	2	8	8	0	2	8
q1425424	1	1	34	0	1	19	25	0	0	20	9	0	1	9	15	0	0	15	10	0	0	10
q1394909	1	1	24	3	8	13	15	2	8	11	9	1	0	9	7	2	6	6	8	0	2	8
q1421891	1	1	25	7	3	13	16	6	3	11	9	1	0	9	9	3	3	8	7	3	0	6
q1425342	1	1	25	6	4	13	16	5	4	11	9	1	0	9	9	2	4	8	7	3	0	6
q1268162	1	1	21	8	6	10	12	7	6	8	9	1	0	9	5	4	6	4	7	3	0	6
q1378786	1	1	24	8	3	12	15	7	3	10	9	1	0	9	10	2	3	9	5	5	0	3
q1457005	1	0	16	5	14	8	7	5	13	4	9	0	1	9	3	4	8	2	4	1	5	4
q1218727	1	1	25	6	4	13	16	5	4	11	9	1	0	9	9	3	3	8	7	2	1	6
q1382646	1	0	18	11	6	8	12	8	5	7	6	3	1	5	5	7	3	3	7	1	2	7
q1381980	1	1	26	2	7	14	17	2	6	13	9	0	1	9	7	2	6	6	10	0	0	10
q1403095	1	1	34	0	1	19	24	0	1	19	10	0	0	10	14	0	1	14	10	0	0	10
q1381032	1	1	28	3	4	15	18	3	4	14	10	0	0	10	9	2	4	8	9	1	0	9
q1377356	1	1	28	4	3	15	18	4	3	13	10	0	0	10	9	3	3	8	9	1	0	9
q1381205	1	1	29	0	6	17	20	0	5	16	9	0	1	9	12	0	3	12	8	0	2	8
q1380511	1	1	23	7	5	12	15	5	5	11	8	2	0	7	12	0	3	12	3	5	2	1
q1407554	1	0	20	13	2	9	12	11	2	7	8	2	0	7	10	4	1	9	2	7	1	0
q1381865	1	0	17	15	3	7	11	13	1	5	6	2	2	5	9	5	1	7	2	8	0	0
q1346104	1	1	32	0	3	18	22	0	3	18	10	0	0	10	12	0	3	12	10	0	0	10
q1431165	1	1	26	8	1	13	17	7	1	12	9	1	0	9	11	3	1	10	6	4	0	5
q1463441	1	1	20	10	5	10	11	9	5	6	9	1	0	9	8	2	5	7	3	7	0	1
q1375569	1	0	18	11	6	8	9	10	6	5	9	1	0	9	6	6	3	4	3	4	3	2
q1388906	1	1	28	7	0	15	18	7	0	13	10	0	0	10	10	5	0	8	8	2	0	7
q1384728	1	1	24	6	5	13	15	6	4	10	9	0	1	9	12	0	3	12	3	6	1	1
q1330239	1	0	10	11	14	4	4	10	11	1	6	1	3	6	3	2	10	2	1	8	1	0
q1381599	1	1	30	2	3	17	20	2	3	15	10	0	0	10	12	1	2	12	8	1	1	8
