feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25
19xb90714	1	C	B	A	D	D	B	X	B	D	C	A	B	X	B	B	C	A	C	A	D	X	X	X	C	A
19xb76097	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	X	C	D	X	B	X
19xb68338	1	C	B	A	B	B	B	D	B	D	C	A	D	A	B	A	C	D	C	A	D	B	X	X	X	X
19xb63790	1	B	A	C	B	B	A	A	B	C	B	B	B	C	A	C	B	B	D	D	B	D	C	A	D	B
19xb42277	1	C	B	A	C	D	A	B	B	D	X	X	X	X	B	A	C	X	X	A	X	X	C	X	X	B
19xb27310	1	C	B	A	B	D	X	D	B	D	C	A	X	D	B	X	C	X	C	A	D	B	D	C	B	B
19xb50671	1	A	B	A	B	D	X	D	B	B	C	A	B	C	B	X	C	D	C	X	X	D	X	X	D	B
19xb84616	1	C	B	A	B	D	B	B	B	B	C	A	X	X	B	X	C	C	X	A	A	X	C	X	X	B
19xb44842	1	C	B	A	B	D	B	D	B	D	C	A	X	B	B	A	C	D	C	A	X	X	D	X	B	C
19xb74732	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	X	C	A	D	D	X	X	B	B
19xb45488	1	D	B	A	B	B	C	D	B	B	C	B	B	B	B	B	C	C	C	A	C	D	C	B	B	B
19xb52633	1	C	B	A	A	D	B	D	B	D	C	A	A	A	B	X	C	D	C	A	D	X	C	C	B	A
19xb14754	1	C	B	A	B	D	X	X	X	D	C	A	X	A	D	A	C	D	C	X	X	X	X	X	B	X
19xb68952	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	D	D	C	A	A	B	X	C	C	X
19xb78532	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	A	A	D	D	C	C	B	B
19xb73517	1	X	B	A	B	D	A	D	B	D	X	A	C	B	B	A	C	D	C	X	C	A	C	A	C	X
19xb81640	1	X	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	D	C	A	X	D	X	C	B	B
19xb43309	1	B	B	A	B	D	B	C	X	D	C	X	X	X	A	B	C	D	B	X	A	C	X	C	B	A
19xb16312	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	C	A	D	D	A	C	B	B
19xb66178	1	C	B	A	B	D	B	A	B	D	C	C	B	B	B	B	D	D	D	A	D	B	D	C	B	B
19xb83207	1	C	B	A	B	D	B	D	C	B	C	A	B	X	B	C	C	D	C	A	X	D	D	C	B	B
19xb98008	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	C	C	B	B
19xb76859	1	C	B	A	B	D	D	D	B	C	C	A	B	X	B	A	C	D	C	X	D	C	X	X	B	B
19xb53329	1	C	B	A	B	D	B	D	B	D	C	D	B	D	B	A	C	D	D	A	X	D	C	C	B	B
19xb44658	1	C	B	A	B	D	B	D	B	D	C	A	B	A	D	A	C	A	C	A	D	B	X	A	B	B
19xb95232	1	C	B	A	B	D	B	C	B	D	C	A	B	A	B	A	C	C	C	A	D	D	C	C	B	B
19xb22818	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	C	C	X	C	A	D	C	B	C	B	A
19xb66685	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
19xb30517	1	C	B	A	C	D	B	D	B	D	C	C	B	A	A	X	C	D	C	A	D	B	X	X	B	B
19xb46727	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	C	C	B	A
19xb48055	1	C	D	A	B	B	B	C	B	D	A	B	B	D	B	A	A	D	C	B	D	B	B	C	A	A
19xb15685	1	C	B	A	C	D	B	D	B	D	C	D	B	X	B	A	C	X	C	A	C	B	A	X	B	B
19xb70559	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	X	D	C	A	D	X	X	X	B	X
19xb49650	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	A	X	B	B
19xb74265	1	C	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	D	C	A	D	D	C	X	B	B
19xb39309	1	X	B	A	B	D	B	D	B	B	C	A	B	A	B	A	C	D	C	A	D	D	D	X	B	B
19xb45510	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	B	C	A	C	A	X	D	D	A	B	B
19xb50886	1	X	B	A	B	D	D	A	C	D	C	A	A	C	B	X	C	D	A	A	A	B	X	X	X	B
19xb72398	1	C	B	A	B	D	B	D	B	D	C	C	B	A	B	B	C	D	D	A	D	C	X	X	X	X
19xb75457	1	C	B	A	B	D	A	D	B	C	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
19xb69671	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	C	C	A	D	D	C	C	A	B
19xb86067	1	C	B	A	X	D	D	D	B	D	C	A	B	X	B	A	C	D	C	A	D	B	C	D	B	B
19xb89469	1	C	B	A	B	D	C	A	B	D	C	A	X	C	B	X	C	A	C	A	C	B	C	X	B	B
19xb49298	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
19xb32926	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	X	C	B	B	A	A	D	X	X	B	D
19xb70079	1	C	B	A	B	A	D	D	B	D	C	A	A	A	B	A	C	D	C	A	D	B	D	D	B	A
19xb45828	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
19xb14639	1	C	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	D	C	A	D	B	X	X	B	X
19xb44627	1	X	B	A	B	A	B	B	B	D	C	B	X	A	X	C	C	X	C	A	A	A	X	X	C	B
19xb22773	1	C	B	A	B	D	B	B	B	D	C	A	C	C	B	A	C	C	D	C	D	A	B	A	B	A
