key	value
aantalDeelnemers	357
totaalHoogsteScore	20
totaalLaagsteScore	0
totaalGemiddeldeScore	13.61
totaalMediaanScore	14
totaalAantalScore0	3
totaalAantalScore1	0
totaalAantalScore2	1
totaalAantalScore3	1
totaalAantalScore4	2
totaalAantalScore5	4
totaalAantalScore6	5
totaalAantalScore7	9
totaalAantalScore8	11
totaalAantalScore9	22
totaalAantalScore10	19
totaalAantalScore11	23
totaalAantalScore12	17
totaalAantalScore13	35
totaalAantalScore14	27
totaalAantalScore15	51
totaalAantalScore16	39
totaalAantalScore17	38
totaalAantalScore18	25
totaalAantalScore19	18
totaalAantalScore20	7
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	0
wiskunde_basisGemiddeldeScore	8.66
wiskunde_basisMediaanScore	9
wiskunde_basisAantalScore0	3
wiskunde_basisAantalScore1	1
wiskunde_basisAantalScore2	0
wiskunde_basisAantalScore3	3
wiskunde_basisAantalScore4	4
wiskunde_basisAantalScore5	15
wiskunde_basisAantalScore6	13
wiskunde_basisAantalScore7	45
wiskunde_basisAantalScore8	20
wiskunde_basisAantalScore9	91
wiskunde_basisAantalScore10	162
wiskunde_standaardHoogsteScore	15
wiskunde_standaardLaagsteScore	0
wiskunde_standaardGemiddeldeScore	8.38
wiskunde_standaardMediaanScore	9
wiskunde_standaardAantalScore0	6
wiskunde_standaardAantalScore1	4
wiskunde_standaardAantalScore2	14
wiskunde_standaardAantalScore3	16
wiskunde_standaardAantalScore4	19
wiskunde_standaardAantalScore5	22
wiskunde_standaardAantalScore6	29
wiskunde_standaardAantalScore7	27
wiskunde_standaardAantalScore8	31
wiskunde_standaardAantalScore9	37
wiskunde_standaardAantalScore10	43
wiskunde_standaardAantalScore11	35
wiskunde_standaardAantalScore12	36
wiskunde_standaardAantalScore13	8
wiskunde_standaardAantalScore14	20
wiskunde_standaardAantalScore15	10
