vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	C	357	321	90	21	5	3	6	321	6
2	B	357	342	96	5	1	1	342	1	8
3	A	357	337	94	8	2	337	0	8	4
4	B	357	319	89	2	0	8	319	18	10
5	D	357	322	90	2	0	12	13	8	322
6	B	357	284	80	10	2	21	284	25	17
7	D	357	279	78	20	5	20	17	21	279
8	B	357	306	86	33	9	6	306	12	0
9	D	357	324	91	2	0	0	16	15	324
10	C	357	338	95	11	3	6	1	338	1
11	A	357	271	76	27	7	271	16	23	20
12	B	357	234	66	69	19	30	234	16	8
13	A	357	174	49	112	31	174	20	36	15
14	B	357	307	86	17	4	14	307	3	16
15	A	357	226	63	72	20	226	19	23	17
16	C	357	301	84	14	3	10	12	301	20
17	D	357	223	62	53	14	33	15	33	223
18	C	357	253	71	18	5	18	19	253	49
19	A	357	300	84	45	12	300	2	7	3
20	D	357	191	54	86	24	41	19	20	191
21	D	357	155	43	27	7	24	114	37	155
22	C	357	97	27	123	34	20	17	97	100
23	C	357	170	48	133	37	14	22	170	18
24	B	357	256	72	41	11	12	256	31	17
25	B	357	193	54	82	22	45	193	9	28
