ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25
q1388897	1	C	B	A	D	D	B	X	B	D	C	A	B	X	B	B	C	A	C	A	D	X	X	X	C	A
q1392620	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	X	C	D	X	B	X
q1392111	1	C	B	A	B	B	B	D	B	D	C	A	D	A	B	A	C	D	C	A	D	B	X	X	X	X
q1426071	1	B	A	C	B	B	A	A	B	C	B	B	B	C	A	C	B	B	D	D	B	D	C	A	D	B
q1396695	1	C	B	A	C	D	A	B	B	D	X	X	X	X	B	A	C	X	X	A	X	X	C	X	X	B
q1111298	1	C	B	A	B	D	X	D	B	D	C	A	X	D	B	X	C	X	C	A	D	B	D	C	B	B
q1446588	1	A	B	A	B	D	X	D	B	B	C	A	B	C	B	X	C	D	C	X	X	D	X	X	D	B
q1423205	1	C	B	A	B	D	B	B	B	B	C	A	X	X	B	X	C	C	X	A	A	X	C	X	X	B
q1394107	1	C	B	A	B	D	B	D	B	D	C	A	X	B	B	A	C	D	C	A	X	X	D	X	B	C
q1360712	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	X	C	A	D	D	X	X	B	B
q1446321	1	D	B	A	B	B	C	D	B	B	C	B	B	B	B	B	C	C	C	A	C	D	C	B	B	B
q1426690	1	C	B	A	A	D	B	D	B	D	C	A	A	A	B	X	C	D	C	A	D	X	C	C	B	A
q1446123	1	C	B	A	B	D	X	X	X	D	C	A	X	A	D	A	C	D	C	X	X	X	X	X	B	X
q1431488	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	D	D	C	A	A	B	X	C	C	X
q1247332	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	A	A	D	D	C	C	B	B
q1462294	1	X	B	A	B	D	A	D	B	D	X	A	C	B	B	A	C	D	C	X	C	A	C	A	C	X
q1342814	1	X	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	D	C	A	X	D	X	C	B	B
q1409484	1	B	B	A	B	D	B	C	X	D	C	X	X	X	A	B	C	D	B	X	A	C	X	C	B	A
q1311763	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	C	A	D	D	A	C	B	B
q1238490	1	C	B	A	B	D	B	A	B	D	C	C	B	B	B	B	D	D	D	A	D	B	D	C	B	B
q1418758	1	C	B	A	B	D	B	D	C	B	C	A	B	X	B	C	C	D	C	A	X	D	D	C	B	B
q1459610	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	C	C	B	B
q1438426	1	C	B	A	B	D	D	D	B	C	C	A	B	X	B	A	C	D	C	X	D	C	X	X	B	B
q1381103	1	C	B	A	B	D	B	D	B	D	C	D	B	D	B	A	C	D	D	A	X	D	C	C	B	B
q1422975	1	C	B	A	B	D	B	D	B	D	C	A	B	A	D	A	C	A	C	A	D	B	X	A	B	B
q1393504	1	C	B	A	B	D	B	C	B	D	C	A	B	A	B	A	C	C	C	A	D	D	C	C	B	B
q1421294	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	C	C	X	C	A	D	C	B	C	B	A
q1381527	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
q1403174	1	C	B	A	C	D	B	D	B	D	C	C	B	A	A	X	C	D	C	A	D	B	X	X	B	B
