ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore
q1388897	1	1	15	5	5	11	8	1	1	8	7	4	4	6
q1392620	1	1	20	2	3	15	10	0	0	10	10	2	3	9
q1392111	1	1	18	3	4	14	9	1	0	9	9	2	4	8
q1426071	1	0	6	19	0	0	2	8	0	0	4	11	0	0
q1396695	1	0	12	3	10	9	6	3	1	5	6	0	9	6
q1111298	1	1	18	3	4	14	9	0	1	9	9	3	3	8
q1446588	1	1	15	4	6	11	7	2	1	6	8	2	5	7
q1423205	1	1	14	4	7	10	8	2	0	7	6	2	7	5
q1394107	1	1	18	3	4	14	10	0	0	10	8	3	4	7
q1360712	1	1	22	0	3	18	10	0	0	10	12	0	3	12
q1446321	1	0	15	10	0	9	6	4	0	5	9	6	0	7
q1426690	1	1	20	3	2	15	9	1	0	9	11	2	2	10
q1446123	1	1	14	1	10	11	7	0	3	7	7	1	7	7
q1431488	1	1	18	4	3	13	10	0	0	10	8	4	3	7
q1247332	1	1	23	2	0	18	10	0	0	10	13	2	0	12
q1462294	1	0	14	7	4	9	7	1	2	7	7	6	2	5
q1342814	1	1	21	1	3	17	9	0	1	9	12	1	2	12
q1409484	1	0	11	8	6	7	7	2	1	6	4	6	5	2
q1311763	1	1	23	2	0	18	10	0	0	10	13	2	0	12
q1238490	1	1	17	8	0	11	9	1	0	9	8	7	0	6
q1418758	1	1	19	4	2	14	8	2	0	7	11	2	2	10
q1459610	1	1	24	1	0	19	10	0	0	10	14	1	0	14
q1438426	1	1	18	3	4	14	8	2	0	7	10	1	4	10
q1381103	1	1	21	3	1	16	10	0	0	10	11	3	1	10
q1422975	1	1	20	4	1	15	10	0	0	10	10	4	1	9
q1393504	1	1	23	2	0	18	9	1	0	9	14	1	0	14
q1421294	1	1	20	4	1	15	10	0	0	10	10	4	1	9
q1381527	1	1	25	0	0	20	10	0	0	10	15	0	0	15
q1403174	1	1	18	4	3	13	9	1	0	9	9	3	3	8
q1456456	1	1	23	2	0	18	10	0	0	10	13	2	0	12
q1417536	1	0	13	12	0	7	6	4	0	5	7	8	0	4
q1444627	1	1	17	5	3	12	9	1	0	9	8	4	3	7
q1426868	1	1	20	0	5	16	10	0	0	10	10	0	5	10
q1240459	1	1	22	2	1	17	10	0	0	10	12	2	1	11
q1441009	1	1	23	1	1	18	10	0	0	10	13	1	1	13
q1417696	1	1	21	2	2	16	8	1	1	8	13	1	1	13
q1394613	1	1	19	5	1	14	10	0	0	10	9	5	1	7
q1445983	1	0	12	8	5	7	6	3	1	5	6	5	4	4
q1433956	1	1	17	4	4	13	10	0	0	10	7	4	4	6
q1417881	1	1	22	3	0	17	8	2	0	7	14	1	0	14
q1419052	1	1	22	3	0	17	10	0	0	10	12	3	0	11
q1431164	1	1	20	3	2	15	8	1	1	8	12	2	1	11
q1445836	1	1	16	6	3	11	8	2	0	7	8	4	3	7
q1392588	1	1	24	1	0	19	10	0	0	10	14	1	0	14
q1403194	1	1	17	5	3	12	10	0	0	10	7	5	3	5
q1375386	1	1	18	7	0	13	8	2	0	7	10	5	0	8
q1346786	1	1	25	0	0	20	10	0	0	10	15	0	0	15
q1422304	1	1	20	2	3	15	10	0	0	10	10	2	3	9
q1457307	1	0	12	7	6	8	7	2	1	6	5	5	5	3
q1415174	1	0	15	10	0	9	9	1	0	9	6	9	0	3
q1392579	1	1	16	4	5	12	8	1	1	8	8	3	4	7
q1438836	1	1	21	2	2	16	8	1	1	8	13	1	1	13
q1423900	1	1	20	1	4	16	9	1	0	9	11	0	4	11
q1458522	1	1	18	7	0	13	8	2	0	7	10	5	0	8
q1393513	1	1	16	6	3	11	9	1	0	9	7	5	3	5
q1421726	1	1	22	3	0	17	10	0	0	10	12	3	0	11
q1417905	1	1	23	2	0	18	10	0	0	10	13	2	0	12
q1244458	1	1	15	5	5	11	8	2	0	7	7	3	5	6
q1459993	1	0	13	7	5	9	8	2	0	7	5	5	5	3
q1393488	1	1	15	3	7	11	9	1	0	9	6	2	7	5
q1413820	1	1	21	4	0	16	9	1	0	9	12	3	0	11
q1418683	1	1	18	5	2	13	9	1	0	9	9	4	2	8
q1459988	1	1	16	5	4	11	8	2	0	7	8	3	4	7
q1393974	1	0	15	10	0	9	8	2	0	7	7	8	0	4
q1401337	1	1	19	3	3	14	10	0	0	10	9	3	3	8
q1409706	1	1	18	3	4	14	9	1	0	9	9	2	4	8
q1401118	1	1	14	4	7	10	7	2	1	6	7	2	6	6
q1444297	1	1	23	2	0	18	10	0	0	10	13	2	0	12
q1396707	1	1	23	2	0	18	9	1	0	9	14	1	0	14
q1380369	1	1	17	6	2	12	10	0	0	10	7	6	2	5
q1421488	1	0	12	3	10	9	7	2	1	6	5	1	9	5
q1457671	1	0	10	15	0	4	5	5	0	3	5	10	0	2
q1393489	1	1	22	3	0	17	10	0	0	10	12	3	0	11
q1383917	1	1	17	2	6	13	9	1	0	9	8	1	6	8
q1382698	1	1	21	1	3	17	10	0	0	10	11	1	3	11
q1435490	1	1	23	1	1	18	10	0	0	10	13	1	1	13
q1445971	1	1	15	9	1	10	9	1	0	9	6	8	1	3
q1457003	1	1	21	3	1	16	10	0	0	10	11	3	1	10
q1459994	1	1	21	1	3	17	9	0	1	9	12	1	2	12
q1444443	1	1	18	5	2	13	10	0	0	10	8	5	2	6
q1403177	1	1	18	2	5	14	8	1	1	8	10	1	4	10
q1455825	1	1	14	3	8	10	7	1	2	7	7	2	6	6
q1422051	1	1	21	0	4	17	10	0	0	10	11	0	4	11
q1422805	1	1	21	4	0	16	10	0	0	10	11	4	0	10
q1463999	1	1	19	0	6	15	10	0	0	10	9	0	6	9
q1377833	1	1	17	4	4	13	9	1	0	9	8	3	4	7
q1455826	1	1	21	3	1	16	10	0	0	10	11	3	1	10
q1379645	1	1	16	4	5	12	10	0	0	10	6	4	5	5
q1422422	1	1	23	2	0	18	10	0	0	10	13	2	0	12
q1445978	1	1	24	1	0	19	9	1	0	9	15	0	0	15
q1421352	1	1	20	5	0	15	8	2	0	7	12	3	0	11
q1441649	1	1	19	4	2	14	8	2	0	7	11	2	2	10
q1342178	1	1	16	4	5	12	8	1	1	8	8	3	4	7
q1317863	1	1	20	3	2	15	10	0	0	10	10	3	2	9
q1393837	1	1	20	1	4	16	9	0	1	9	11	1	3	11
q1384709	1	1	24	0	1	19	10	0	0	10	14	0	1	14
q1441295	1	1	17	8	0	11	10	0	0	10	7	8	0	4
q1393457	1	1	20	2	3	15	10	0	0	10	10	2	3	9
q1384003	1	1	22	3	0	17	10	0	0	10	12	3	0	11
q1393846	1	1	20	4	1	15	10	0	0	10	10	4	1	9
q1393864	1	1	22	2	1	17	10	0	0	10	12	2	1	11
q1423179	1	1	18	3	4	14	9	0	1	9	9	3	3	8
q1393843	1	1	21	3	1	16	10	0	0	10	11	3	1	10
q1422307	1	1	21	2	2	16	9	1	0	9	12	1	2	12
q1393606	1	1	21	4	0	16	9	1	0	9	12	3	0	11
q1394236	1	1	22	3	0	17	9	1	0	9	13	2	0	12
q1457881	1	1	20	3	2	15	10	0	0	10	10	3	2	9
q1392594	1	1	20	5	0	15	7	3	0	6	13	2	0	12
q1393870	1	1	22	3	0	17	9	1	0	9	13	2	0	12
q1418129	1	1	21	4	0	16	9	1	0	9	12	3	0	11
q1458284	1	0	11	4	10	8	7	1	2	7	4	3	8	3
q1424627	1	1	15	5	5	11	10	0	0	10	5	5	5	3
q1414181	1	0	13	9	3	8	6	3	1	5	7	6	2	5
q1423230	1	1	20	4	1	15	9	0	1	9	11	4	0	10
q1389591	1	1	22	3	0	17	10	0	0	10	12	3	0	11
q1429103	1	1	21	2	2	16	10	0	0	10	11	2	2	10
