key	value
aantalDeelnemers	357
totaalHoogsteScore	20
totaalLaagsteScore	0
totaalGemiddeldeScore	13.61064425770308
totaalMediaanScore	14
totaalAantalScore0	3
totaalAantalScore1	0
totaalAantalScore2	1
totaalAantalScore3	1
totaalAantalScore4	2
totaalAantalScore5	4
totaalAantalScore6	5
totaalAantalScore7	9
totaalAantalScore8	11
totaalAantalScore9	22
totaalAantalScore10	19
totaalAantalScore11	23
totaalAantalScore12	17
totaalAantalScore13	35
totaalAantalScore14	27
totaalAantalScore15	51
totaalAantalScore16	39
totaalAantalScore17	38
totaalAantalScore18	25
totaalAantalScore19	18
totaalAantalScore20	7
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	0
wiskunde_basisGemiddeldeScore	8.663865546218487
wiskunde_basisMediaanScore	9
wiskunde_basisAantalScore0	3
wiskunde_basisAantalScore1	1
wiskunde_basisAantalScore2	0
wiskunde_basisAantalScore3	3
wiskunde_basisAantalScore4	4
wiskunde_basisAantalScore5	15
wiskunde_basisAantalScore6	13
wiskunde_basisAantalScore7	45
wiskunde_basisAantalScore8	20
wiskunde_basisAantalScore9	91
wiskunde_basisAantalScore10	162
wiskunde_standaardHoogsteScore	15
wiskunde_standaardLaagsteScore	0
wiskunde_standaardGemiddeldeScore	8.378151260504202
wiskunde_standaardMediaanScore	9
wiskunde_standaardAantalScore0	6
wiskunde_standaardAantalScore1	4
wiskunde_standaardAantalScore2	14
wiskunde_standaardAantalScore3	16
wiskunde_standaardAantalScore4	19
wiskunde_standaardAantalScore5	22
wiskunde_standaardAantalScore6	29
wiskunde_standaardAantalScore7	27
wiskunde_standaardAantalScore8	31
wiskunde_standaardAantalScore9	37
wiskunde_standaardAantalScore10	43
wiskunde_standaardAantalScore11	35
wiskunde_standaardAantalScore12	36
wiskunde_standaardAantalScore13	8
wiskunde_standaardAantalScore14	20
wiskunde_standaardAantalScore15	10
vragenreeks1totaalHoogsteScore	20
vragenreeks1totaalLaagsteScore	0
vragenreeks1totaalGemiddeldeScore	13.61064425770308
vragenreeks1totaalMediaanScore	14
vragenreeks1totaalAantalScore0	3
vragenreeks1totaalAantalScore1	0
vragenreeks1totaalAantalScore2	1
vragenreeks1totaalAantalScore3	1
vragenreeks1totaalAantalScore4	2
vragenreeks1totaalAantalScore5	4
vragenreeks1totaalAantalScore6	5
vragenreeks1totaalAantalScore7	9
vragenreeks1totaalAantalScore8	11
vragenreeks1totaalAantalScore9	22
vragenreeks1totaalAantalScore10	19
vragenreeks1totaalAantalScore11	23
vragenreeks1totaalAantalScore12	17
vragenreeks1totaalAantalScore13	35
vragenreeks1totaalAantalScore14	27
vragenreeks1totaalAantalScore15	51
vragenreeks1totaalAantalScore16	39
vragenreeks1totaalAantalScore17	38
vragenreeks1totaalAantalScore18	25
vragenreeks1totaalAantalScore19	18
vragenreeks1totaalAantalScore20	7
vragenreeks1wiskunde_basisHoogsteScore	10
vragenreeks1wiskunde_basisLaagsteScore	0
vragenreeks1wiskunde_basisGemiddeldeScore	8.663865546218487
vragenreeks1wiskunde_basisMediaanScore	9
vragenreeks1wiskunde_basisAantalScore0	3
vragenreeks1wiskunde_basisAantalScore1	1
vragenreeks1wiskunde_basisAantalScore2	0
vragenreeks1wiskunde_basisAantalScore3	3
vragenreeks1wiskunde_basisAantalScore4	4
vragenreeks1wiskunde_basisAantalScore5	15
vragenreeks1wiskunde_basisAantalScore6	13
vragenreeks1wiskunde_basisAantalScore7	45
vragenreeks1wiskunde_basisAantalScore8	20
vragenreeks1wiskunde_basisAantalScore9	91
vragenreeks1wiskunde_basisAantalScore10	162
vragenreeks1wiskunde_standaardHoogsteScore	15
vragenreeks1wiskunde_standaardLaagsteScore	0
vragenreeks1wiskunde_standaardGemiddeldeScore	8.378151260504202
vragenreeks1wiskunde_standaardMediaanScore	9
vragenreeks1wiskunde_standaardAantalScore0	6
vragenreeks1wiskunde_standaardAantalScore1	4
vragenreeks1wiskunde_standaardAantalScore2	14
vragenreeks1wiskunde_standaardAantalScore3	16
vragenreeks1wiskunde_standaardAantalScore4	19
vragenreeks1wiskunde_standaardAantalScore5	22
vragenreeks1wiskunde_standaardAantalScore6	29
vragenreeks1wiskunde_standaardAantalScore7	27
vragenreeks1wiskunde_standaardAantalScore8	31
vragenreeks1wiskunde_standaardAantalScore9	37
vragenreeks1wiskunde_standaardAantalScore10	43
vragenreeks1wiskunde_standaardAantalScore11	35
vragenreeks1wiskunde_standaardAantalScore12	36
vragenreeks1wiskunde_standaardAantalScore13	8
vragenreeks1wiskunde_standaardAantalScore14	20
vragenreeks1wiskunde_standaardAantalScore15	10
