vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	C	357	321	21	3	6	321	6
2	B	357	342	5	1	342	1	8
3	A	357	337	8	337	0	8	4
4	B	357	319	2	8	319	18	10
5	D	357	322	2	12	13	8	322
6	B	357	284	10	21	284	25	17
7	D	357	279	20	20	17	21	279
8	B	357	306	33	6	306	12	0
9	D	357	324	2	0	16	15	324
10	C	357	338	11	6	1	338	1
11	A	357	271	27	271	16	23	20
12	B	357	234	69	30	234	16	8
13	A	357	174	112	174	20	36	15
14	B	357	307	17	14	307	3	16
15	A	357	226	72	226	19	23	17
16	C	357	301	14	10	12	301	20
17	D	357	223	53	33	15	33	223
18	C	357	253	18	18	19	253	49
19	A	357	300	45	300	2	7	3
20	D	357	191	86	41	19	20	191
21	D	357	155	27	24	114	37	155
22	C	357	97	123	20	17	97	100
23	C	357	170	133	14	22	170	18
24	B	357	256	41	12	256	31	17
25	B	357	193	82	45	193	9	28
