scoreNaam	groepLabel	kleur	aantal
totaal	<10	rgb(255,140,0)	15
totaal	10-13	rgb(255,215,0)	16
totaal	>=14	rgb(144,238,144)	14
zonder_basis	<10	rgb(255,140,0)	27
zonder_basis	10-13	rgb(255,215,0)	9
zonder_basis	>=14	rgb(144,238,144)	9
wiskunde_basis	<7	rgb(255,140,0)	12
wiskunde_basis	7-8	rgb(255,215,0)	7
wiskunde_basis	>=9	rgb(144,238,144)	26
wiskunde_standaard	<8	rgb(255,140,0)	24
wiskunde_standaard	8-11	rgb(255,215,0)	16
wiskunde_standaard	>=12	rgb(144,238,144)	5
taalvaardigheid	<5	rgb(255,140,0)	27
taalvaardigheid	5-7	rgb(255,215,0)	9
taalvaardigheid	>=7	rgb(144,238,144)	9
