feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	zonder_basisGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep	taalvaardigheidJuist	taalvaardigheidFout	taalvaardigheidBlanco	taalvaardigheidScore	taalvaardigheidGroep
19xe94473	1	0	0	0	35	0	<10	0	0	25	0	<10	0	0	10	0	<7	0	0	15	0	<8	0	0	10	0	<5
19xe14291	1	1	29	5	1	16	>=14	19	5	1	14	>=14	10	0	0	10	>=9	12	2	1	11	8-11	7	3	0	6	5-7
19xe80014	1	0	14	13	8	6	<10	8	11	6	3	<10	6	2	2	5	<7	4	5	6	2	<8	4	6	0	2	<5
19xe45833	1	1	24	7	4	12	10-13	16	6	3	11	10-13	8	1	1	8	7-8	11	1	3	11	8-11	5	5	0	3	<5
19xe23909	1	0	17	8	10	8	<10	8	8	9	4	<10	9	0	1	9	>=9	4	4	7	3	<8	4	4	2	3	<5
19xe57813	1	1	23	12	0	11	10-13	13	12	0	7	<10	10	0	0	10	>=9	9	6	0	7	<8	4	6	0	2	<5
19xe36740	1	0	14	13	8	6	<10	8	10	7	4	<10	6	3	1	5	<7	4	5	6	2	<8	4	5	1	2	<5
19xe54918	1	1	22	13	0	10	10-13	12	13	0	6	<10	10	0	0	10	>=9	7	8	0	4	<8	5	5	0	3	<5
19xe23928	1	1	27	6	2	14	>=14	18	5	2	13	10-13	9	1	0	9	>=9	10	3	2	9	8-11	8	2	0	7	>=7
19xe64711	1	1	21	8	6	10	10-13	13	7	5	9	<10	8	1	1	8	7-8	8	3	4	7	<8	5	4	1	4	<5
19xe73075	1	1	28	3	4	15	>=14	20	2	3	15	>=14	8	1	1	8	7-8	11	1	3	11	8-11	9	1	0	9	>=7
19xe63538	1	1	25	5	5	13	10-13	15	5	5	11	10-13	10	0	0	10	>=9	11	2	2	10	8-11	4	3	3	3	<5
19xe76482	1	1	24	7	4	12	10-13	14	7	4	9	<10	10	0	0	10	>=9	7	5	3	5	<8	7	2	1	6	5-7
19xe81323	1	1	29	6	0	15	>=14	19	6	0	14	>=14	10	0	0	10	>=9	14	1	0	14	>=12	5	5	0	3	<5
19xe46967	1	0	18	17	0	7	<10	11	14	0	5	<10	7	3	0	6	<7	9	6	0	7	<8	2	8	0	0	<5
19xe44963	1	1	29	5	1	16	>=14	19	5	1	14	>=14	10	0	0	10	>=9	11	4	0	10	8-11	8	1	1	8	>=7
