key	value
aantalDeelnemers	45
totaalHoogsteScore	18
totaalLaagsteScore	0
totaalGemiddeldeScore	10.29
totaalMediaanScore	11
totaalAantalScore0	1
totaalAantalScore1	1
totaalAantalScore2	3
totaalAantalScore3	1
totaalAantalScore4	0
totaalAantalScore5	1
totaalAantalScore6	4
totaalAantalScore7	2
totaalAantalScore8	1
totaalAantalScore9	1
totaalAantalScore10	7
totaalAantalScore11	3
totaalAantalScore12	4
totaalAantalScore13	2
totaalAantalScore14	4
totaalAantalScore15	4
totaalAantalScore16	4
totaalAantalScore17	0
totaalAantalScore18	2
totaalAantalScore19	0
totaalAantalScore20	0
zonder_basisHoogsteScore	18
zonder_basisLaagsteScore	0
zonder_basisGemiddeldeScore	8.33
zonder_basisMediaanScore	8
zonder_basisAantalScore0	3
zonder_basisAantalScore1	3
zonder_basisAantalScore2	1
zonder_basisAantalScore3	1
zonder_basisAantalScore4	2
zonder_basisAantalScore5	4
zonder_basisAantalScore6	3
zonder_basisAantalScore7	5
zonder_basisAantalScore8	1
zonder_basisAantalScore9	4
zonder_basisAantalScore10	0
zonder_basisAantalScore11	5
zonder_basisAantalScore12	1
zonder_basisAantalScore13	3
zonder_basisAantalScore14	5
zonder_basisAantalScore15	1
zonder_basisAantalScore16	1
zonder_basisAantalScore17	1
zonder_basisAantalScore18	1
zonder_basisAantalScore19	0
zonder_basisAantalScore20	0
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	0
wiskunde_basisGemiddeldeScore	7.69
wiskunde_basisMediaanScore	9
wiskunde_basisAantalScore0	1
wiskunde_basisAantalScore1	1
wiskunde_basisAantalScore2	2
wiskunde_basisAantalScore3	1
wiskunde_basisAantalScore4	1
wiskunde_basisAantalScore5	4
wiskunde_basisAantalScore6	2
wiskunde_basisAantalScore7	4
wiskunde_basisAantalScore8	3
wiskunde_basisAantalScore9	10
wiskunde_basisAantalScore10	16
wiskunde_standaardHoogsteScore	14
wiskunde_standaardLaagsteScore	0
wiskunde_standaardGemiddeldeScore	6.53
wiskunde_standaardMediaanScore	7
wiskunde_standaardAantalScore0	6
wiskunde_standaardAantalScore1	2
wiskunde_standaardAantalScore2	3
wiskunde_standaardAantalScore3	3
wiskunde_standaardAantalScore4	3
wiskunde_standaardAantalScore5	1
wiskunde_standaardAantalScore6	1
wiskunde_standaardAantalScore7	5
wiskunde_standaardAantalScore8	4
wiskunde_standaardAantalScore9	2
wiskunde_standaardAantalScore10	4
wiskunde_standaardAantalScore11	6
wiskunde_standaardAantalScore12	3
wiskunde_standaardAantalScore13	1
wiskunde_standaardAantalScore14	1
wiskunde_standaardAantalScore15	0
taalvaardigheidHoogsteScore	10
taalvaardigheidLaagsteScore	0
taalvaardigheidGemiddeldeScore	4.0
taalvaardigheidMediaanScore	3
taalvaardigheidAantalScore0	7
taalvaardigheidAantalScore1	2
taalvaardigheidAantalScore2	7
taalvaardigheidAantalScore3	8
taalvaardigheidAantalScore4	3
taalvaardigheidAantalScore5	3
taalvaardigheidAantalScore6	6
taalvaardigheidAantalScore7	2
taalvaardigheidAantalScore8	1
taalvaardigheidAantalScore9	5
taalvaardigheidAantalScore10	1
