vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	C	45	39	87	3	6	2	1	39	0
2	B	45	41	91	2	4	1	41	0	1
3	A	45	41	91	1	2	41	1	2	0
4	B	45	36	80	5	11	1	36	1	2
5	D	45	36	80	5	11	0	1	3	36
6	B	45	30	67	6	13	4	30	3	2
7	D	45	31	69	8	17	1	3	2	31
8	B	45	28	62	9	20	4	28	4	0
9	D	45	38	84	3	6	0	4	0	38
10	C	45	38	84	4	8	0	1	38	2
11	A	45	28	62	7	15	28	2	4	4
12	B	45	23	51	15	33	2	23	2	3
13	A	45	15	33	21	46	15	4	2	3
14	B	45	34	76	5	11	2	34	1	3
15	A	45	24	53	11	24	24	6	3	1
16	C	45	26	58	8	17	0	7	26	4
17	D	45	24	53	8	17	0	6	7	24
18	C	45	27	60	6	13	2	5	27	5
19	A	45	36	80	6	13	36	0	2	1
20	D	45	12	27	21	46	8	1	3	12
21	D	45	18	40	4	8	3	17	3	18
22	C	45	14	31	17	37	2	0	14	12
23	C	45	21	47	20	44	0	0	21	4
24	B	45	25	56	11	24	1	25	6	2
25	B	45	19	42	11	24	7	19	1	7
26	B	45	16	36	6	13	4	16	7	12
27	D	45	20	44	6	13	8	4	7	20
28	C	45	26	58	5	11	4	8	26	2
29	A	45	27	60	3	6	27	8	0	7
30	C	45	25	56	3	6	3	11	25	3
31	D	45	20	44	10	22	1	1	13	20
32	A	45	27	60	8	17	27	0	2	8
33	C	45	30	67	5	11	6	2	30	2
34	A	45	16	36	7	15	16	9	9	4
35	C	45	22	49	9	20	0	4	22	10
