ijkID	feedbackCode
J979562	19xe94473
J979492	19xe14291
J979474	19xe80014
J979472	19xe45833
J979471	19xe23909
q1378153	19xe57813
q1370374	19xe36740
J979470	19xe54918
q1310465	19xe23928
q1417448	19xe64711
q1390608	19xe73075
J979468	19xe63538
q1423250	19xe76482
q1315008	19xe81323
J979463	19xe46967
J979462	19xe44963
J979461	19xe85067
J979460	19xe82948
q1310700	19xe91592
J979457	19xe33028
J979456	19xe80025
J979455	19xe95452
J979453	19xe78310
J979449	19xe70385
J979448	19xe84085
q1392016	19xe65060
q1418974	19xe22091
q1377163	19xe34757
J979447	19xe87635
q1390249	19xe90225
q1318771	19xe19218
q1381469	19xe59534
q1343165	19xe51257
q1391415	19xe75949
J979432	19xe20850
J979431	19xe60610
J979429	19xe89567
J979422	19xe55597
q1388265	19xe92463
J979196	19xe56355
J979172	19xe64597
J979138	19xe24212
q0935908	19xe61006
J978924	19xe83565
J978691	19xe47401
