ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	taalvaardigheidJuist	taalvaardigheidFout	taalvaardigheidBlanco	taalvaardigheidScore
J979562	1	0	0	0	35	0	0	0	25	0	0	0	10	0	0	0	15	0	0	0	10	0
J979492	1	1	29	5	1	16	19	5	1	14	10	0	0	10	12	2	1	11	7	3	0	6
J979474	1	0	14	13	8	6	8	11	6	3	6	2	2	5	4	5	6	2	4	6	0	2
J979472	1	1	24	7	4	12	16	6	3	11	8	1	1	8	11	1	3	11	5	5	0	3
J979471	1	0	17	8	10	8	8	8	9	4	9	0	1	9	4	4	7	3	4	4	2	3
q1378153	1	1	23	12	0	11	13	12	0	7	10	0	0	10	9	6	0	7	4	6	0	2
q1370374	1	0	14	13	8	6	8	10	7	4	6	3	1	5	4	5	6	2	4	5	1	2
J979470	1	1	22	13	0	10	12	13	0	6	10	0	0	10	7	8	0	4	5	5	0	3
q1310465	1	1	27	6	2	14	18	5	2	13	9	1	0	9	10	3	2	9	8	2	0	7
q1417448	1	1	21	8	6	10	13	7	5	9	8	1	1	8	8	3	4	7	5	4	1	4
q1390608	1	1	28	3	4	15	20	2	3	15	8	1	1	8	11	1	3	11	9	1	0	9
J979468	1	1	25	5	5	13	15	5	5	11	10	0	0	10	11	2	2	10	4	3	3	3
q1423250	1	1	24	7	4	12	14	7	4	9	10	0	0	10	7	5	3	5	7	2	1	6
q1315008	1	1	29	6	0	15	19	6	0	14	10	0	0	10	14	1	0	14	5	5	0	3
J979463	1	0	18	17	0	7	11	14	0	5	7	3	0	6	9	6	0	7	2	8	0	0
J979462	1	1	29	5	1	16	19	5	1	14	10	0	0	10	11	4	0	10	8	1	1	8
J979461	1	1	20	7	8	10	11	7	7	7	9	0	1	9	9	3	3	8	2	4	4	1
J979460	1	1	29	3	3	16	19	3	3	14	10	0	0	10	11	1	3	11	8	2	0	7
q1310700	1	1	26	7	2	14	17	6	2	12	9	1	0	9	13	1	1	13	4	5	1	2
J979457	1	1	21	6	8	11	11	6	8	7	10	0	0	10	9	0	6	9	2	6	2	0
J979456	1	1	29	4	2	16	19	4	2	14	10	0	0	10	12	1	2	12	7	3	0	6
J979455	1	0	9	15	11	2	6	11	8	2	3	4	3	2	2	5	8	0	4	6	0	2
J979453	1	1	21	9	5	10	11	9	5	6	10	0	0	10	8	2	5	7	3	7	0	1
J979449	1	0	10	6	19	5	8	5	12	5	2	1	7	2	4	3	8	3	4	2	4	3
J979448	1	0	14	9	12	6	8	6	11	5	6	3	1	5	5	3	7	4	3	3	4	2
q1392016	1	0	11	15	9	3	5	12	8	1	6	3	1	5	3	5	7	1	2	7	1	0
q1418974	1	1	24	7	4	12	16	5	4	11	8	2	0	7	9	2	4	8	7	3	0	6
q1377163	1	1	23	7	5	12	13	7	5	9	10	0	0	10	9	3	3	8	4	4	2	3
J979447	1	1	26	7	2	14	16	7	2	11	10	0	0	10	11	4	0	10	5	3	2	4
q1390249	1	1	28	7	0	15	18	7	0	13	10	0	0	10	12	3	0	11	6	4	0	5
q1318771	1	1	32	3	0	18	23	2	0	18	9	1	0	9	13	2	0	12	10	0	0	10
q1381469	1	1	32	3	0	18	22	3	0	17	10	0	0	10	13	2	0	12	9	1	0	9
q1343165	1	1	20	10	5	10	11	9	5	6	9	1	0	9	6	5	4	4	5	4	1	4
q1391415	1	1	25	6	4	13	16	5	4	11	9	1	0	9	9	3	3	8	7	2	1	6
J979432	1	1	23	9	3	11	14	8	3	9	9	1	0	9	8	4	3	7	6	4	0	5
J979431	1	0	16	10	9	7	9	8	8	5	7	2	1	6	3	5	7	1	6	3	1	5
J979429	1	0	10	25	0	1	7	18	0	1	3	7	0	1	3	12	0	0	4	6	0	2
J979422	1	0	15	13	7	6	5	13	7	1	10	0	0	10	4	4	7	3	1	9	0	0
q1388265	1	0	20	11	4	9	12	9	4	7	8	2	0	7	7	4	4	6	5	5	0	3
J979196	1	0	4	0	31	2	0	0	25	0	4	0	6	4	0	0	15	0	0	0	10	0
J979172	1	1	27	8	0	14	18	7	0	13	9	1	0	9	11	4	0	10	7	3	0	6
J979138	1	0	3	0	32	2	0	0	25	0	3	0	7	3	0	0	15	0	0	0	10	0
q0935908	1	1	22	13	0	10	14	11	0	8	8	2	0	7	5	10	0	2	9	1	0	9
J978924	1	1	22	13	0	10	13	12	0	7	9	1	0	9	4	11	0	0	9	1	0	9
J978691	1	1	27	2	6	15	20	1	4	16	7	1	2	7	11	0	4	11	9	1	0	9
