key	value
toetsCode	xe
toetsSessie	19
aantalVragen	35
aantalAlternatieven	4
subScores	totaal|zonder_basis|wiskunde_basis|wiskunde_standaard|taalvaardigheid
totaal-maxScore	20
zonder_basis-maxScore	20
wiskunde_basis-maxScore	10
wiskunde_standaard-maxScore	15
taalvaardigheid-maxScore	10
totaal-vragen	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35
zonder_basis-vragen	11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35
wiskunde_basis-vragen	1|2|3|4|5|6|7|8|9|10
wiskunde_standaard-vragen	11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
taalvaardigheid-vragen	26|27|28|29|30|31|32|33|34|35
