feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
19xa70405	1	C	B	A	B	D	B	D	B	D	C	C	B	A	B	C	C	C	C	A	A	D	C	C	B	B	C	B	C	A	X	B	B	C	B	B
19xa18492	1	C	B	A	B	D	B	B	B	D	C	A	B	C	B	A	C	A	C	A	B	C	D	C	D	B	C	B	A	D	D	B	C	B	C	B
19xa84101	1	X	X	X	B	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
19xa96814	1	C	B	A	B	D	B	D	B	B	C	A	B	D	B	C	C	D	C	C	A	C	D	A	C	B	C	B	C	D	D	A	A	C	B	B
19xa64451	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	C	D	C	C	B	X	C	B	D	A	D	C	C	C	B	B
19xa33003	1	C	B	B	B	D	B	D	B	D	C	A	B	X	C	C	A	B	D	B	C	B	B	B	B	A	C	B	C	A	B	A	B	C	B	B
19xa50489	1	C	B	A	C	D	B	D	B	D	C	A	B	A	B	X	C	D	C	A	X	B	D	X	B	B	C	C	C	A	D	A	A	B	C	B
19xa18982	1	A	B	C	B	D	B	C	B	D	C	C	B	X	B	A	X	D	C	A	X	X	B	X	A	X	C	A	C	A	A	B	C	B	B	B
19xa24403	1	C	B	D	B	B	X	A	B	B	C	X	X	X	B	X	X	D	C	X	D	C	X	X	D	A	C	A	A	B	X	B	D	X	C	B
19xa35104	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	X	B	B	C	X	C	A	X	B	C	X	B	B
19xa54028	1	C	B	A	A	D	B	D	B	D	C	A	B	D	X	B	C	D	C	A	D	D	X	X	B	A	C	B	C	A	X	B	C	C	B	B
19xa12057	1	X	B	A	A	X	D	B	X	D	X	X	X	X	X	X	X	C	X	X	X	D	X	X	X	X	X	A	X	A	X	X	X	X	X	X
19xa91388	1	X	X	A	C	X	C	X	B	C	X	X	X	X	X	X	C	C	B	D	X	B	X	X	X	X	B	B	D	A	D	A	C	X	C	C
19xa46598	1	C	B	A	C	D	B	A	B	D	C	A	B	A	B	A	B	D	D	A	X	D	D	D	A	B	D	B	A	C	C	C	D	C	D	C
19xa16524	1	C	B	A	B	D	X	X	B	D	X	X	X	X	B	X	C	X	C	X	D	X	X	X	X	X	C	A	X	A	X	D	C	X	C	C
19xa52688	1	X	B	A	B	D	C	D	B	D	C	A	B	A	X	X	X	D	C	A	A	B	X	X	X	B	C	B	A	A	X	X	C	B	A	D
19xa21512	1	C	B	A	B	D	B	D	B	B	C	C	B	A	B	A	C	D	C	A	C	X	C	C	B	X	C	X	C	A	X	X	X	X	C	X
19xa14066	1	C	B	A	B	D	B	D	X	D	C	A	X	X	B	X	D	D	B	A	A	X	C	X	B	A	C	B	B	A	A	A	C	B	C	B
19xa77040	1	X	X	X	X	B	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
19xa36318	1	B	B	A	B	D	B	D	B	D	C	D	B	D	B	A	C	D	C	A	D	C	X	X	X	A	C	B	C	D	A	X	A	X	C	B
19xa35046	1	B	B	A	B	D	X	B	B	X	C	X	B	A	B	X	C	D	D	X	B	A	X	X	A	D	D	B	X	A	X	C	C	X	C	B
19xa53003	1	C	B	A	B	X	X	D	X	D	C	A	X	A	D	X	C	D	B	A	X	B	X	C	D	B	C	A	D	A	X	A	C	X	B	B
19xa98068	1	C	B	A	B	D	B	D	X	D	C	A	A	X	B	X	C	D	C	A	X	X	X	X	X	B	D	A	B	A	X	A	A	X	C	B
19xa24272	1	C	X	B	D	B	B	D	B	D	X	A	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
19xa24839	1	C	B	A	B	D	B	X	X	C	C	A	X	X	B	X	C	D	C	A	X	C	X	X	B	X	C	B	C	B	X	B	C	X	B	B
19xa98925	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	X	C	A	C	A	D	C	C	X	B	B	X	D	B	A	C	B	C	X	B	C
19xa86383	1	C	B	A	B	D	B	D	B	D	C	X	B	X	B	X	C	D	C	X	X	D	X	C	B	A	C	B	C	A	X	B	C	B	B	B
19xa42627	1	C	B	A	B	D	B	D	X	D	X	X	B	A	B	A	C	X	D	X	A	A	X	X	B	X	C	A	B	D	X	X	D	X	B	C
19xa90221	1	C	B	A	D	D	B	D	B	D	C	A	B	X	A	A	C	X	C	A	X	B	X	X	B	A	D	B	C	A	X	A	C	B	B	B
19xa40316	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	D	C	D	C	A	D	B	X	X	B	X	C	B	C	A	D	B	B	A	B	B
19xa87916	1	C	B	A	B	D	X	D	B	D	C	A	X	X	B	X	X	D	X	A	X	B	X	X	X	X	B	B	C	D	A	C	C	X	B	B
19xa22490	1	X	B	A	B	D	B	D	X	D	C	A	B	X	B	X	B	A	C	X	X	D	D	X	X	X	B	B	C	A	X	A	X	X	B	X
19xa54966	1	C	B	D	B	D	B	D	B	D	C	C	C	A	B	X	C	D	C	A	D	D	X	X	B	B	X	B	C	A	X	B	C	X	B	B
19xa91769	1	C	B	A	C	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	D	X	B	D	C	A	C	A	X	B	B	X	B	C
19xa58298	1	C	B	A	B	D	C	D	B	D	C	A	B	A	B	A	C	D	C	A	C	D	D	C	B	D	C	A	X	A	X	X	X	X	X	X
19xa79271	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	D	A	D	D	X	X	B	B	C	B	C	A	D	B	A	A	B	B
19xa68614	1	C	B	A	B	D	B	D	B	C	C	A	B	A	B	A	C	D	C	A	D	D	D	X	X	A	C	C	C	A	A	A	C	C	C	B
19xa58358	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	X	D	C	X	B	B	C	X	A	A	D	A	C	A	B	B
