scoreNaam	groepLabel	kleur	aantal
totaal	<10	rgb(255,140,0)	67
totaal	10-13	rgb(255,215,0)	77
totaal	>=14	rgb(144,238,144)	79
zonder_basis	<10	rgb(255,140,0)	106
zonder_basis	10-13	rgb(255,215,0)	65
zonder_basis	>=14	rgb(144,238,144)	52
wiskunde_basis	<7	rgb(255,140,0)	47
wiskunde_basis	7-8	rgb(255,215,0)	51
wiskunde_basis	>=9	rgb(144,238,144)	125
wiskunde_standaard	<8	rgb(255,140,0)	121
wiskunde_standaard	8-11	rgb(255,215,0)	67
wiskunde_standaard	>=12	rgb(144,238,144)	35
chemie	<5	rgb(255,140,0)	78
chemie	5-7	rgb(255,215,0)	79
chemie	>=7	rgb(144,238,144)	66
