feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	zonder_basisGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemieGroep
19xa70405	1	1	27	7	1	14	>=14	17	7	1	12	10-13	10	0	0	10	>=9	11	4	0	10	8-11	6	3	1	5	5-7
19xa18492	1	1	24	11	0	12	10-13	15	10	0	9	<10	9	1	0	9	>=9	9	6	0	7	<8	6	4	0	5	5-7
19xa84101	1	0	1	0	34	1	<10	0	0	25	0	<10	1	0	9	1	<7	0	0	15	0	<8	0	0	10	0	<5
19xa96814	1	1	23	12	0	11	10-13	14	11	0	8	<10	9	1	0	9	>=9	7	8	0	4	<8	7	3	0	6	5-7
19xa64451	1	1	30	4	1	16	>=14	20	4	1	15	>=14	10	0	0	10	>=9	13	1	1	13	>=12	7	3	0	6	5-7
19xa33003	1	0	19	15	1	8	<10	10	14	1	4	<10	9	1	0	9	>=9	3	11	1	0	<8	7	3	0	6	5-7
19xa50489	1	1	26	6	3	14	>=14	17	5	3	12	10-13	9	1	0	9	>=9	10	2	3	9	8-11	7	3	0	6	5-7
19xa18982	1	1	20	9	6	10	10-13	13	6	6	9	<10	7	3	0	6	<7	6	3	6	5	<8	7	3	0	6	5-7
19xa24403	1	0	11	13	11	4	<10	6	9	10	2	<10	5	4	1	4	<7	4	3	8	3	<8	2	6	2	0	<5
19xa35104	1	1	30	1	4	17	>=14	20	1	4	16	>=14	10	0	0	10	>=9	14	0	1	14	>=12	6	1	3	6	5-7
19xa54028	1	1	25	6	4	13	10-13	16	5	4	11	10-13	9	1	0	9	>=9	9	3	3	8	8-11	7	2	1	6	5-7
19xa12057	1	0	5	5	25	2	<10	2	2	21	1	<10	3	3	4	2	<7	1	1	13	1	<8	1	1	8	1	<5
19xa91388	1	0	8	11	16	2	<10	6	8	11	3	<10	2	3	5	1	<7	1	4	10	0	<8	5	4	1	4	<5
19xa46598	1	0	18	16	1	7	<10	10	14	1	4	<10	8	2	0	7	7-8	9	5	1	7	<8	1	9	0	0	<5
19xa16524	1	0	14	4	17	7	<10	7	4	14	5	<10	7	0	3	7	7-8	4	0	11	4	<8	3	4	3	2	<5
19xa52688	1	1	20	6	9	10	10-13	12	5	8	8	<10	8	1	1	8	7-8	7	2	6	6	<8	5	3	2	4	<5
19xa21512	1	1	23	4	8	12	10-13	14	3	8	10	10-13	9	1	0	9	>=9	11	2	2	10	8-11	3	1	6	3	<5
19xa14066	1	1	22	7	6	11	10-13	13	7	5	9	<10	9	0	1	9	>=9	6	4	5	5	<8	7	3	0	6	5-7
19xa77040	1	0	0	1	34	0	<10	0	0	25	0	<10	0	1	9	0	<7	0	0	15	0	<8	0	0	10	0	<5
19xa36318	1	1	21	9	5	10	10-13	12	8	5	7	<10	9	1	0	9	>=9	8	4	3	7	<8	4	4	2	3	<5
19xa35046	1	0	15	10	10	7	<10	9	8	8	5	<10	6	2	2	5	<7	5	5	5	3	<8	4	3	3	3	<5
19xa53003	1	1	20	6	9	10	10-13	13	6	6	9	<10	7	0	3	7	7-8	7	4	4	6	<8	6	2	2	5	5-7
19xa98068	1	1	19	6	10	10	10-13	10	6	9	6	<10	9	0	1	9	>=9	7	1	7	7	<8	3	5	2	1	<5
19xa24272	1	0	6	3	26	3	<10	1	0	24	1	<10	5	3	2	4	<7	1	0	14	1	<8	0	0	10	0	<5
19xa24839	1	1	20	4	11	11	10-13	13	3	9	10	10-13	7	1	2	7	7-8	7	1	7	7	<8	6	2	2	5	5-7
19xa98925	1	1	23	7	5	12	10-13	13	7	5	9	<10	10	0	0	10	>=9	10	2	3	9	8-11	3	5	2	1	<5
19xa86383	1	1	26	2	7	14	>=14	16	2	7	12	10-13	10	0	0	10	>=9	8	1	6	8	8-11	8	1	1	8	>=7
19xa42627	1	0	16	8	11	8	<10	8	8	9	4	<10	8	0	2	8	7-8	6	3	6	5	<8	2	5	3	0	<5
19xa90221	1	1	24	5	6	13	10-13	15	4	6	11	10-13	9	1	0	9	>=9	7	3	5	6	<8	8	1	1	8	>=7
19xa40316	1	1	26	5	4	14	>=14	16	5	4	11	10-13	10	0	0	10	>=9	9	2	4	8	8-11	7	3	0	6	5-7
19xa87916	1	0	18	5	12	9	<10	9	5	11	6	<10	9	0	1	9	>=9	4	1	10	4	<8	5	4	1	4	<5
19xa22490	1	1	18	4	13	10	10-13	10	4	11	7	<10	8	0	2	8	7-8	5	3	7	4	<8	5	1	4	5	5-7
19xa54966	1	1	25	4	6	14	>=14	16	3	6	12	10-13	9	1	0	9	>=9	10	2	3	9	8-11	6	1	3	6	5-7
19xa91769	1	1	24	8	3	12	10-13	15	7	3	10	10-13	9	1	0	9	>=9	11	3	1	10	8-11	4	4	2	3	<5
19xa58298	1	1	23	5	7	12	10-13	14	4	7	10	10-13	9	1	0	9	>=9	12	3	0	11	8-11	2	1	7	2	<5
19xa79271	1	1	29	4	2	16	>=14	19	4	2	14	>=14	10	0	0	10	>=9	12	1	2	12	>=12	7	3	0	6	5-7
19xa68614	1	1	26	7	2	14	>=14	17	6	2	12	10-13	9	1	0	9	>=9	11	2	2	10	8-11	6	4	0	5	5-7
19xa58358	1	1	29	2	4	16	>=14	19	2	4	15	>=14	10	0	0	10	>=9	12	0	3	12	>=12	7	2	1	6	5-7
