vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	C	223	172	77	33	14	9	6	172	3
2	B	223	200	90	10	4	6	200	1	6
3	A	223	191	86	9	4	191	4	6	13
4	B	223	183	82	4	1	18	183	8	10
5	D	223	194	87	12	5	5	10	2	194
6	B	223	160	72	25	11	11	160	19	8
7	D	223	154	69	24	10	15	16	14	154
8	B	223	179	80	35	15	6	179	3	0
9	D	223	186	83	8	3	1	20	8	186
10	C	223	193	87	16	7	5	5	193	4
11	A	223	149	67	31	13	149	5	17	21
12	B	223	127	57	68	30	19	127	8	1
13	A	223	65	29	98	43	65	14	26	20
14	B	223	170	76	24	10	8	170	5	16
15	A	223	112	50	72	32	112	16	15	8
16	C	223	176	79	15	6	9	10	176	13
17	D	223	134	60	32	14	18	11	28	134
18	C	223	141	63	25	11	15	25	141	17
19	A	223	158	71	44	19	158	5	9	7
20	D	223	99	44	71	31	25	16	12	99
21	D	223	75	34	34	15	17	73	24	75
22	C	223	54	24	104	46	10	12	54	43
23	C	223	88	39	106	47	6	14	88	9
24	B	223	132	59	51	22	11	132	22	7
25	B	223	92	41	78	34	32	92	3	18
26	C	223	166	74	27	12	0	13	166	17
27	B	223	128	57	25	11	35	128	19	16
28	C	223	105	47	37	16	22	45	105	14
29	A	223	167	75	11	4	167	10	9	26
30	D	223	99	44	78	34	22	6	18	99
31	A	223	103	46	32	14	103	66	20	2
32	C	223	152	68	25	11	15	22	152	9
33	B	223	98	44	74	33	15	98	36	0
34	B	223	146	65	20	8	4	146	43	10
35	B	223	147	66	18	8	0	147	33	25
