ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	chemieJuist	chemieFout	chemieBlanco	chemieScore
q1446267	1	1	27	7	1	14	17	7	1	12	10	0	0	10	11	4	0	10	6	3	1	5
q1374115	1	1	24	11	0	12	15	10	0	9	9	1	0	9	9	6	0	7	6	4	0	5
q1342351	1	0	1	0	34	1	0	0	25	0	1	0	9	1	0	0	15	0	0	0	10	0
q1422253	1	1	23	12	0	11	14	11	0	8	9	1	0	9	7	8	0	4	7	3	0	6
q1443345	1	1	30	4	1	16	20	4	1	15	10	0	0	10	13	1	1	13	7	3	0	6
q1313275	1	0	19	15	1	8	10	14	1	4	9	1	0	9	3	11	1	0	7	3	0	6
q1381937	1	1	26	6	3	14	17	5	3	12	9	1	0	9	10	2	3	9	7	3	0	6
q1234192	1	1	20	9	6	10	13	6	6	9	7	3	0	6	6	3	6	5	7	3	0	6
q1399760	1	0	11	13	11	4	6	9	10	2	5	4	1	4	4	3	8	3	2	6	2	0
q1365494	1	1	30	1	4	17	20	1	4	16	10	0	0	10	14	0	1	14	6	1	3	6
q1314983	1	1	25	6	4	13	16	5	4	11	9	1	0	9	9	3	3	8	7	2	1	6
q1416483	1	0	5	5	25	2	2	2	21	1	3	3	4	2	1	1	13	1	1	1	8	1
q1346287	1	0	8	11	16	2	6	8	11	3	2	3	5	1	1	4	10	0	5	4	1	4
q1312283	1	0	18	16	1	7	10	14	1	4	8	2	0	7	9	5	1	7	1	9	0	0
q1429687	1	0	14	4	17	7	7	4	14	5	7	0	3	7	4	0	11	4	3	4	3	2
q1319223	1	1	20	6	9	10	12	5	8	8	8	1	1	8	7	2	6	6	5	3	2	4
q1279063	1	1	23	4	8	12	14	3	8	10	9	1	0	9	11	2	2	10	3	1	6	3
q1353957	1	1	22	7	6	11	13	7	5	9	9	0	1	9	6	4	5	5	7	3	0	6
q1435486	1	0	0	1	34	0	0	0	25	0	0	1	9	0	0	0	15	0	0	0	10	0
J978607	1	1	21	9	5	10	12	8	5	7	9	1	0	9	8	4	3	7	4	4	2	3
q1412246	1	0	15	10	10	7	9	8	8	5	6	2	2	5	5	5	5	3	4	3	3	3
q1400754	1	1	20	6	9	10	13	6	6	9	7	0	3	7	7	4	4	6	6	2	2	5
q1370567	1	1	19	6	10	10	10	6	9	6	9	0	1	9	7	1	7	7	3	5	2	1
q1312228	1	0	6	3	26	3	1	0	24	1	5	3	2	4	1	0	14	1	0	0	10	0
q1457685	1	1	20	4	11	11	13	3	9	10	7	1	2	7	7	1	7	7	6	2	2	5
q1401376	1	1	23	7	5	12	13	7	5	9	10	0	0	10	10	2	3	9	3	5	2	1
q1401403	1	1	26	2	7	14	16	2	7	12	10	0	0	10	8	1	6	8	8	1	1	8
q1345481	1	0	16	8	11	8	8	8	9	4	8	0	2	8	6	3	6	5	2	5	3	0
q1383134	1	1	24	5	6	13	15	4	6	11	9	1	0	9	7	3	5	6	8	1	1	8
q1371828	1	1	26	5	4	14	16	5	4	11	10	0	0	10	9	2	4	8	7	3	0	6
q1461911	1	0	18	5	12	9	9	5	11	6	9	0	1	9	4	1	10	4	5	4	1	4
q1430198	1	1	18	4	13	10	10	4	11	7	8	0	2	8	5	3	7	4	5	1	4	5
q1383455	1	1	25	4	6	14	16	3	6	12	9	1	0	9	10	2	3	9	6	1	3	6
q1337919	1	1	24	8	3	12	15	7	3	10	9	1	0	9	11	3	1	10	4	4	2	3
