vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	C	223	172	33	9	6	172	3
2	B	223	200	10	6	200	1	6
3	A	223	191	9	191	4	6	13
4	B	223	183	4	18	183	8	10
5	D	223	194	12	5	10	2	194
6	B	223	160	25	11	160	19	8
7	D	223	154	24	15	16	14	154
8	B	223	179	35	6	179	3	0
9	D	223	186	8	1	20	8	186
10	C	223	193	16	5	5	193	4
11	A	223	149	31	149	5	17	21
12	B	223	127	68	19	127	8	1
13	A	223	65	98	65	14	26	20
14	B	223	170	24	8	170	5	16
15	A	223	112	72	112	16	15	8
16	C	223	176	15	9	10	176	13
17	D	223	134	32	18	11	28	134
18	C	223	141	25	15	25	141	17
19	A	223	158	44	158	5	9	7
20	D	223	99	71	25	16	12	99
21	D	223	75	34	17	73	24	75
22	C	223	54	104	10	12	54	43
23	C	223	88	106	6	14	88	9
24	B	223	132	51	11	132	22	7
25	B	223	92	78	32	92	3	18
26	C	223	166	27	0	13	166	17
27	B	223	128	25	35	128	19	16
28	C	223	105	37	22	45	105	14
29	A	223	167	11	167	10	9	26
30	D	223	99	78	22	6	18	99
31	A	223	103	32	103	66	20	2
32	C	223	152	25	15	22	152	9
33	B	223	98	74	15	98	36	0
34	B	223	146	20	4	146	43	10
35	B	223	147	18	0	147	33	25
