feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
20xf12255	1	D	C	B	B	D	A	X	A	C	X	X	X	X	D	C	X	X	X	C	X	B	X
20xf25523	1	D	C	B	A	D	A	D	A	C	D	B	A	C	C	C	A	C	C	X	X	X	X
20xf48745	1	D	C	B	B	D	A	C	A	C	D	X	A	C	D	X	X	X	D	X	X	D	D
20xf79242	1	A	B	D	B	D	C	A	D	A	B	C	A	C	C	B	D	B	C	A	A	B	D
20xf51819	1	C	B	B	C	C	A	D	A	C	C	B	A	B	D	B	B	B	D	C	D	B	B
20xf23704	1	D	C	B	B	D	A	B	A	C	A	B	D	C	A	B	C	A	D	B	A	D	C
20xf29786	1	D	C	X	B	D	X	D	A	X	X	X	C	C	D	D	X	A	X	D	X	A	C
20xf38111	1	D	C	X	B	B	A	B	A	X	D	B	D	C	X	X	X	X	D	X	X	B	C
20xf58793	1	X	B	X	B	B	B	X	A	X	B	X	X	X	X	X	X	X	X	X	C	B	D
20xf36587	1	D	C	B	B	D	C	D	A	C	D	B	A	C	D	C	A	A	D	D	C	B	C
20xf13209	1	D	C	B	B	C	B	A	C	A	D	D	X	X	D	B	X	X	X	C	A	C	B
20xf72715	1	D	C	B	B	D	A	D	A	C	D	C	X	C	D	C	A	X	D	D	C	B	D
20xf13905	1	D	C	B	B	D	X	B	A	X	C	B	A	X	D	X	X	X	X	X	X	D	D
20xf40064	1	D	C	B	A	D	B	C	A	C	D	B	A	X	D	C	X	X	X	X	B	C	B
20xf73634	1	D	C	B	B	D	X	X	A	X	D	B	X	X	D	C	X	X	X	B	B	B	D
20xf70288	1	D	C	A	A	D	A	D	A	C	D	B	X	X	D	X	X	X	X	X	X	D	B
20xf83799	1	B	C	B	B	D	A	D	A	D	D	B	D	C	D	C	X	A	D	C	A	B	D
20xf92014	1	D	B	B	B	X	A	D	A	C	X	B	D	X	C	C	X	X	X	X	A	B	D
20xf18142	1	X	C	D	B	D	X	D	A	X	D	B	A	X	C	C	X	X	X	X	C	A	D
20xf46934	1	D	B	B	B	D	A	D	A	C	D	B	X	X	C	C	X	X	X	X	A	B	D
20xf69432	1	D	C	B	B	D	X	C	A	C	D	B	A	X	D	C	X	B	X	X	C	D	B
20xf24383	1	D	C	B	C	D	X	D	A	X	X	X	X	C	C	C	X	X	X	D	B	A	D
20xf94495	1	D	C	B	B	D	C	D	A	X	D	C	X	X	D	C	A	B	D	X	X	B	X
20xf59259	1	D	B	B	A	D	A	D	A	X	B	B	X	X	X	C	X	B	X	X	X	B	X
20xf76209	1	D	B	B	A	C	C	B	A	X	B	B	X	X	X	C	A	B	D	C	X	A	X
20xf94783	1	D	C	B	B	B	B	D	A	C	D	B	A	C	D	C	A	B	D	X	C	C	D
20xf85967	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	X	A	C	B	D
20xf16627	1	X	B	D	A	D	X	C	A	X	D	B	X	X	B	C	X	X	X	X	C	B	D
20xf57244	1	X	C	X	B	C	X	X	A	X	D	X	X	X	D	D	X	X	X	X	X	B	C
