key	value
aantalDeelnemers	151
totaalHoogsteScore	20
totaalLaagsteScore	0
totaalGemiddeldeScore	9.58
totaalMediaanScore	9
totaalAantalScore0	3
totaalAantalScore1	2
totaalAantalScore2	3
totaalAantalScore3	6
totaalAantalScore4	7
totaalAantalScore5	10
totaalAantalScore6	10
totaalAantalScore7	14
totaalAantalScore8	13
totaalAantalScore9	8
totaalAantalScore10	7
totaalAantalScore11	10
totaalAantalScore12	15
totaalAantalScore13	12
totaalAantalScore14	5
totaalAantalScore15	8
totaalAantalScore16	11
totaalAantalScore17	3
totaalAantalScore18	2
totaalAantalScore19	1
totaalAantalScore20	1
wiskundeHoogsteScore	20
wiskundeLaagsteScore	0
wiskundeGemiddeldeScore	9.58
wiskundeMediaanScore	9
wiskundeAantalScore0	3
wiskundeAantalScore1	2
wiskundeAantalScore2	3
wiskundeAantalScore3	6
wiskundeAantalScore4	7
wiskundeAantalScore5	10
wiskundeAantalScore6	10
wiskundeAantalScore7	14
wiskundeAantalScore8	13
wiskundeAantalScore9	8
wiskundeAantalScore10	7
wiskundeAantalScore11	10
wiskundeAantalScore12	15
wiskundeAantalScore13	12
wiskundeAantalScore14	5
wiskundeAantalScore15	8
wiskundeAantalScore16	11
wiskundeAantalScore17	3
wiskundeAantalScore18	2
wiskundeAantalScore19	1
wiskundeAantalScore20	1
