vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	D	151	117	77	18	11	3	9	4	117
2	C	151	131	87	2	1	3	15	131	0
3	B	151	99	66	31	20	2	99	6	13
4	B	151	110	73	3	1	28	110	9	1
5	D	151	107	71	16	10	4	8	16	107
6	A	151	67	44	51	33	67	12	21	0
7	D	151	77	51	21	13	9	25	19	77
8	A	151	133	88	4	2	133	3	6	5
9	C	151	76	50	64	42	4	1	76	6
10	D	151	89	59	15	9	7	26	14	89
11	B	151	94	62	28	18	5	94	15	9
12	A	151	58	38	66	43	58	9	8	10
13	C	151	58	38	77	50	6	9	58	1
14	D	151	93	62	29	19	4	4	21	93
15	C	151	99	66	19	12	6	13	99	14
16	A	151	33	22	99	65	33	5	10	4
17	B	151	47	31	84	55	7	47	10	3
18	D	151	72	48	69	45	3	1	6	72
19	D	151	49	32	62	41	7	19	14	49
20	C	151	49	32	49	32	22	24	49	7
21	B	151	76	50	13	8	21	76	14	27
22	D	151	72	48	31	20	4	31	13	72
