ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
q1376914	1	D	C	B	B	D	A	X	A	C	X	X	X	X	D	C	X	X	X	C	X	B	X
q1176363	1	D	C	B	A	D	A	D	A	C	D	B	A	C	C	C	A	C	C	X	X	X	X
q1318606	1	D	C	B	B	D	A	C	A	C	D	X	A	C	D	X	X	X	D	X	X	D	D
J978810	1	A	B	D	B	D	C	A	D	A	B	C	A	C	C	B	D	B	C	A	A	B	D
q1349760	1	C	B	B	C	C	A	D	A	C	C	B	A	B	D	B	B	B	D	C	D	B	B
q1462377	1	D	C	B	B	D	A	B	A	C	A	B	D	C	A	B	C	A	D	B	A	D	C
q1458364	1	D	C	X	B	D	X	D	A	X	X	X	C	C	D	D	X	A	X	D	X	A	C
q1183972	1	D	C	X	B	B	A	B	A	X	D	B	D	C	X	X	X	X	D	X	X	B	C
q1387675	1	X	B	X	B	B	B	X	A	X	B	X	X	X	X	X	X	X	X	X	C	B	D
q1417788	1	D	C	B	B	D	C	D	A	C	D	B	A	C	D	C	A	A	D	D	C	B	C
q1344520	1	D	C	B	B	C	B	A	C	A	D	D	X	X	D	B	X	X	X	C	A	C	B
q1369661	1	D	C	B	B	D	A	D	A	C	D	C	X	C	D	C	A	X	D	D	C	B	D
q1324856	1	D	C	B	B	D	X	B	A	X	C	B	A	X	D	X	X	X	X	X	X	D	D
q1317164	1	D	C	B	A	D	B	C	A	C	D	B	A	X	D	C	X	X	X	X	B	C	B
q1435475	1	D	C	B	B	D	X	X	A	X	D	B	X	X	D	C	X	X	X	B	B	B	D
q1457016	1	D	C	A	A	D	A	D	A	C	D	B	X	X	D	X	X	X	X	X	X	D	B
q1379231	1	B	C	B	B	D	A	D	A	D	D	B	D	C	D	C	X	A	D	C	A	B	D
q1442182	1	D	B	B	B	X	A	D	A	C	X	B	D	X	C	C	X	X	X	X	A	B	D
q1446878	1	X	C	D	B	D	X	D	A	X	D	B	A	X	C	C	X	X	X	X	C	A	D
q1433957	1	D	B	B	B	D	A	D	A	C	D	B	X	X	C	C	X	X	X	X	A	B	D
q1119205	1	D	C	B	B	D	X	C	A	C	D	B	A	X	D	C	X	B	X	X	C	D	B
q1382278	1	D	C	B	C	D	X	D	A	X	X	X	X	C	C	C	X	X	X	D	B	A	D
q1420816	1	D	C	B	B	D	C	D	A	X	D	C	X	X	D	C	A	B	D	X	X	B	X
q1389924	1	D	B	B	A	D	A	D	A	X	B	B	X	X	X	C	X	B	X	X	X	B	X
q1418727	1	D	B	B	A	C	C	B	A	X	B	B	X	X	X	C	A	B	D	C	X	A	X
q1420216	1	D	C	B	B	B	B	D	A	C	D	B	A	C	D	C	A	B	D	X	C	C	D
q1338775	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	X	A	C	B	D
