ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore
q1376914	1	1	11	1	10	10	11	1	10	10
q1176363	1	1	14	4	4	12	14	4	4	12
q1318606	1	1	14	2	6	12	14	2	6	12
J978810	1	0	7	15	0	2	7	15	0	2
q1349760	1	0	11	11	0	7	11	11	0	7
q1462377	1	0	11	11	0	7	11	11	0	7
q1458364	1	0	9	5	8	7	9	5	8	7
q1183972	1	0	10	4	8	8	10	4	8	8
q1387675	1	0	5	4	13	3	5	4	13	3
q1417788	1	1	19	3	0	16	19	3	0	16
q1344520	1	0	6	11	5	2	6	11	5	2
q1369661	1	1	19	1	2	17	19	1	2	17
q1324856	1	0	10	3	9	8	10	3	9	8
q1317164	1	0	11	6	5	8	11	6	5	8
q1435475	1	1	12	2	8	10	12	2	8	10
q1457016	1	0	10	4	8	8	10	4	8	8
q1379231	1	1	15	6	1	12	15	6	1	12
q1442182	1	0	11	4	7	9	11	4	7	9
q1446878	1	0	11	3	8	9	11	3	8	9
q1433957	1	1	13	3	6	11	13	3	6	11
q1119205	1	1	14	3	5	12	14	3	5	12
q1382278	1	0	10	4	8	8	10	4	8	8
q1420816	1	1	14	2	6	12	14	2	6	12
q1389924	1	0	10	3	9	8	10	3	9	8
q1418727	1	0	8	8	6	5	8	8	6	5
q1420216	1	1	18	3	1	15	18	3	1	15
q1338775	1	1	20	1	1	18	20	1	1	18
q1375636	1	0	8	5	9	6	8	5	9	6
q1445099	1	0	6	3	13	5	6	3	13	5
q1417530	1	0	9	6	7	6	9	6	7	6
q1231488	1	1	13	3	6	11	13	3	6	11
q1324489	1	1	15	1	6	13	15	1	6	13
q1426987	1	1	15	2	5	13	15	2	5	13
q1278632	1	1	17	0	5	15	17	0	5	15
q1389894	1	1	13	5	4	10	13	5	4	10
q1388460	1	0	6	6	10	4	6	6	10	4
q1395102	1	0	9	8	5	6	9	8	5	6
q1396749	1	0	7	8	7	4	7	8	7	4
q1315065	1	1	19	2	1	17	19	2	1	17
q1446665	1	1	15	4	3	12	15	4	3	12
q1337675	1	0	9	5	8	7	9	5	8	7
q1444786	1	0	11	7	4	8	11	7	4	8
q1400465	1	1	14	7	1	11	14	7	1	11
q1401512	1	1	13	4	5	11	13	4	5	11
q1392995	1	0	7	4	11	5	7	4	11	5
q0899250	1	1	18	4	0	15	18	4	0	15
q1429664	1	1	14	3	5	12	14	3	5	12
q1346193	1	0	7	8	7	4	7	8	7	4
q1372222	1	1	14	4	4	12	14	4	4	12
q1381147	1	0	10	4	8	8	10	4	8	8
q1414561	1	0	9	4	9	7	9	4	9	7
q1444445	1	1	15	2	5	13	15	2	5	13
q1393041	1	0	10	7	5	7	10	7	5	7
q1325384	1	1	21	1	0	19	21	1	0	19
q1415626	1	0	13	9	0	9	13	9	0	9
q1440547	1	0	4	7	11	2	4	7	11	2
q1407580	1	0	6	6	10	4	6	6	10	4
q1383575	1	1	17	5	0	14	17	5	0	14
q1389881	1	1	15	3	4	13	15	3	4	13
q1397001	1	0	4	11	7	0	4	11	7	0
q1346258	1	1	14	1	7	12	14	1	7	12
q1318516	1	0	10	8	4	7	10	8	4	7
q1344391	1	1	18	0	4	16	18	0	4	16
q0408377	1	0	7	3	12	5	7	3	12	5
q0963621	1	1	15	3	4	13	15	3	4	13
q1286823	1	1	19	3	0	16	19	3	0	16
q1316304	1	1	15	5	2	12	15	5	2	12
q1388438	1	1	13	0	9	12	13	0	9	12
q0790355	1	0	12	6	4	9	12	6	4	9
q1388467	1	0	11	3	8	9	11	3	8	9
q1380134	1	0	10	2	10	8	10	2	10	8
q1426958	1	1	14	5	3	11	14	5	3	11
q1388402	1	0	4	11	7	0	4	11	7	0
q1332285	1	0	9	11	2	5	9	11	2	5
q1378541	1	0	11	11	0	7	11	11	0	7
q1388378	1	0	7	2	13	6	7	2	13	6
q1446128	1	0	1	14	7	0	1	14	7	0
q1389829	1	0	8	3	11	6	8	3	11	6
q1442368	1	0	10	9	3	6	10	9	3	6
q1373336	1	0	11	4	7	9	11	4	7	9
q1442726	1	0	7	4	11	5	7	4	11	5
q1337385	1	1	15	3	4	13	15	3	4	13
q1321162	1	0	6	8	8	3	6	8	8	3
q1416766	1	0	6	6	10	4	6	6	10	4
q1359146	1	1	16	2	4	14	16	2	4	14
q1314977	1	1	12	2	8	10	12	2	8	10
q1389875	1	0	10	2	10	8	10	2	10	8
q1414258	1	1	18	1	3	16	18	1	3	16
q1201289	1	0	1	0	21	1	1	0	21	1
q1381055	1	0	7	5	10	5	7	5	10	5
q1402338	1	1	11	1	10	10	11	1	10	10
q1419137	1	0	4	2	16	3	4	2	16	3
q1344760	1	0	6	5	11	4	6	5	11	4
q1342493	1	0	6	2	14	5	6	2	14	5
q0110971	1	0	8	3	11	6	8	3	11	6
q1462374	1	1	14	6	2	11	14	6	2	11
q1385886	1	1	18	1	3	16	18	1	3	16
q1308311	1	1	18	3	1	15	18	3	1	15
q1427167	1	0	11	11	0	7	11	11	0	7
q1461583	1	1	13	4	5	11	13	4	5	11
q1385848	1	0	7	5	10	5	7	5	10	5
q0947379	1	0	9	2	11	8	9	2	11	8
q1378848	1	1	13	2	7	11	13	2	7	11
q1380447	1	0	8	14	0	3	8	14	0	3
q1417417	1	0	5	11	6	1	5	11	6	1
q1381979	1	1	20	1	1	18	20	1	1	18
q1381191	1	1	18	1	3	16	18	1	3	16
q1379047	1	1	15	7	0	12	15	7	0	12
q1278850	1	0	8	2	12	7	8	2	12	7
q1141769	1	1	16	3	3	14	16	3	3	14
q1421681	1	1	17	2	3	15	17	2	3	15
q1438824	1	0	12	5	5	9	12	5	5	9
q1396284	1	1	12	4	6	10	12	4	6	10
q1415906	1	1	18	0	4	16	18	0	4	16
q1417831	1	1	15	2	5	13	15	2	5	13
q1444444	1	0	8	1	13	7	8	1	13	7
q1431548	1	1	18	1	3	16	18	1	3	16
q1443945	1	0	6	5	11	4	6	5	11	4
q1382444	1	0	8	14	0	3	8	14	0	3
q1445097	1	0	9	7	6	6	9	7	6	6
q1462960	1	0	8	3	11	6	8	3	11	6
q1421267	1	1	18	0	4	16	18	0	4	16
q1374373	1	1	18	3	1	15	18	3	1	15
q1360716	1	0	7	10	5	3	7	10	5	3
q1426989	1	1	17	5	0	14	17	5	0	14
q1281195	1	1	18	3	1	15	18	3	1	15
q1387840	1	1	15	3	4	13	15	3	4	13
q1443110	1	1	16	5	1	13	16	5	1	13
q1140408	1	1	15	2	5	13	15	2	5	13
q1381172	1	1	13	4	5	11	13	4	5	11
q1307401	1	0	11	7	4	8	11	7	4	8
q1438402	1	1	15	1	6	13	15	1	6	13
q1444647	1	1	15	5	2	12	15	5	2	12
q1445828	1	1	16	1	5	14	16	1	5	14
q1399608	1	1	15	3	4	13	15	3	4	13
q1443794	1	0	11	11	0	7	11	11	0	7
q1418157	1	1	14	4	4	12	14	4	4	12
q1359594	1	0	9	8	5	6	9	8	5	6
q1417651	1	1	18	1	3	16	18	1	3	16
