key	value
aantalDeelnemers	151
totaalHoogsteScore	20
totaalLaagsteScore	0
totaalGemiddeldeScore	9.57615894039735
totaalMediaanScore	9
totaalAantalScore0	3
totaalAantalScore1	2
totaalAantalScore2	3
totaalAantalScore3	6
totaalAantalScore4	7
totaalAantalScore5	10
totaalAantalScore6	10
totaalAantalScore7	14
totaalAantalScore8	13
totaalAantalScore9	8
totaalAantalScore10	7
totaalAantalScore11	10
totaalAantalScore12	15
totaalAantalScore13	12
totaalAantalScore14	5
totaalAantalScore15	8
totaalAantalScore16	11
totaalAantalScore17	3
totaalAantalScore18	2
totaalAantalScore19	1
totaalAantalScore20	1
wiskundeHoogsteScore	20
wiskundeLaagsteScore	0
wiskundeGemiddeldeScore	9.57615894039735
wiskundeMediaanScore	9
wiskundeAantalScore0	3
wiskundeAantalScore1	2
wiskundeAantalScore2	3
wiskundeAantalScore3	6
wiskundeAantalScore4	7
wiskundeAantalScore5	10
wiskundeAantalScore6	10
wiskundeAantalScore7	14
wiskundeAantalScore8	13
wiskundeAantalScore9	8
wiskundeAantalScore10	7
wiskundeAantalScore11	10
wiskundeAantalScore12	15
wiskundeAantalScore13	12
wiskundeAantalScore14	5
wiskundeAantalScore15	8
wiskundeAantalScore16	11
wiskundeAantalScore17	3
wiskundeAantalScore18	2
wiskundeAantalScore19	1
wiskundeAantalScore20	1
vragenreeks1totaalHoogsteScore	20
vragenreeks1totaalLaagsteScore	0
vragenreeks1totaalGemiddeldeScore	9.57615894039735
vragenreeks1totaalMediaanScore	9
vragenreeks1totaalAantalScore0	3
vragenreeks1totaalAantalScore1	2
vragenreeks1totaalAantalScore2	3
vragenreeks1totaalAantalScore3	6
vragenreeks1totaalAantalScore4	7
vragenreeks1totaalAantalScore5	10
vragenreeks1totaalAantalScore6	10
vragenreeks1totaalAantalScore7	14
vragenreeks1totaalAantalScore8	13
vragenreeks1totaalAantalScore9	8
vragenreeks1totaalAantalScore10	7
vragenreeks1totaalAantalScore11	10
vragenreeks1totaalAantalScore12	15
vragenreeks1totaalAantalScore13	12
vragenreeks1totaalAantalScore14	5
vragenreeks1totaalAantalScore15	8
vragenreeks1totaalAantalScore16	11
vragenreeks1totaalAantalScore17	3
vragenreeks1totaalAantalScore18	2
vragenreeks1totaalAantalScore19	1
vragenreeks1totaalAantalScore20	1
vragenreeks1wiskundeHoogsteScore	20
vragenreeks1wiskundeLaagsteScore	0
vragenreeks1wiskundeGemiddeldeScore	9.57615894039735
vragenreeks1wiskundeMediaanScore	9
vragenreeks1wiskundeAantalScore0	3
vragenreeks1wiskundeAantalScore1	2
vragenreeks1wiskundeAantalScore2	3
vragenreeks1wiskundeAantalScore3	6
vragenreeks1wiskundeAantalScore4	7
vragenreeks1wiskundeAantalScore5	10
vragenreeks1wiskundeAantalScore6	10
vragenreeks1wiskundeAantalScore7	14
vragenreeks1wiskundeAantalScore8	13
vragenreeks1wiskundeAantalScore9	8
vragenreeks1wiskundeAantalScore10	7
vragenreeks1wiskundeAantalScore11	10
vragenreeks1wiskundeAantalScore12	15
vragenreeks1wiskundeAantalScore13	12
vragenreeks1wiskundeAantalScore14	5
vragenreeks1wiskundeAantalScore15	8
vragenreeks1wiskundeAantalScore16	11
vragenreeks1wiskundeAantalScore17	3
vragenreeks1wiskundeAantalScore18	2
vragenreeks1wiskundeAantalScore19	1
vragenreeks1wiskundeAantalScore20	1
