vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	D	151	117	18	3	9	4	117
2	C	151	131	2	3	15	131	0
3	B	151	99	31	2	99	6	13
4	B	151	110	3	28	110	9	1
5	D	151	107	16	4	8	16	107
6	A	151	67	51	67	12	21	0
7	D	151	77	21	9	25	19	77
8	A	151	133	4	133	3	6	5
9	C	151	76	64	4	1	76	6
10	D	151	89	15	7	26	14	89
11	B	151	94	28	5	94	15	9
12	A	151	58	66	58	9	8	10
13	C	151	58	77	6	9	58	1
14	D	151	93	29	4	4	21	93
15	C	151	99	19	6	13	99	14
16	A	151	33	99	33	5	10	4
17	B	151	47	84	7	47	10	3
18	D	151	72	69	3	1	6	72
19	D	151	49	62	7	19	14	49
20	C	151	49	49	22	24	49	7
21	B	151	76	13	21	76	14	27
22	D	151	72	31	4	31	13	72
