feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
20bi61764	1	C	C	X	D	D	C	C	D	D	D	C	B	A	D	B	B	C	C	B	X	C	C
20bi88885	1	A	C	D	D	B	C	D	C	A	C	A	C	C	D	D	D	C	C	D	C	A	X
20bi89760	1	D	D	A	D	D	C	D	A	A	D	D	B	A	D	B	C	C	C	B	C	A	D
20bi84132	1	D	D	A	D	D	B	D	A	A	B	A	B	D	X	B	C	X	D	B	C	B	C
20bi69182	1	C	C	X	C	B	C	D	A	A	A	X	B	B	X	B	D	C	C	A	X	D	B
20bi99591	1	D	D	A	D	D	C	C	A	A	A	X	A	D	D	B	C	C	C	B	C	B	D
20bi49461	1	D	D	A	D	X	B	D	A	A	D	C	B	A	D	B	C	D	C	B	C	X	C
20bi16857	1	D	D	A	D	D	B	D	A	A	D	C	B	A	D	B	C	D	C	B	C	A	C
20bi85009	1	D	D	A	D	D	B	D	A	A	D	C	B	A	D	B	C	C	C	B	C	A	C
20bi66096	1	D	D	A	D	D	B	D	C	X	D	A	X	A	D	B	D	C	C	C	C	D	X
20bi26124	1	D	D	A	X	D	B	D	A	X	D	C	B	A	D	B	D	C	C	B	C	A	X
20bi44270	1	D	D	A	D	D	B	D	A	A	D	C	B	D	A	B	C	D	C	B	C	A	D
20bi32484	1	X	A	A	X	D	B	D	A	A	A	A	A	C	D	D	B	X	C	B	X	B	X
20bi46978	1	X	A	A	D	D	B	D	A	D	A	C	A	A	D	D	B	X	B	X	C	A	C
20bi69249	1	D	D	A	X	D	C	D	A	A	D	X	X	A	D	B	A	C	C	B	C	B	D
20bi49051	1	D	D	A	D	D	D	C	A	A	D	C	B	A	D	B	C	C	C	B	C	A	A
20bi65024	1	D	D	D	D	X	A	D	A	A	A	C	B	A	B	B	D	X	C	B	C	B	C
20bi20836	1	D	B	A	D	X	A	D	A	A	A	C	B	A	B	B	C	C	C	A	C	A	C
20bi57170	1	D	D	A	D	D	D	D	B	X	D	C	B	D	D	D	D	C	C	B	X	A	D
20bi71305	1	D	D	A	D	C	B	D	B	A	A	C	D	A	D	B	A	C	C	C	C	A	C
20bi45678	1	D	C	B	X	D	A	D	A	A	A	C	B	D	B	A	C	X	A	B	X	B	C
20bi66861	1	C	X	C	A	X	C	B	X	B	A	C	X	D	A	X	D	B	C	X	X	D	D
20bi27361	1	D	D	A	X	D	C	D	A	X	B	X	X	B	D	B	B	X	C	D	X	B	X
20bi83560	1	D	D	A	D	X	X	C	A	A	D	C	B	A	C	B	C	C	C	B	C	A	C
20bi77233	1	D	C	A	X	D	C	D	A	A	D	A	A	D	D	B	C	C	B	X	X	A	X
20bi42616	1	D	D	D	D	D	B	D	B	B	D	C	B	C	A	A	C	C	C	B	X	A	C
20bi71576	1	D	D	A	D	D	B	D	A	A	D	C	B	A	D	B	C	D	C	B	C	A	C
20bi35304	1	D	X	X	B	C	C	D	X	A	D	D	B	B	C	A	D	X	C	X	B	B	A
20bi63512	1	D	D	A	D	D	B	D	A	A	D	C	X	A	D	B	C	C	C	B	C	A	C
20bi28292	1	C	D	A	D	X	B	D	A	A	A	D	B	X	D	B	B	D	C	B	C	A	X
