feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	chemie_fysicaJuist	chemie_fysicaFout	chemie_fysicaBlanco	chemie_fysicaScore	chemie_fysicaGroep
20bi61764	1	0	12	8	2	8	<10	6	8	2	3	<6	6	0	0	6	>=5
20bi88885	1	0	8	13	1	3	<10	7	9	0	4	<6	1	4	1	0	<3
20bi89760	1	1	19	3	0	16	>=14	15	1	0	15	>=12	4	2	0	3	3-4
20bi84132	1	1	15	5	2	12	10-13	13	2	1	12	>=12	2	3	1	1	<3
20bi69182	1	0	7	11	4	3	<10	6	8	2	3	<6	1	3	2	0	<3
20bi99591	1	1	14	7	1	11	10-13	13	3	0	12	>=12	1	4	1	0	<3
20bi49461	1	1	19	1	2	17	>=14	13	1	2	13	>=12	6	0	0	6	>=5
20bi16857	1	1	21	1	0	19	>=14	15	1	0	15	>=12	6	0	0	6	>=5
20bi85009	1	1	22	0	0	20	>=14	16	0	0	16	>=12	6	0	0	6	>=5
20bi66096	1	1	14	5	3	11	10-13	11	4	1	10	6-11	3	1	2	3	3-4
20bi26124	1	1	18	1	3	16	>=14	13	1	2	13	>=12	5	0	1	5	>=5
20bi44270	1	1	18	4	0	15	>=14	15	1	0	15	>=12	3	3	0	2	<3
20bi32484	1	0	9	8	5	6	<10	8	4	4	7	6-11	1	4	1	0	<3
20bi46978	1	0	12	7	3	9	<10	8	5	3	6	6-11	4	2	0	3	3-4
20bi69249	1	1	15	4	3	12	10-13	12	3	1	11	6-11	3	1	2	3	3-4
20bi49051	1	1	19	3	0	16	>=14	14	2	0	13	>=12	5	1	0	5	>=5
20bi65024	1	1	14	6	2	11	10-13	10	4	2	9	6-11	4	2	0	3	3-4
20bi20836	1	1	16	5	1	13	10-13	12	3	1	11	6-11	4	2	0	3	3-4
20bi57170	1	1	14	6	2	11	10-13	10	4	2	9	6-11	4	2	0	3	3-4
20bi71305	1	1	16	6	0	13	10-13	12	4	0	11	6-11	4	2	0	3	3-4
20bi45678	1	0	10	9	3	6	<10	7	6	3	5	<6	3	3	0	2	<3
20bi66861	1	0	2	13	7	0	<10	1	9	6	0	<6	1	4	1	0	<3
20bi27361	1	0	9	6	7	6	<10	8	4	4	7	6-11	1	2	3	0	<3
20bi83560	1	1	18	2	2	16	>=14	13	1	2	13	>=12	5	1	0	5	>=5
20bi77233	1	0	12	6	4	9	<10	10	3	3	9	6-11	2	3	1	1	<3
20bi42616	1	1	15	6	1	12	10-13	11	4	1	10	6-11	4	2	0	3	3-4
20bi71576	1	1	21	1	0	19	>=14	15	1	0	15	>=12	6	0	0	6	>=5
20bi35304	1	0	6	11	5	2	<10	4	7	5	2	<6	2	4	0	1	<3
20bi63512	1	1	21	0	1	19	>=14	16	0	0	16	>=12	5	0	1	5	>=5
20bi28292	1	1	14	5	3	11	10-13	12	3	1	11	6-11	2	2	2	1	<3
20bi22372	1	1	19	1	2	17	>=14	13	1	2	13	>=12	6	0	0	6	>=5
20bi67076	1	1	14	8	0	10	10-13	12	4	0	11	6-11	2	4	0	1	<3
20bi50623	1	1	17	5	0	14	>=14	12	4	0	11	6-11	5	1	0	5	>=5
20bi62118	1	1	18	4	0	15	>=14	12	4	0	11	6-11	6	0	0	6	>=5
20bi51059	1	1	19	2	1	17	>=14	16	0	0	16	>=12	3	2	1	2	<3
20bi40787	1	1	17	2	3	15	>=14	13	2	1	12	>=12	4	0	2	4	3-4
20bi22239	1	0	12	6	4	9	<10	7	5	4	5	<6	5	1	0	5	>=5
20bi73223	1	0	9	9	4	5	<10	7	6	3	5	<6	2	3	1	1	<3
20bi44547	1	1	18	0	4	16	>=14	12	0	4	12	>=12	6	0	0	6	>=5
20bi20800	1	1	18	0	4	16	>=14	14	0	2	14	>=12	4	0	2	4	3-4
20bi55298	1	1	22	0	0	20	>=14	16	0	0	16	>=12	6	0	0	6	>=5
20bi38843	1	1	17	4	1	14	>=14	11	4	1	10	6-11	6	0	0	6	>=5
20bi19244	1	1	14	3	5	12	10-13	11	1	4	11	6-11	3	2	1	2	<3
20bi83469	1	1	16	5	1	13	10-13	12	3	1	11	6-11	4	2	0	3	3-4
20bi71645	1	1	20	2	0	18	>=14	14	2	0	13	>=12	6	0	0	6	>=5
20bi61289	1	0	10	4	8	8	<10	7	3	6	6	6-11	3	1	2	3	3-4
20bi99091	1	1	13	1	8	12	10-13	13	0	3	13	>=12	0	1	5	0	<3
