key	value
aantalDeelnemers	480
totaalHoogsteScore	20
totaalLaagsteScore	0
totaalGemiddeldeScore	14.13
totaalMediaanScore	15
totaalAantalScore0	1
totaalAantalScore1	1
totaalAantalScore2	3
totaalAantalScore3	5
totaalAantalScore4	6
totaalAantalScore5	6
totaalAantalScore6	8
totaalAantalScore7	9
totaalAantalScore8	20
totaalAantalScore9	21
totaalAantalScore10	19
totaalAantalScore11	18
totaalAantalScore12	38
totaalAantalScore13	31
totaalAantalScore14	30
totaalAantalScore15	47
totaalAantalScore16	52
totaalAantalScore17	38
totaalAantalScore18	48
totaalAantalScore19	46
totaalAantalScore20	33
wiskundeHoogsteScore	16
wiskundeLaagsteScore	0
wiskundeGemiddeldeScore	11.86
wiskundeMediaanScore	12
wiskundeAantalScore0	1
wiskundeAantalScore1	1
wiskundeAantalScore2	5
wiskundeAantalScore3	6
wiskundeAantalScore4	9
wiskundeAantalScore5	10
wiskundeAantalScore6	7
wiskundeAantalScore7	21
wiskundeAantalScore8	18
wiskundeAantalScore9	27
wiskundeAantalScore10	37
wiskundeAantalScore11	45
wiskundeAantalScore12	54
wiskundeAantalScore13	55
wiskundeAantalScore14	41
wiskundeAantalScore15	88
wiskundeAantalScore16	55
chemie_fysicaHoogsteScore	6
chemie_fysicaLaagsteScore	0
chemie_fysicaGemiddeldeScore	3.76
chemie_fysicaMediaanScore	4
chemie_fysicaAantalScore0	31
chemie_fysicaAantalScore1	43
chemie_fysicaAantalScore2	65
chemie_fysicaAantalScore3	77
chemie_fysicaAantalScore4	38
chemie_fysicaAantalScore5	108
chemie_fysicaAantalScore6	118
