vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	D	480	375	78	43	8	14	14	34	375
2	D	480	395	82	20	4	20	4	41	395
3	A	480	396	82	28	5	396	22	9	25
4	D	480	400	83	52	10	13	8	7	400
5	D	480	351	73	84	17	11	17	17	351
6	B	480	285	59	50	10	13	285	88	44
7	D	480	457	95	0	0	2	7	14	457
8	A	480	427	89	20	4	427	16	6	11
9	A	480	368	77	69	14	368	24	6	13
10	D	480	285	59	36	7	99	43	17	285
11	C	480	328	68	69	14	37	17	328	29
12	B	480	305	64	95	19	68	305	6	6
13	A	480	333	69	49	10	333	30	43	25
14	D	480	360	75	29	6	35	43	13	360
15	B	480	386	80	34	7	34	386	2	24
16	C	480	374	78	9	1	20	22	374	55
17	C	480	335	70	66	13	9	7	335	63
18	C	480	434	90	8	1	5	24	434	9
19	B	480	406	85	22	4	33	406	11	8
20	C	480	346	72	84	17	43	6	346	1
21	A	480	282	59	21	4	282	169	2	6
22	C	480	346	72	75	15	15	6	346	38
