ijkID	feedbackCode
33946	20bi85009
33947	20bi85914
33948	20bi53184
33949	20bi19789
33951	20bi44547
33952	20bi22352
33953	20bi36581
33954	20bi38995
33955	20bi99591
33956	20bi54570
33957	20bi67476
33958	20bi52525
33959	20bi68559
33960	20bi86347
33961	20bi69886
33963	20bi90339
33964	20bi51908
33966	20bi46198
33969	20bi36432
33972	20bi69237
33973	20bi68892
33975	20bi48422
33976	20bi13022
33977	20bi63757
33978	20bi21853
33979	20bi82378
33980	20bi80721
33982	20bi96862
33983	20bi48465
33986	20bi73333
33988	20bi24350
33991	20bi40005
33992	20bi66688
34730	20bi20669
33994	20bi61206
33995	20bi63791
33996	20bi92291
33997	20bi57670
33999	20bi77252
34003	20bi59752
34004	20bi22516
34006	20bi11636
34007	20bi16723
34010	20bi45678
34011	20bi28255
34012	20bi25222
34013	20bi91916
34015	20bi69857
34016	20bi96471
34017	20bi91483
34018	20bi66096
34019	20bi89747
34020	20bi86656
34023	20bi32281
34024	20bi98271
34025	20bi11467
34026	20bi48615
34027	20bi39155
34028	20bi17653
34032	20bi20855
34034	20bi62084
34035	20bi35971
34036	20bi66767
34038	20bi53804
34732	20bi62750
34040	20bi24257
34041	20bi89140
34044	20bi13867
34045	20bi10378
34047	20bi94757
34048	20bi22002
34049	20bi49842
34050	20bi68086
34051	20bi31047
34052	20bi72469
34053	20bi62595
34054	20bi58891
34056	20bi98803
34057	20bi87469
34060	20bi15119
34061	20bi68489
34062	20bi19832
34063	20bi90568
34065	20bi21548
34067	20bi22372
34069	20bi19680
34070	20bi20142
34071	20bi61370
34073	20bi92685
34074	20bi36099
34075	20bi72662
34077	20bi77153
34078	20bi59170
34079	20bi96611
34081	20bi11420
34082	20bi86788
34083	20bi17030
34084	20bi95592
34085	20bi71059
34087	20bi16841
34089	20bi47803
34090	20bi46998
34091	20bi46978
34092	20bi28409
34094	20bi49355
34096	20bi81930
34098	20bi87366
34101	20bi52324
34104	20bi88119
34106	20bi75036
34734	20bi68822
34108	20bi89135
34735	20bi82322
34111	20bi25030
34112	20bi20836
34113	20bi41752
34114	20bi86635
34115	20bi17780
34116	20bi68051
34117	20bi98908
34118	20bi75997
34121	20bi96877
34122	20bi33003
34123	20bi17710
34127	20bi17633
34131	20bi73210
34132	20bi77224
34133	20bi81611
34134	20bi21433
34135	20bi61689
34137	20bi40826
34138	20bi66557
34139	20bi67445
34140	20bi36230
34142	20bi52882
34145	20bi57538
34146	20bi74157
34147	20bi70587
34149	20bi46694
34151	20bi52663
34153	20bi99091
34154	20bi10191
34737	20bi20137
34155	20bi25879
34156	20bi89149
34158	20bi82676
34159	20bi99106
34161	20bi87624
34162	20bi19810
34164	20bi15376
34165	20bi96470
34167	20bi85326
34168	20bi50001
34169	20bi49141
34171	20bi12663
34172	20bi23340
34738	20bi65024
34175	20bi62178
34176	20bi34345
34177	20bi46370
34180	20bi15833
34181	20bi21073
34182	20bi82887
34183	20bi45353
34184	20bi29366
34188	20bi15899
34189	20bi35932
34191	20bi79652
34192	20bi59491
34193	20bi87774
34194	20bi13448
34195	20bi83469
34196	20bi76108
34197	20bi27288
34198	20bi16857
34202	20bi40787
34203	20bi73537
34204	20bi64980
34205	20bi42807
34210	20bi83183
34212	20bi12477
34213	20bi46822
34214	20bi83560
34218	20bi31632
34219	20bi48530
34220	20bi38075
34222	20bi88885
34223	20bi36665
34742	20bi76609
34225	20bi62974
34229	20bi26528
34231	20bi55459
34232	20bi67187
34233	20bi16701
34234	20bi69724
34236	20bi84555
34237	20bi75726
34238	20bi69430
34239	20bi21168
34240	20bi86355
34241	20bi70653
34242	20bi13469
34243	20bi50019
34244	20bi36791
34245	20bi22342
34246	20bi38423
34248	20bi60510
34250	20bi67296
34251	20bi34810
34252	20bi55301
34254	20bi96861
34255	20bi47021
34258	20bi55215
34259	20bi73521
34745	20bi26204
34260	20bi35090
34261	20bi35290
34262	20bi18782
34264	20bi21250
34266	20bi17900
34268	20bi58006
34270	20bi94484
34746	20bi24535
34747	20bi77536
34273	20bi82596
34274	20bi68793
34749	20bi22625
34276	20bi32518
34277	20bi95917
34279	20bi18286
34280	20bi82242
34282	20bi70727
34283	20bi86006
34284	20bi24969
34285	20bi41293
34287	20bi90010
34291	20bi65088
34292	20bi48170
34293	20bi86279
34295	20bi61289
34296	20bi36059
34297	20bi16827
34299	20bi95619
34751	20bi75010
34300	20bi82934
34301	20bi80395
34303	20bi63512
34304	20bi99648
34306	20bi37930
34308	20bi22239
34309	20bi91970
34310	20bi38083
34311	20bi44535
34313	20bi37896
34314	20bi55960
34317	20bi96266
34320	20bi60916
34321	20bi89760
34323	20bi54231
34326	20bi86668
34327	20bi39416
34329	20bi51710
34331	20bi70063
34332	20bi32091
34335	20bi12851
34340	20bi84379
34342	20bi61505
34343	20bi54990
34345	20bi10051
34754	20bi55900
34348	20bi86569
34350	20bi42062
34351	20bi63310
34353	20bi26183
34355	20bi19770
34755	20bi75956
34757	20bi22646
34357	20bi67318
34358	20bi15539
34758	20bi53363
34359	20bi79706
34360	20bi90706
34361	20bi27976
34362	20bi19083
34363	20bi24887
34364	20bi71576
34365	20bi15374
34366	20bi70993
34759	20bi44819
34367	20bi50694
34370	20bi98195
34760	20bi61045
34371	20bi14078
34372	20bi95748
34373	20bi77872
34374	20bi77942
34375	20bi28777
34376	20bi66861
34378	20bi16166
34379	20bi27844
34380	20bi38843
