key	value
aantalDeelnemers	480
totaalHoogsteScore	20
totaalLaagsteScore	0
totaalGemiddeldeScore	14.133333333333333
totaalMediaanScore	15
totaalAantalScore0	1
totaalAantalScore1	1
totaalAantalScore2	3
totaalAantalScore3	5
totaalAantalScore4	6
totaalAantalScore5	6
totaalAantalScore6	8
totaalAantalScore7	9
totaalAantalScore8	20
totaalAantalScore9	21
totaalAantalScore10	19
totaalAantalScore11	18
totaalAantalScore12	38
totaalAantalScore13	31
totaalAantalScore14	30
totaalAantalScore15	47
totaalAantalScore16	52
totaalAantalScore17	38
totaalAantalScore18	48
totaalAantalScore19	46
totaalAantalScore20	33
wiskundeHoogsteScore	16
wiskundeLaagsteScore	0
wiskundeGemiddeldeScore	11.860416666666667
wiskundeMediaanScore	12
wiskundeAantalScore0	1
wiskundeAantalScore1	1
wiskundeAantalScore2	5
wiskundeAantalScore3	6
wiskundeAantalScore4	9
wiskundeAantalScore5	10
wiskundeAantalScore6	7
wiskundeAantalScore7	21
wiskundeAantalScore8	18
wiskundeAantalScore9	27
wiskundeAantalScore10	37
wiskundeAantalScore11	45
wiskundeAantalScore12	54
wiskundeAantalScore13	55
wiskundeAantalScore14	41
wiskundeAantalScore15	88
wiskundeAantalScore16	55
chemie_fysicaHoogsteScore	6
chemie_fysicaLaagsteScore	0
chemie_fysicaGemiddeldeScore	3.7583333333333333
chemie_fysicaMediaanScore	4
chemie_fysicaAantalScore0	31
chemie_fysicaAantalScore1	43
chemie_fysicaAantalScore2	65
chemie_fysicaAantalScore3	77
chemie_fysicaAantalScore4	38
chemie_fysicaAantalScore5	108
chemie_fysicaAantalScore6	118
vragenreeks1totaalHoogsteScore	20
vragenreeks1totaalLaagsteScore	0
vragenreeks1totaalGemiddeldeScore	14.133333333333333
vragenreeks1totaalMediaanScore	15
vragenreeks1totaalAantalScore0	1
vragenreeks1totaalAantalScore1	1
vragenreeks1totaalAantalScore2	3
vragenreeks1totaalAantalScore3	5
vragenreeks1totaalAantalScore4	6
vragenreeks1totaalAantalScore5	6
vragenreeks1totaalAantalScore6	8
vragenreeks1totaalAantalScore7	9
vragenreeks1totaalAantalScore8	20
vragenreeks1totaalAantalScore9	21
vragenreeks1totaalAantalScore10	19
vragenreeks1totaalAantalScore11	18
vragenreeks1totaalAantalScore12	38
vragenreeks1totaalAantalScore13	31
vragenreeks1totaalAantalScore14	30
vragenreeks1totaalAantalScore15	47
vragenreeks1totaalAantalScore16	52
vragenreeks1totaalAantalScore17	38
vragenreeks1totaalAantalScore18	48
vragenreeks1totaalAantalScore19	46
vragenreeks1totaalAantalScore20	33
vragenreeks1wiskundeHoogsteScore	16
vragenreeks1wiskundeLaagsteScore	0
vragenreeks1wiskundeGemiddeldeScore	11.860416666666667
vragenreeks1wiskundeMediaanScore	12
vragenreeks1wiskundeAantalScore0	1
vragenreeks1wiskundeAantalScore1	1
vragenreeks1wiskundeAantalScore2	5
vragenreeks1wiskundeAantalScore3	6
vragenreeks1wiskundeAantalScore4	9
vragenreeks1wiskundeAantalScore5	10
vragenreeks1wiskundeAantalScore6	7
vragenreeks1wiskundeAantalScore7	21
vragenreeks1wiskundeAantalScore8	18
vragenreeks1wiskundeAantalScore9	27
vragenreeks1wiskundeAantalScore10	37
vragenreeks1wiskundeAantalScore11	45
vragenreeks1wiskundeAantalScore12	54
vragenreeks1wiskundeAantalScore13	55
vragenreeks1wiskundeAantalScore14	41
vragenreeks1wiskundeAantalScore15	88
vragenreeks1wiskundeAantalScore16	55
vragenreeks1chemie_fysicaHoogsteScore	6
vragenreeks1chemie_fysicaLaagsteScore	0
vragenreeks1chemie_fysicaGemiddeldeScore	3.7583333333333333
vragenreeks1chemie_fysicaMediaanScore	4
vragenreeks1chemie_fysicaAantalScore0	31
vragenreeks1chemie_fysicaAantalScore1	43
vragenreeks1chemie_fysicaAantalScore2	65
vragenreeks1chemie_fysicaAantalScore3	77
vragenreeks1chemie_fysicaAantalScore4	38
vragenreeks1chemie_fysicaAantalScore5	108
vragenreeks1chemie_fysicaAantalScore6	118
