Alle studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,33946,bi1590991636mrFnEbR3Ixyt0HIQUPdLmqNFbkmul9,20,A,20,,,,20,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33947,bi1590998082roPiQccn2ryCT0Rb65qvgtXUa6C3gW,20,A,10,,,,2,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33948,bi1590998992BhCfSe88ItwTCWvAHNC95Jozuzn7Vn,20,A,15,,,,7,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33949,bi1591001853tEXXL9kPnZdox5f90lSq4F2TobkM2f,20,A,19,,,,20,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33951,bi1591003702fnloeASELhjgIPLbJG8DAUnEncJajp,20,A,16,,,,20,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33952,bi1591003820uGnRQvi0GKTuWoeUFHGPDEl2H5x9ez,20,A,16,,,,9,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33953,bi159100583238LpqO2GUEeKjOMdUhwiBXt8M8E1FZ,20,A,20,,,,20,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33954,bi1591006574ASeDprpNDi7bqszVfBfrEwpTUfW1Hk,20,B,2,,,,-1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33955,bi1591006587uaCJ7Z1BvYzYA1D5mW6zdZMpOD2DRN,20,A,11,,,,-1,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33956,bi1591008229lcopUK835xGB0s6FUGPBI411xTSB7H,20,A,15,,,,13,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33957,bi1591008434bcZuLUA0vZNNSPgT56lNS4dRWbKb8q,20,A,16,,,,11,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33958,bi1591008526wrVsk3euhWbZVOazaZVW4Zvh4fMhkX,20,B,5,,,,7,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33959,bi1591008806RJ2FI3oGOxVNMpCQdpcYOfBVaBiqNf,20,A,16,,,,20,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33960,bi15910089874FwQrqo4bvKA3WeSLa4AMc7YQCi9sp,20,A,15,,,,9,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33961,bi1591011152BrOGrNCVBh7uuARTGt8WI358ofAR4Z,20,B,8,,,,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33963,bi1591013445YFdavtVoy1R9nbM5ODaaBgaGldY7MF,20,A,16,,,,16,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33964,bi1591014100kSqyP60SZzBybVSEcth3JSMe9TFVob,20,A,14,,,,7,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33966,bi1591017881hJFidNAuD338LYmgGvda8d0BVasWu0,20,A,11,,,,6,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33969,bi1591022461J424pIGVMOk6DyMOHSVVjkdH4yBLtS,20,A,18,,,,17,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33973,bi1591025221ee4bDFqZE46GZHPgRp1wTOiWOVobhW,20,B,6,,,,2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33975,bi1591028248Liumd5eMQgRGOZbeVt4UW3T9tgjS2v,20,A,18,,,,16,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33976,bi1591028841RQia5K8lr29oAMni8Az7FywCXBes51,20,A,20,,,,20,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33977,bi159102914523BZKyfOD970FOYipMr8SEHeLIhf6e,20,A,18,,,,16,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33978,bi1591032622kIb8M0Kmj3mRRPhZP0R5m1VpskgAPy,20,A,20,,,,20,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33979,bi1591033126xApRp0mij6SRqrX2Lgjk78kyCdEmzp,20,A,19,,,,20,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
