feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
20ww44619	1	D	C	B	B	A	B	D	A	C	B	B	X	C	D	C	X	X	D	A	X	D	X
20ww52437	1	D	C	X	B	D	A	D	A	X	B	B	A	C	X	C	X	X	D	X	B	D	X
20ww69996	1	D	C	B	A	D	A	D	A	C	D	B	A	C	D	C	A	A	D	D	C	B	D
20ww95084	1	A	D	D	B	C	A	D	A	C	C	B	D	C	D	B	C	C	D	B	B	B	B
20ww85914	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	C	B	C	C	B	B
20ww67531	1	D	C	B	A	C	D	B	A	X	C	D	A	C	D	B	A	C	D	A	C	B	B
20ww64626	1	D	C	D	B	C	C	C	A	C	B	B	A	B	C	D	C	D	B	B	A	B	C
20ww22024	1	X	C	C	B	D	A	D	A	C	B	X	D	C	C	C	C	C	X	A	X	C	D
20ww89224	1	D	C	X	B	D	X	X	A	X	D	B	X	C	X	C	X	A	X	A	A	B	X
20ww52613	1	D	C	C	B	D	A	C	A	C	D	B	A	C	D	C	C	D	D	D	A	B	B
20ww16718	1	D	C	B	B	D	C	D	B	C	D	B	A	B	B	X	X	X	D	C	X	B	X
20ww36123	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	C	A	D
20ww63362	1	D	C	B	B	D	B	B	A	A	D	B	X	X	D	C	X	X	X	D	X	D	D
20ww73565	1	D	C	B	B	D	C	D	A	C	D	B	X	C	C	C	X	B	D	D	X	D	D
20ww78959	1	D	C	D	B	D	C	B	A	D	B	B	C	B	B	C	B	C	D	C	A	B	A
20ww39656	1	D	C	B	A	D	A	D	A	C	D	B	D	A	C	C	A	D	D	D	A	B	B
20ww26143	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	D	X	B	D	X	C	D	B
20ww30292	1	D	C	B	B	D	A	D	A	C	D	A	D	A	D	X	A	A	X	D	B	A	D
20ww25157	1	D	C	B	A	D	C	D	A	C	D	B	A	C	D	C	X	B	D	A	A	D	C
20ww97792	1	B	C	B	B	D	X	D	A	C	D	B	X	C	D	X	X	B	X	D	X	C	D
20ww74842	1	D	C	X	B	D	A	D	A	C	D	B	A	X	X	X	A	B	D	B	C	A	D
20ww96334	1	D	C	B	A	D	C	C	A	A	D	C	A	A	C	D	B	A	D	B	C	B	A
20ww91016	1	D	B	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	C	B	D
20ww60369	1	D	C	D	B	C	A	B	A	C	B	A	D	D	C	B	A	C	D	D	B	C	A
20ww98116	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	B	D	D
20ww63881	1	B	B	D	B	C	B	A	A	B	D	A	B	C	B	D	B	A	D	B	B	A	A
20ww65457	1	D	C	B	B	D	A	D	A	X	X	B	B	X	X	C	A	B	D	C	B	B	B
20ww53665	1	D	C	B	B	A	B	A	A	C	B	X	A	C	D	C	X	X	D	D	A	A	A
20ww94513	1	D	C	B	A	D	A	D	A	D	D	B	A	C	A	C	X	B	D	C	D	B	A
20ww71157	1	D	C	D	B	C	A	B	A	D	D	B	C	B	B	C	B	B	B	D	A	B	A
20ww72264	1	D	C	B	B	D	A	D	A	C	D	C	A	X	B	B	X	C	C	B	X	C	X
20ww21135	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	C	B	D
20ww48842	1	A	C	D	B	D	A	D	A	B	D	B	C	C	D	C	B	B	C	C	D	A	D
20ww38459	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	B	D	D
20ww89342	1	D	B	X	B	D	X	C	A	X	D	B	X	X	D	C	X	X	D	B	C	B	B
20ww60252	1	D	C	B	B	D	A	D	A	X	B	B	A	X	D	C	X	B	D	A	X	B	D
20ww70221	1	D	C	B	B	D	A	D	A	X	D	B	A	X	D	C	X	B	D	D	C	B	D
20ww67571	1	B	C	B	B	D	X	D	A	A	C	B	X	X	C	C	X	B	D	C	C	B	X
20ww45353	1	D	C	B	A	D	A	D	A	X	B	B	A	C	A	D	X	B	D	D	X	D	D
20ww43998	1	D	C	B	B	A	C	D	A	C	B	C	A	D	B	C	C	B	D	B	C	B	D
20ww58260	1	D	C	B	C	B	A	D	A	X	D	B	A	C	D	C	A	B	D	D	A	B	D
20ww24713	1	X	X	B	C	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
20ww76723	1	D	C	X	B	D	A	D	A	C	X	B	X	C	D	C	X	B	D	D	A	B	B
20ww57476	1	D	C	B	B	C	C	D	A	B	D	B	D	C	D	C	C	C	D	C	C	A	B
20ww88784	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	C	D	D
20ww78504	1	A	B	X	B	D	C	C	A	C	D	X	X	C	D	B	X	B	X	C	A	D	B
20ww83300	1	D	C	B	B	D	A	D	A	C	D	C	A	C	D	X	X	B	D	X	X	D	D
20ww75447	1	D	C	D	B	X	X	X	A	D	D	X	X	B	X	X	X	X	D	C	A	B	C
20ww48259	1	D	C	X	B	X	X	X	A	C	X	X	X	X	X	C	X	X	X	D	C	C	D
20ww57609	1	D	C	B	B	D	A	D	A	C	B	B	A	D	D	A	A	D	D	D	C	B	D
