feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep
20ww44619	1	0	12	5	5	9	8-12	12	5	5	9	8-12
20ww52437	1	1	12	3	7	10	8-12	12	3	7	10	8-12
20ww69996	1	1	20	2	0	18	>=13	20	2	0	18	>=13
20ww95084	1	0	10	12	0	5	<8	10	12	0	5	<8
20ww85914	1	1	18	4	0	15	>=13	18	4	0	15	>=13
20ww67531	1	0	11	10	1	7	<8	11	10	1	7	<8
20ww64626	1	0	8	14	0	3	<8	8	14	0	3	<8
20ww22024	1	0	10	8	4	7	<8	10	8	4	7	<8
20ww89224	1	0	10	3	9	8	8-12	10	3	9	8	8-12
20ww52613	1	1	16	6	0	13	>=13	16	6	0	13	>=13
20ww16718	1	0	12	5	5	9	8-12	12	5	5	9	8-12
20ww36123	1	1	21	1	0	19	>=13	21	1	0	19	>=13
20ww63362	1	1	12	4	6	10	8-12	12	4	6	10	8-12
20ww73565	1	1	16	3	3	14	>=13	16	3	3	14	>=13
20ww78959	1	0	9	13	0	4	<8	9	13	0	4	<8
20ww39656	1	1	15	7	0	12	8-12	15	7	0	12	8-12
20ww26143	1	1	17	3	2	15	>=13	17	3	2	15	>=13
20ww30292	1	1	14	6	2	11	8-12	14	6	2	11	8-12
20ww25157	1	1	15	6	1	12	8-12	15	6	1	12	8-12
20ww97792	1	1	14	2	6	12	8-12	14	2	6	12	8-12
20ww74842	1	1	16	2	4	14	>=13	16	2	4	14	>=13
20ww96334	1	0	10	12	0	5	<8	10	12	0	5	<8
20ww91016	1	1	21	1	0	19	>=13	21	1	0	19	>=13
20ww60369	1	0	9	13	0	4	<8	9	13	0	4	<8
20ww98116	1	1	20	2	0	18	>=13	20	2	0	18	>=13
20ww63881	1	0	5	17	0	0	<8	5	17	0	0	<8
20ww65457	1	1	14	4	4	12	8-12	14	4	4	12	8-12
20ww53665	1	0	12	7	3	9	8-12	12	7	3	9	8-12
20ww94513	1	1	15	6	1	12	8-12	15	6	1	12	8-12
20ww71157	1	0	11	11	0	7	<8	11	11	0	7	<8
20ww72264	1	0	11	7	4	8	8-12	11	7	4	8	8-12
20ww21135	1	1	22	0	0	20	>=13	22	0	0	20	>=13
20ww48842	1	0	13	9	0	9	8-12	13	9	0	9	8-12
20ww38459	1	1	20	2	0	18	>=13	20	2	0	18	>=13
20ww89342	1	0	11	4	7	9	8-12	11	4	7	9	8-12
20ww60252	1	1	16	2	4	14	>=13	16	2	4	14	>=13
20ww70221	1	1	19	0	3	17	>=13	19	0	3	17	>=13
20ww67571	1	0	12	5	5	9	8-12	12	5	5	9	8-12
20ww45353	1	1	14	5	3	11	8-12	14	5	3	11	8-12
20ww43998	1	1	14	8	0	10	8-12	14	8	0	10	8-12
20ww58260	1	1	18	3	1	15	>=13	18	3	1	15	>=13
20ww24713	1	0	1	1	20	1	<8	1	1	20	1	<8
20ww76723	1	1	16	2	4	14	>=13	16	2	4	14	>=13
20ww57476	1	0	13	9	0	9	8-12	13	9	0	9	8-12
20ww88784	1	1	21	1	0	19	>=13	21	1	0	19	>=13
20ww78504	1	0	8	9	5	5	<8	8	9	5	5	<8
20ww83300	1	1	16	2	4	14	>=13	16	2	4	14	>=13
20ww75447	1	0	7	6	9	5	<8	7	6	9	5	<8
20ww48259	1	0	9	1	12	8	8-12	9	1	12	8	8-12
20ww57609	1	1	18	4	0	15	>=13	18	4	0	15	>=13
20ww96396	1	1	12	3	7	10	8-12	12	3	7	10	8-12
20ww85372	1	1	19	3	0	16	>=13	19	3	0	16	>=13
20ww24170	1	0	10	6	6	7	<8	10	6	6	7	<8
20ww59121	1	0	11	10	1	7	<8	11	10	1	7	<8
20ww28061	1	1	15	5	2	12	8-12	15	5	2	12	8-12
20ww65309	1	0	13	9	0	9	8-12	13	9	0	9	8-12
20ww62537	1	1	14	4	4	12	8-12	14	4	4	12	8-12
20ww83008	1	1	19	3	0	16	>=13	19	3	0	16	>=13
20ww86054	1	0	8	14	0	3	<8	8	14	0	3	<8
20ww20020	1	1	18	4	0	15	>=13	18	4	0	15	>=13
20ww12266	1	0	6	4	12	4	<8	6	4	12	4	<8
20ww47008	1	1	15	2	5	13	>=13	15	2	5	13	>=13
20ww92138	1	1	20	2	0	18	>=13	20	2	0	18	>=13
20ww96473	1	1	15	0	7	14	>=13	15	0	7	14	>=13
20ww79169	1	0	11	4	7	9	8-12	11	4	7	9	8-12
20ww47673	1	1	14	5	3	11	8-12	14	5	3	11	8-12
20ww57306	1	1	16	3	3	14	>=13	16	3	3	14	>=13
20ww82840	1	1	17	3	2	15	>=13	17	3	2	15	>=13
20ww85989	1	1	17	0	5	15	>=13	17	0	5	15	>=13
20ww46552	1	1	14	8	0	10	8-12	14	8	0	10	8-12
20ww53184	1	1	15	5	2	12	8-12	15	5	2	12	8-12
20ww85290	1	0	11	6	5	8	8-12	11	6	5	8	8-12
20ww74008	1	1	19	1	2	17	>=13	19	1	2	17	>=13
20ww93930	1	1	21	1	0	19	>=13	21	1	0	19	>=13
20ww55010	1	0	8	4	10	6	<8	8	4	10	6	<8
20ww28237	1	1	14	8	0	10	8-12	14	8	0	10	8-12
20ww50228	1	1	18	4	0	15	>=13	18	4	0	15	>=13
20ww41766	1	0	11	9	2	7	<8	11	9	2	7	<8
20ww46640	1	1	20	1	1	18	>=13	20	1	1	18	>=13
20ww62624	1	1	20	1	1	18	>=13	20	1	1	18	>=13
20ww76635	1	1	16	4	2	13	>=13	16	4	2	13	>=13
20ww79559	1	1	14	1	7	12	8-12	14	1	7	12	8-12
20ww60481	1	1	14	2	6	12	8-12	14	2	6	12	8-12
20ww89817	1	1	21	1	0	19	>=13	21	1	0	19	>=13
20ww98201	1	0	11	8	3	8	8-12	11	8	3	8	8-12
20ww24792	1	1	16	3	3	14	>=13	16	3	3	14	>=13
20ww81340	1	1	15	5	2	12	8-12	15	5	2	12	8-12
20ww85839	1	0	12	7	3	9	8-12	12	7	3	9	8-12
20ww19197	1	0	7	7	8	4	<8	7	7	8	4	<8
20ww47689	1	1	15	1	6	13	>=13	15	1	6	13	>=13
20ww67934	1	1	16	6	0	13	>=13	16	6	0	13	>=13
20ww35873	1	0	6	3	13	5	<8	6	3	13	5	<8
20ww99839	1	0	7	2	13	6	<8	7	2	13	6	<8
20ww57086	1	1	12	2	8	10	8-12	12	2	8	10	8-12
20ww44868	1	1	15	3	4	13	>=13	15	3	4	13	>=13
20ww37473	1	1	16	4	2	13	>=13	16	4	2	13	>=13
20ww49545	1	1	14	4	4	12	8-12	14	4	4	12	8-12
20ww94732	1	1	14	5	3	11	8-12	14	5	3	11	8-12
20ww35245	1	1	16	6	0	13	>=13	16	6	0	13	>=13
20ww17431	1	0	10	5	7	8	8-12	10	5	7	8	8-12
20ww75282	1	1	16	2	4	14	>=13	16	2	4	14	>=13
