vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	D	291	261	90	11	3	7	7	5	261
2	C	291	259	89	4	1	3	20	259	5
3	B	291	216	74	19	6	2	216	16	38
4	B	291	222	76	2	0	46	222	15	6
5	D	291	234	80	11	3	8	15	23	234
6	A	291	168	58	43	14	168	25	49	6
7	D	291	177	61	16	5	19	38	41	177
8	A	291	258	89	2	0	258	14	13	4
9	C	291	198	68	63	21	16	8	198	6
10	D	291	204	70	10	3	8	51	18	204
11	B	291	209	72	24	8	14	209	23	21
12	A	291	169	58	78	26	169	10	14	20
13	C	291	163	56	77	26	17	16	163	18
14	D	291	182	63	30	10	7	24	48	182
15	C	291	210	72	25	8	4	27	210	25
16	A	291	112	38	115	39	112	29	30	5
17	B	291	161	55	66	22	25	161	25	14
18	D	291	193	66	62	21	10	8	18	193
19	D	291	131	45	51	17	28	45	36	131
20	C	291	101	35	65	22	61	54	101	10
21	B	291	163	56	6	2	38	163	21	63
22	D	291	161	55	33	11	16	63	18	161
