ijkID	feedbackCode
33950	20ww86350
33962	20ww12362
33965	20ww49428
33967	20ww79234
33968	20ww79559
33970	20ww57609
33971	20ww34881
33974	20ww80134
34728	20ww46289
33981	20ww47673
33984	20ww42904
33985	20ww48259
33987	20ww20099
33989	20ww54715
33990	20ww85379
34729	20ww75628
33993	20ww11341
33998	20ww53659
34000	20ww52093
34001	20ww20020
34002	20ww58940
34005	20ww36282
34008	20ww56140
34009	20ww98201
34014	20ww26419
34021	20ww68484
34022	20ww75929
34029	20ww89137
34030	20ww26143
34031	20ww83976
34731	20ww67615
34033	20ww69996
34037	20ww23739
34039	20ww68228
34042	20ww82597
34043	20ww46184
34046	20ww44073
34055	20ww91658
34058	20ww71764
34059	20ww50790
34064	20ww85839
34066	20ww13566
34068	20ww34764
34072	20ww83300
34076	20ww17209
34080	20ww71157
34086	20ww90576
34088	20ww22071
34733	20ww27107
34093	20ww79305
34095	20ww11097
34097	20ww24080
34099	20ww38154
34100	20ww57476
34102	20ww46640
34103	20ww47893
34105	20ww68764
34107	20ww74842
34109	20ww82487
34110	20ww39317
34119	20ww90928
34120	20ww75238
34124	20ww68830
34125	20ww22024
34126	20ww64084
34128	20ww22122
34129	20ww60922
34130	20ww30269
34136	20ww65433
34141	20ww94732
34143	20ww59377
34144	20ww86054
34736	20ww55959
34148	20ww95754
34150	20ww85287
34152	20ww47689
34157	20ww32317
34160	20ww86403
34163	20ww92138
34166	20ww30292
34170	20ww85234
34173	20ww44305
34174	20ww88722
34178	20ww13233
34179	20ww16303
34185	20ww33447
34186	20ww80567
34187	20ww85290
34190	20ww38459
34199	20ww48979
34200	20ww82271
34201	20ww49545
34206	20ww69448
34207	20ww99839
34208	20ww76723
34209	20ww46046
34211	20ww25157
34215	20ww56945
34739	20ww20275
34216	20ww83950
34217	20ww43087
34740	20ww65309
34741	20ww50086
34221	20ww32027
34224	20ww48746
34226	20ww69922
34227	20ww94513
34228	20ww71504
34230	20ww36747
34235	20ww91016
34247	20ww14164
34249	20ww57542
34253	20ww14777
34743	20ww52990
34744	20ww21543
34256	20ww17078
34257	20ww93453
34263	20ww55894
34265	20ww21001
34267	20ww58357
34269	20ww15424
34271	20ww61613
34272	20ww70221
34748	20ww75040
34275	20ww37473
34278	20ww88782
34281	20ww52816
34286	20ww13093
34288	20ww74971
34289	20ww38382
34290	20ww26778
34294	20ww58260
34750	20ww85992
34298	20ww50675
34302	20ww22210
34305	20ww96835
34307	20ww10313
34312	20ww89848
34315	20ww58616
34316	20ww99282
34318	20ww54571
34319	20ww53184
34322	20ww98116
34324	20ww81754
34325	20ww85372
34752	20ww60481
34328	20ww16375
34330	20ww15964
34753	20ww32273
34333	20ww67906
34334	20ww57306
34336	20ww15549
34337	20ww80182
34338	20ww64199
34339	20ww30760
34341	20ww93843
34344	20ww65881
34346	20ww65755
34347	20ww65056
34349	20ww98536
34352	20ww75282
34354	20ww72646
34356	20ww78504
34756	20ww59110
34368	20ww55226
34369	20ww96396
34377	20ww81340
34761	20ww65457
34383	20ww67531
34388	20ww11077
34391	20ww88050
34393	20ww49566
34763	20ww28757
34764	20ww85989
34412	20ww13142
34413	20ww49119
34414	20ww12574
34765	20ww52613
34766	20ww24170
34417	20ww17774
34419	20ww93100
34426	20ww76635
34427	20ww50080
34428	20ww80102
34431	20ww69683
34768	20ww29136
34434	20ww46821
