ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
34824	1	D	C	B	B	A	B	D	A	C	B	B	X	C	D	C	X	X	D	A	X	D	X
34787	1	D	C	X	B	D	A	D	A	X	B	B	A	C	X	C	X	X	D	X	B	D	X
34033	1	D	C	B	A	D	A	D	A	C	D	B	A	C	D	C	A	A	D	D	C	B	D
34592	1	A	D	D	B	C	A	D	A	C	C	B	D	C	D	B	C	C	D	B	B	B	B
34581	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	C	B	C	C	B	B
34383	1	D	C	B	A	C	D	B	A	X	C	D	A	C	D	B	A	C	D	A	C	B	B
34820	1	D	C	D	B	C	C	C	A	C	B	B	A	B	C	D	C	D	B	B	A	B	C
34125	1	X	C	C	B	D	A	D	A	C	B	X	D	C	C	C	C	C	X	A	X	C	D
34617	1	D	C	X	B	D	X	X	A	X	D	B	X	C	X	C	X	A	X	A	A	B	X
34765	1	D	C	C	B	D	A	C	A	C	D	B	A	C	D	C	C	D	D	D	A	B	B
34511	1	D	C	B	B	D	C	D	B	C	D	B	A	B	B	X	X	X	D	C	X	B	X
34475	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	C	A	D
34668	1	D	C	B	B	D	B	B	A	A	D	B	X	X	D	C	X	X	X	D	X	D	D
34524	1	D	C	B	B	D	C	D	A	C	D	B	X	C	C	C	X	B	D	D	X	D	D
34832	1	D	C	D	B	D	C	B	A	D	B	B	C	B	B	C	B	C	D	C	A	B	A
34815	1	D	C	B	A	D	A	D	A	C	D	B	D	A	C	C	A	D	D	D	A	B	B
34030	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	D	X	B	D	X	C	D	B
34166	1	D	C	B	B	D	A	D	A	C	D	A	D	A	D	X	A	A	X	D	B	A	D
34211	1	D	C	B	A	D	C	D	A	C	D	B	A	C	D	C	X	B	D	A	A	D	C
34821	1	B	C	B	B	D	X	D	A	C	D	B	X	C	D	X	X	B	X	D	X	C	D
34107	1	D	C	X	B	D	A	D	A	C	D	B	A	X	X	X	A	B	D	B	C	A	D
34495	1	D	C	B	A	D	C	C	A	A	D	C	A	A	C	D	B	A	D	B	C	B	A
34235	1	D	B	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	C	B	D
34712	1	D	C	D	B	C	A	B	A	C	B	A	D	D	C	B	A	C	D	D	B	C	A
34322	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	B	D	D
34573	1	B	B	D	B	C	B	A	A	B	D	A	B	C	B	D	B	A	D	B	B	A	A
34761	1	D	C	B	B	D	A	D	A	X	X	B	B	X	X	C	A	B	D	C	B	B	B
34782	1	D	C	B	B	A	B	A	A	C	B	X	A	C	D	C	X	X	D	D	A	A	A
34227	1	D	C	B	A	D	A	D	A	D	D	B	A	C	A	C	X	B	D	C	D	B	A
34080	1	D	C	D	B	C	A	B	A	D	D	B	C	B	B	C	B	B	B	D	A	B	A
34595	1	D	C	B	B	D	A	D	A	C	D	C	A	X	B	B	X	C	C	B	X	C	X
34615	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	C	B	D
34792	1	A	C	D	B	D	A	D	A	B	D	B	C	C	D	C	B	B	C	C	D	A	D
34190	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	B	D	D
34814	1	D	B	X	B	D	X	C	A	X	D	B	X	X	D	C	X	X	D	B	C	B	B
34698	1	D	C	B	B	D	A	D	A	X	B	B	A	X	D	C	X	B	D	A	X	B	D
34272	1	D	C	B	B	D	A	D	A	X	D	B	A	X	D	C	X	B	D	D	C	B	D
34694	1	B	C	B	B	D	X	D	A	A	C	B	X	X	C	C	X	B	D	C	C	B	X
