Alle Studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,34824,ww1597329797xl8qCgCiTNNQomXsgIvyVy4s6jycX7,20,A,9,12,5,5,9,12,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34787,ww1596878291Zpt0RsZJv5jnNOcbGQCfAbpOQ21i7a,20,A,10,12,3,7,10,12,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34033,ww1591278861nWpTWP5s1m8UuKDg2JXKWPOnutGI01,20,A,18,20,2,0,18,20,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34592,ww1597055419HkE0KytSgn2lvJYs9lxwhypSBpLXMj,20,A,5,10,12,0,5,10,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34581,ww1596915596xVU08OarSs7uGfGl5P7DQPyuIWbSGg,20,A,15,18,4,0,15,18,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34383,ww1595167613UBiKrjgVyqebqZx8B84T9YnivNxofx,20,A,7,11,10,1,7,11,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34820,ww15973146522NgZEK8wl7xFmxEYGZDEZrUCM5X19r,20,A,3,8,14,0,3,8,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34125,ww1591821293zSOSjsdGFR56I5CTeqLLZyPT7CbFCw,20,A,7,10,8,4,7,10,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34617,ww1597166355zYMjxGrZRfcWJiXEK6dh2sp8PG0iYX,20,A,8,10,3,9,8,10,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34765,ww15955817576XrGhtij7bCicWWIvZet3TLrPe1dJh,20,A,13,16,6,0,13,16,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34511,ww1596470214aPmKDV9YaWb3O3z7bfkXZx6MUpeNqv,20,A,9,12,5,5,9,12,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34475,ww1596237877TYLPQpzgG8V1Spk5mHkHwNJDW7F1FR,20,A,19,21,1,0,19,21,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34668,ww15973967873yXIMNwwGLe06onmWqftgJsWex6qVJ,20,A,10,12,4,6,10,12,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34524,ww1596563213YQS0V6erV6Gmm5M4CgFdf8tJSNjkZT,20,A,14,16,3,3,14,16,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34832,ww1597395560VFFzBDVHLLge5sC41Yno1wu6dG55Ja,20,A,4,9,13,0,4,9,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34815,ww1597271021juEc8yjx5E8R5kYLHjk0LybKrRZHZx,20,A,12,15,7,0,12,15,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34030,ww1591261832ee6arECIMuBn2nUVrHp1G1irPUd47G,20,A,15,17,3,2,15,17,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34166,ww1592165205icPbs1fo8WE4sMzDNMuMMgjJE50nCL,20,A,11,14,6,2,11,14,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34211,ww15926767837StmG7OQeZ5yPbhZZwzMdZA9dCjKWC,20,A,12,15,6,1,12,15,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34821,ww1597315370mL7Z96KxrMixI2yFf1SjIGGg1XrGXh,20,A,12,14,2,6,12,14,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34107,ww15917025282JAxDNhC9ALHH2gOerxS8KZWJang4Z,20,A,14,16,2,4,14,16,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34495,ww1596387762c62KGbFsn4qyhoUz1GQsMfrZfKS8tR,20,A,5,10,12,0,5,10,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34235,ww1593090486BqsETT92xlOPKagDxSgFKuXnLjbkJA,20,A,19,21,1,0,19,21,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34712,ww1597498096VLCTUfp3JcyYrg0vVlnOUESPnsJa3M,20,A,4,9,13,0,4,9,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34322,ww15941116611jKkeIeTTyTc9CBHr8rYv63HgA2rEA,20,A,18,20,2,0,18,20,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34573,ww15968845890GR4KFnftB8aOt3n8uXbxqVZ8f8owq,20,A,0,5,17,0,0,5,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34761,ww1595068843iXsx1yOqRniGjYppSXRlCxwvjBO0hW,20,A,12,14,4,4,12,14,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34782,ww1596566748rqXGAROuEH7m6Rm5cMC9CEGYj5wOdU,20,A,9,12,7,3,9,12,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34227,ww1593020196md1ub3tmsnk78q7CfydKWMs3E3vdXb,20,A,12,15,6,1,12,15,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34080,ww1591532306pJzpmIi2AHh3h4UOqoVsdwtj8kzjXe,20,A,7,11,11,0,7,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34595,ww1597059495LktLOv2x5UkPyxCmo0W7ohiK5Awn6i,20,A,8,11,7,4,8,11,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34615,ww1597163546rF5H64yIVrauJJeql6gLLhgCyeWUpz,20,A,20,22,0,0,20,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34792,ww1597054245yec02tqKHRrd85yz0JWIexMc9F5pMN,20,A,9,13,9,0,9,13,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34190,ww1592425057Bc17A17RcHR5OWPHntSLOm3svav0vJ,20,A,18,20,2,0,18,20,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34814,ww1597260014GXutFWjPDuv5cQscubyThvrkpRm5Sr,20,A,9,11,4,7,9,11,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34698,ww15974349332lF5DXlT1393GAOaXV9fK9prfpvyvB,20,A,14,16,2,4,14,16,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34272,ww1593540137nWMmBJNpeUPVDLj1psoiguCVtyyaPy,20,A,17,19,0,3,17,19,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34694,ww1597432596LhgURrrSfPbuyOXxVrAYbOEnha3xxM,20,A,9,12,5,5,9,12,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34646,ww1597311014bvm3wYXEmca2xhE4dsS8isLPH2llKP,20,A,11,14,5,3,11,14,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34772,ww1596110487xvWEkkto8YZFJGWkX8t0Zxzzy4jPMI,20,A,10,14,8,0,10,14,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34294,ww1593792739rWFO2DW6uH1b3olynLi0wx0vC3AYEe,20,A,15,18,3,1,15,18,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34695,ww1597432827UX2ctqLQDfZONeMgEk4dKcLUadgzCW,20,A,1,1,1,20,1,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34208,ww1592661400ZiHoE2fCqrqb4ha2kEz3TrAzGLOZZg,20,A,14,16,2,4,14,16,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34100,ww1591634450UPMMi8oMwjbrf5wriq2A8QkUIO5ORJ,20,A,9,13,9,0,9,13,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34438,ww1595871372PUgzSpXGM5RINFxtujsPRNIy9JzmwO,20,A,19,21,1,0,19,21,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34356,ww159457268972YuVB0tmS8Y93OLAcbhCgY1IIt1fl,20,A,5,8,9,5,5,8,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34072,ww15914658221UjGixL8ViDUYQBdEtZWvEnuGGJAtr,20,A,14,16,2,4,14,16,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34628,ww1597226962WoXs72mjDUQbmZpWf70GI4YlTTzwND,20,A,5,7,6,9,5,7,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33985,ww1591045175oooTyOWBuZ99XuIxrh8RU9tGvgi8HZ,20,A,8,9,1,12,8,9,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33970,ww1591022680O051YCIZlgrcFAtQ76zZHpjY2dHmgl,20,A,15,18,4,0,15,18,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34369,ww1594830380wmzv8K4pgxIPcpG9WSwxKtWsJ2BUDL,20,A,10,12,3,7,10,12,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34325,ww1594131865OOOuW8Sky6rwZOssklkXDCpZWUAW0M,20,A,16,19,3,0,16,19,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34766,ww1595590786kdQo5wHWvX7tKmnvM5RxTILfdsLCsy,20,A,7,10,6,6,7,10,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34494,ww1596386257hTjsVyokyvh2gpRcOKn0hXR1tJjjMl,20,A,7,11,10,1,7,11,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
