ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore
34824	1	0	12	5	5	9	12	5	5	9
34787	1	1	12	3	7	10	12	3	7	10
34033	1	1	20	2	0	18	20	2	0	18
34592	1	0	10	12	0	5	10	12	0	5
34581	1	1	18	4	0	15	18	4	0	15
34383	1	0	11	10	1	7	11	10	1	7
34820	1	0	8	14	0	3	8	14	0	3
34125	1	0	10	8	4	7	10	8	4	7
34617	1	0	10	3	9	8	10	3	9	8
34765	1	1	16	6	0	13	16	6	0	13
34511	1	0	12	5	5	9	12	5	5	9
34475	1	1	21	1	0	19	21	1	0	19
34668	1	1	12	4	6	10	12	4	6	10
34524	1	1	16	3	3	14	16	3	3	14
34832	1	0	9	13	0	4	9	13	0	4
34815	1	1	15	7	0	12	15	7	0	12
34030	1	1	17	3	2	15	17	3	2	15
34166	1	1	14	6	2	11	14	6	2	11
34211	1	1	15	6	1	12	15	6	1	12
34821	1	1	14	2	6	12	14	2	6	12
34107	1	1	16	2	4	14	16	2	4	14
34495	1	0	10	12	0	5	10	12	0	5
34235	1	1	21	1	0	19	21	1	0	19
34712	1	0	9	13	0	4	9	13	0	4
34322	1	1	20	2	0	18	20	2	0	18
34573	1	0	5	17	0	0	5	17	0	0
34761	1	1	14	4	4	12	14	4	4	12
34782	1	0	12	7	3	9	12	7	3	9
34227	1	1	15	6	1	12	15	6	1	12
34080	1	0	11	11	0	7	11	11	0	7
34595	1	0	11	7	4	8	11	7	4	8
34615	1	1	22	0	0	20	22	0	0	20
34792	1	0	13	9	0	9	13	9	0	9
34190	1	1	20	2	0	18	20	2	0	18
34814	1	0	11	4	7	9	11	4	7	9
34698	1	1	16	2	4	14	16	2	4	14
34272	1	1	19	0	3	17	19	0	3	17
34694	1	0	12	5	5	9	12	5	5	9
34646	1	1	14	5	3	11	14	5	3	11
34772	1	1	14	8	0	10	14	8	0	10
34294	1	1	18	3	1	15	18	3	1	15
34695	1	0	1	1	20	1	1	1	20	1
34208	1	1	16	2	4	14	16	2	4	14
34100	1	0	13	9	0	9	13	9	0	9
34438	1	1	21	1	0	19	21	1	0	19
34356	1	0	8	9	5	5	8	9	5	5
34072	1	1	16	2	4	14	16	2	4	14
34628	1	0	7	6	9	5	7	6	9	5
33985	1	0	9	1	12	8	9	1	12	8
33970	1	1	18	4	0	15	18	4	0	15
34369	1	1	12	3	7	10	12	3	7	10
34325	1	1	19	3	0	16	19	3	0	16
34766	1	0	10	6	6	7	10	6	6	7
34494	1	0	11	10	1	7	11	10	1	7
34684	1	1	15	5	2	12	15	5	2	12
34740	1	0	13	9	0	9	13	9	0	9
34539	1	1	14	4	4	12	14	4	4	12
34499	1	1	19	3	0	16	19	3	0	16
34144	1	0	8	14	0	3	8	14	0	3
34001	1	1	18	4	0	15	18	4	0	15
34834	1	0	6	4	12	4	6	4	12	4
34830	1	1	15	2	5	13	15	2	5	13
34163	1	1	20	2	0	18	20	2	0	18
34531	1	1	15	0	7	14	15	0	7	14
34671	1	0	11	4	7	9	11	4	7	9
33981	1	1	14	5	3	11	14	5	3	11
34334	1	1	16	3	3	14	16	3	3	14
34504	1	1	17	3	2	15	17	3	2	15
34764	1	1	17	0	5	15	17	0	5	15
34718	1	1	14	8	0	10	14	8	0	10
34319	1	1	15	5	2	12	15	5	2	12
