key	value
aantalDeelnemers	291
totaalHoogsteScore	20
totaalLaagsteScore	0
totaalGemiddeldeScore	11.52233676975945
totaalMediaanScore	12
totaalAantalScore0	2
totaalAantalScore1	4
totaalAantalScore2	3
totaalAantalScore3	9
totaalAantalScore4	6
totaalAantalScore5	17
totaalAantalScore6	10
totaalAantalScore7	17
totaalAantalScore8	18
totaalAantalScore9	19
totaalAantalScore10	16
totaalAantalScore11	11
totaalAantalScore12	24
totaalAantalScore13	21
totaalAantalScore14	26
totaalAantalScore15	24
totaalAantalScore16	17
totaalAantalScore17	7
totaalAantalScore18	14
totaalAantalScore19	16
totaalAantalScore20	10
wiskundeHoogsteScore	20
wiskundeLaagsteScore	0
wiskundeGemiddeldeScore	11.52233676975945
wiskundeMediaanScore	12
wiskundeAantalScore0	2
wiskundeAantalScore1	4
wiskundeAantalScore2	3
wiskundeAantalScore3	9
wiskundeAantalScore4	6
wiskundeAantalScore5	17
wiskundeAantalScore6	10
wiskundeAantalScore7	17
wiskundeAantalScore8	18
wiskundeAantalScore9	19
wiskundeAantalScore10	16
wiskundeAantalScore11	11
wiskundeAantalScore12	24
wiskundeAantalScore13	21
wiskundeAantalScore14	26
wiskundeAantalScore15	24
wiskundeAantalScore16	17
wiskundeAantalScore17	7
wiskundeAantalScore18	14
wiskundeAantalScore19	16
wiskundeAantalScore20	10
vragenreeks1totaalHoogsteScore	20
vragenreeks1totaalLaagsteScore	0
vragenreeks1totaalGemiddeldeScore	11.52233676975945
vragenreeks1totaalMediaanScore	12
vragenreeks1totaalAantalScore0	2
vragenreeks1totaalAantalScore1	4
vragenreeks1totaalAantalScore2	3
vragenreeks1totaalAantalScore3	9
vragenreeks1totaalAantalScore4	6
vragenreeks1totaalAantalScore5	17
vragenreeks1totaalAantalScore6	10
vragenreeks1totaalAantalScore7	17
vragenreeks1totaalAantalScore8	18
vragenreeks1totaalAantalScore9	19
vragenreeks1totaalAantalScore10	16
vragenreeks1totaalAantalScore11	11
vragenreeks1totaalAantalScore12	24
vragenreeks1totaalAantalScore13	21
vragenreeks1totaalAantalScore14	26
vragenreeks1totaalAantalScore15	24
vragenreeks1totaalAantalScore16	17
vragenreeks1totaalAantalScore17	7
vragenreeks1totaalAantalScore18	14
vragenreeks1totaalAantalScore19	16
vragenreeks1totaalAantalScore20	10
vragenreeks1wiskundeHoogsteScore	20
vragenreeks1wiskundeLaagsteScore	0
vragenreeks1wiskundeGemiddeldeScore	11.52233676975945
vragenreeks1wiskundeMediaanScore	12
vragenreeks1wiskundeAantalScore0	2
vragenreeks1wiskundeAantalScore1	4
vragenreeks1wiskundeAantalScore2	3
vragenreeks1wiskundeAantalScore3	9
vragenreeks1wiskundeAantalScore4	6
vragenreeks1wiskundeAantalScore5	17
vragenreeks1wiskundeAantalScore6	10
vragenreeks1wiskundeAantalScore7	17
vragenreeks1wiskundeAantalScore8	18
vragenreeks1wiskundeAantalScore9	19
vragenreeks1wiskundeAantalScore10	16
vragenreeks1wiskundeAantalScore11	11
vragenreeks1wiskundeAantalScore12	24
vragenreeks1wiskundeAantalScore13	21
vragenreeks1wiskundeAantalScore14	26
vragenreeks1wiskundeAantalScore15	24
vragenreeks1wiskundeAantalScore16	17
vragenreeks1wiskundeAantalScore17	7
vragenreeks1wiskundeAantalScore18	14
vragenreeks1wiskundeAantalScore19	16
vragenreeks1wiskundeAantalScore20	10
