vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	D	291	261	11	7	7	5	261
2	C	291	259	4	3	20	259	5
3	B	291	216	19	2	216	16	38
4	B	291	222	2	46	222	15	6
5	D	291	234	11	8	15	23	234
6	A	291	168	43	168	25	49	6
7	D	291	177	16	19	38	41	177
8	A	291	258	2	258	14	13	4
9	C	291	198	63	16	8	198	6
10	D	291	204	10	8	51	18	204
11	B	291	209	24	14	209	23	21
12	A	291	169	78	169	10	14	20
13	C	291	163	77	17	16	163	18
14	D	291	182	30	7	24	48	182
15	C	291	210	25	4	27	210	25
16	A	291	112	115	112	29	30	5
17	B	291	161	66	25	161	25	14
18	D	291	193	62	10	8	18	193
19	D	291	131	51	28	45	36	131
20	C	291	101	65	61	54	101	10
21	B	291	163	6	38	163	21	63
22	D	291	161	33	16	63	18	161
