"Alle studenten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naam","Voornaam","nummer","onlineID","ijkingstoetssessie","FeedbackGroep","TOTAAL","juist","fout","blanco","scoreA","juistA","foutA","blancoA","scoreB","juistB","foutB","blancoB","scoreC","juistC","foutC","blancoC","scoreD","juistD","foutD","blancoD","scoreE","juistE","foutE","blancoE","scoreF","juistF","foutF","blancoF","scoreG","juistG","foutG","blancoG","scoreH","juistH","foutH","blancoH"
,,33950,"ww1591002960JlFuScXZSTPOLZgumNr69sdY1uWn9L",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33962,"ww1591012340yKEZ0Plkwnfi6zNO2b0BtLnyq3pq7F",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33965,"ww1591016934obV0otLEzyMeXRExfwv8HM1cRWvtD4",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33967,"ww15910213459ow8QFEluGcAwlXWrdnp72cNd3dx2s",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33968,"ww1591022342GHrtur4m55tXU3zHR2ICYQFgiiir5y",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33970,"ww1591022680O051YCIZlgrcFAtQ76zZHpjY2dHmgl",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33971,"ww1591022935UdF5yJSFrgyCpkBa1Ljy9VbUNICJ0o",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33974,"ww1591027217kAMrRNkWiW7mw4JOobnUIsjkgU6ngO",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34728,"ww1591038537iFPQjOH6VVUTmwjb8tcswL71uHZti6",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33981,"ww1591039897Xshs6kCDSlLoe7i1XpLRy1Rez1kAcl",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33984,"ww1591044622lVK03XY2UrfK5Lm1el7cEAIJisAvCP",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33985,"ww1591045175oooTyOWBuZ99XuIxrh8RU9tGvgi8HZ",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33987,"ww1591055055Na7hkb9HdaPD3aXClgUEzsmlQKwlJJ",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33989,"ww1591090756YQoPf6MPmXl0857pNLYf3hTnRT55G8",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33990,"ww1591091765BFXuIByG3jXw9CKApbOVr6PcM39Ie5",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
