"ijkID","feedbackcode"
"17dwGRGE00130001","17dw49330"
"17dwGRGE00230002","17dw94470"
"17dwGRGE00330003","17dw39841"
"17dwGRGE00430004","17dw21611"
"17dwAEEX00130005","17dw36957"
"17dwGRGE00530006","17dw94307"
"17dwAEEX00230007","17dw65335"
"17dwGRGE00630008","17dw63090"
"17dwAEEX00330009","17dw22773"
"17dwGRGE00730010","17dw83101"
"17dwGRGE00830011","17dw61874"
"17dwGRGE00930012","17dw60503"
"17dwAEEX00430013","17dw45818"
"17dwAEEX00530014","17dw17484"
"17dwGRGE01030015","17dw35975"
"17dwGRGE01130016","17dw22051"
"17dwGRGE01230017","17dw30740"
"17dwAEEX00630018","17dw11476"
"17dwGRGE01330019","17dw47352"
"17dwAEEX00730020","17dw40050"
"17dwGRGE01430021","17dw98592"
"17dwGRGE01530022","17dw35154"
"17dwGRGE01630023","17dw80406"
"17dwGRGE01730024","17dw60745"
"17dwAEEX00830025","17dw27465"
"17dwAEEX00930026","17dw84661"
"17dwAEEX01030027","17dw79974"
"17dwAEEX01130028","17dw24206"
"17dwGRGE01830029","17dw42917"
"17dwGRGE01930030","17dw46248"
"17dwGRGE02030031","17dw88004"
"17dwAEEX01230032","17dw46353"
"17dwGRGE02130033","17dw26924"
"17dwGRGE02230034","17dw92561"
"17dwGRGE02330035","17dw47097"
"17dwGRGE02430036","17dw45196"
"17dwGRGE02530037","17dw14783"
"17dwAEEX01330038","17dw34405"
"17dwAEEX01430039","17dw39501"
"17dwGRGE02630040","17dw65735"
"17dwGRGE02730041","17dw88922"
"17dwGRGE02830042","17dw15810"
"17dwAEEX01530043","17dw25584"
"17dwGRGE02930044","17dw52407"
"17dwGRGE03030045","17dw13417"
"17dwAEEX01630046","17dw79173"
"17dwGRGE03130047","17dw36944"
"17dwAEEX01730048","17dw62316"
"17dwGRGE03230049","17dw37612"
"17dwAEEX01830050","17dw58962"
"17dwGRG200130051","17dw93905"
"17dwGRG200230052","17dw70600"
"17dwGRG200330053","17dw84307"
"17dwGRG200430054","17dw94225"
"17dwAEEX01930055","17dw74404"
"17dwAEEX02030056","17dw24814"
"17dwAEEX02130057","17dw99686"
"17dwAEEX02230058","17dw39604"
"17dwGRG200530059","17dw88573"
