"ijkID","feedbackcode"
"18iaLHL600131910","18ia65006"
"18iaLHL600231913","18ia11576"
"18iaGBAA00131914","18ia18683"
"18iaLHL600331915","18ia53085"
"18iaLHL600431918","18ia65737"
"18iaLHL600531920","18ia94546"
"18iaGBAA00231927","18ia24257"
"18iaLHL600631929","18ia12213"
"18iaLHL600731937","18ia17230"
"18iaGBAA00331943","18ia78287"
"18iaBBQA00431950","18ia63652"
"18iaLHL600831957","18ia41127"
"18iaLHL600931958","18ia47583"
"18iaLHL601031961","18ia74808"
"18iaGBAA00431970","18ia44535"
"18iaBBQA00631973","18ia84739"
"18iaGBAA00531990","18ia55806"
"18iaLHL601131994","18ia94998"
"18iaBBQA00831995","18ia98183"
"18iaGBAA00631998","18ia81540"
"18iaBBQA00932003","18ia44118"
"18iaLHL601232006","18ia24677"
"18iaGBAA00732007","18ia93263"
"18iaLHL601332014","18ia29008"
"18iaBBQA01532029","18ia38456"
"18iaGBAA00832037","18ia10520"
"18iaLHL601432038","18ia90799"
"18iaGBAA00932050","18ia36586"
"18iaGBAA01032052","18ia51980"
"18iaBBQA01932053","18ia69007"
"18iaGBAA01132054","18ia84873"
"18iaGBAA01832133","18ia32340"
"18iaBBQA02132057","18ia63641"
"18iaLHL601532060","18ia72272"
"18iaGBAA01932134","18ia91895"
"18iaLKAA00532068","18ia62075"
"18iaGBAA01232073","18ia53472"
"18iaGBAA01332074","18ia60325"
"18iaGBAA01432078","18ia88913"
"18iaLHL601632079","18ia59846"
"18iaGBAA01532086","18ia28020"
"18iaLHL602232140","18ia34723"
"18iaBBQA02632090","18ia94855"
"18iaLHL601732091","18ia90323"
"18iaLHL601832095","18ia87154"
"18iaLHL601932096","18ia30933"
"18iaLHL602032097","18ia81568"
"18iaLHL602332142","18ia30541"
"18iaLHL602132102","18ia84584"
"18iaGBAA02032144","18ia35908"
"18iaBBQA02832113","18ia42850"
"18iaGBAA01632114","18ia75908"
"18iaLKAA01032116","18ia28440"
"18iaGBAA01732117","18ia80695"
"18iaBBQA03032121","18ia76185"
